3'曼城中后场倒脚                   3'开场仅3分钟，萨巴莱塔右路下底回传，纳斯里12码处扫射偏出
46'水晶宫后场任意球再次开到禁区                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
46'下半场开始了                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
46'曼城队左路角球机会                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
46'纳斯里主罚                   43'第43分钟，亚亚-图雷直传，萨巴莱塔小禁区前挑射擦柱偏出
49'曼城队终于进球！右路进攻，图雷拿球回敲，费尔南迪尼奥的直传，席尔瓦推射，皮球打在对方防守球员身上后折射入网                   49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
49'【此时此刻值得来杯嘉士伯】                   49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
50'又是边路转移到中圈，亚亚图雷的打门还是高了                   49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
51'米尔纳左路的打门被挡出底线                   49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
52'纳斯里角球开向前点，头球后蹭，图雷再顶，后卫把球破坏出来                    49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
52'水晶宫左路的进攻，打到中路，再分到右路                   49'曼城第49分钟打破僵局，费尔南迪尼奥直传，萨巴莱塔禁区右侧回传，席尔瓦14码处射门打中丹恩大腿偏转入网
61'克拉罗夫左边路下底低平球传递到门前，席尔瓦扫射入网                   61'曼城第61分钟扩大比分，纳斯里分球边路，科拉罗夫左路传中，无人防守的席尔瓦10码处扫射入网，2-0
61'席尔瓦梅开二度了！                   61'曼城第61分钟扩大比分，纳斯里分球边路，科拉罗夫左路传中，无人防守的席尔瓦10码处扫射入网，2-0
61'【此时此刻值得来杯嘉士伯】                   61'曼城第61分钟扩大比分，纳斯里分球边路，科拉罗夫左路传中，无人防守的席尔瓦10码处扫射入网，2-0
63'曼城继续中场拿球组织进攻                   61'曼城第61分钟扩大比分，纳斯里分球边路，科拉罗夫左路传中，无人防守的席尔瓦10码处扫射入网，2-0
63'纳斯里拿球被犯规了                   61'曼城第61分钟扩大比分，纳斯里分球边路，科拉罗夫左路传中，无人防守的席尔瓦10码处扫射入网，2-0
81'现在曼城的进球打到了36个                   81'曼城第81分钟锁定胜局，米尔纳反击中传球，亚亚-图雷禁区左肋10码处左脚劲射近角，皮球打中立柱内侧入网，3-0
82'水晶宫右路进攻出了边线，门球                   81'曼城第81分钟锁定胜局，米尔纳反击中传球，亚亚-图雷禁区左肋10码处左脚劲射近角，皮球打中立柱内侧入网，3-0
84'水晶宫右路的定位球机会                   81'曼城第81分钟锁定胜局，米尔纳反击中传球，亚亚-图雷禁区左肋10码处左脚劲射近角，皮球打中立柱内侧入网，3-0
84'任意球打到禁区内，哈特把球击出                   81'曼城第81分钟锁定胜局，米尔纳反击中传球，亚亚-图雷禁区左肋10码处左脚劲射近角，皮球打中立柱内侧入网，3-0
84'比赛还剩下5分钟，曼城大局已定                   81'曼城第81分钟锁定胜局，米尔纳反击中传球，亚亚-图雷禁区左肋10码处左脚劲射近角，皮球打中立柱内侧入网，3-0
