1'随着裁判一声哨响！比赛开始                   1'第1分钟两队打的比较谨慎
46'帕托越位 泰达后场球                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
46'裁判吹响了下半场开始的哨声                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
46'权健中圈开球，回敲到后卫                   43'第43分钟，泰达队左路突入到禁区，惠家康小禁区处停球，横向摆脱转身打门被挡出
52'王永珀发出任意球，泰达队后卫踢出禁区                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
52'泰达长传找到乔纳森，被权健后卫断下                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
53'泰达左侧边路控球，横传到中路打门，打的太正，被张鹭拿到                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
54'帕托禁区内拿球突破，与泰达后卫有身体接触，摔倒                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
54'裁判示意没有犯规，不是点球，比赛继续                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
55'泰达发出边线球，乔纳森控球，被权健后卫糜昊伦破坏出边线                   52'第52分钟，泰达左侧边路控球，横传到中路打门，打的太正被张鹭拿到
70'角球发出后被权健队后卫解围出禁区，帕托拿球，赵英杰犯规                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
70'权健中场控球，找到左路                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
71'权健中场传球失误，乔纳森被吴伟放倒，前场任意球                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
71'任意球距球门30米                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
72'乔纳森直接打门，球打到权健队球员身上变线出了底线                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
73'泰达队角球机会                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
73'角球找到后点球员，凌空射门打高了                   70'第70分钟，权健中场传球失误，乔纳森被吴伟放倒，泰达前场任意球
78'泰达队有人受伤倒地                   78'第78分钟，权健连换两人，郑达伦和赵旭日分别换下了王永珀和吴伟
79'权健队准备换人，换下王永珀                   78'第78分钟，权健连换两人，郑达伦和赵旭日分别换下了王永珀和吴伟
79'换上赵旭日                   78'第78分钟，权健连换两人，郑达伦和赵旭日分别换下了王永珀和吴伟
80'泰达队同样换人                   78'第78分钟，权健连换两人，郑达伦和赵旭日分别换下了王永珀和吴伟
81'换上曹阳和杨帆                   78'第78分钟，权健连换两人，郑达伦和赵旭日分别换下了王永珀和吴伟
82'阿奇姆彭右侧边路传中找乔纳森，传高了球出了底线                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
82'权健队本场最好的机会，帕托传球找杨旭，被泰达后卫解围                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
83'球落到赵旭日脚下，赵旭日直接一脚凌空打门，折射出底线                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
83'权健队获得角球机会                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
83'帕托左侧传中，泰达再次破坏出底线                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
84'权健队再次换人！苏缘杰换下裴帅！                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
84'权健队角球，被泰达后卫解围，阿奇姆彭拿球反击                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
85'张修维放倒阿奇姆彭，被裁判出示黄牌警告                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
85'阿奇姆彭主罚边线球，找到乔纳森                   82'第82分钟，赵旭日禁区外直接凌空抽射，皮球折射出了底线
86'长传到禁区，被张鹭没收                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
86'郑达伦得到中场同伴的挑传，转身打门，偏出球门                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
87'可惜了                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
88'泰达队郭皓受伤倒地                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
88'跟权健队球员争抢高空球的时候 受伤倒地，被担架抬出边线                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
89'权健队后场控球，长传失误，阿奇姆彭得球，但是被断                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
89'泰达队员犯规，权健队获得前场任意球机会                   86'第86分钟郑达伦反越位成功，可惜禁区线上的打门稍稍高出
