2'重庆力帆获得一个前场右路的任意球机会                   2'第2分钟，王栋开出角球，刘宇头球攻门顶高
21'主裁判要求重发                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
21'刘殿座出现重大失误                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
21'慢镜来看莱伊尔在越位位置                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
22'孙继海传中，刘卫东出击打空了，陈雷在后点垫到门前，莱伊尔门线上将球扫进大门！                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
22'但进球的结果没有更改，重庆力帆2：1领先                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
23'孔特拉也是在场边大吼着                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
23'富力的前场进攻，卢琳挑球过人后倒地                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
23'主裁判没有吹罚                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
24'力帆的进攻，连续的传球，莱伊尔分右路刘宇                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
24'刘宇晃动后回传中场，王栋头球一点球被断了                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
24'富力在后场连续一脚传球，传上来，张远接应转身直传，卢琳还没有起动                   21'重庆力帆在第21分钟打进意外又有争议的进球——孙继海右侧任意球传中，刘殿座出击打空了，陈雷在后点将球垫到门前，处在最前位置的吉利奥蒂门线上将球扫进大门
31'莱伊尔长传上来，于洋顶到第一点                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
31'力帆再传到禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
31'于洋后场控球，回传给刘殿座                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
33'富力也不断在后场倒着脚                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
33'球转移到右路的唐淼回做一下                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
34'汪嵩的起球传中，张远顶高了                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
34'富力这段时间中场控球做得不错                   31'第31分钟，莱伊尔长传被于洋第一点顶出，力帆再长传禁区，刘宇一顺，吉利奥蒂插上小角度打门被出击的刘殿座封堵
40'富力前场中路偏右的任意球机会                   40'第40分钟，汪嵩主罚任意球直接攻门打高
40'汪嵩准备主罚                   40'第40分钟，汪嵩主罚任意球直接攻门打高
41'汪嵩这脚不知是传还是射，搓到后点出了底线                   40'第40分钟，汪嵩主罚任意球直接攻门打高
41'富力继续在右路进攻                   40'第40分钟，汪嵩主罚任意球直接攻门打高
41'张远回中场接应被刘宇放倒                   40'第40分钟，汪嵩主罚任意球直接攻门打高
42'李岩中场高球送到禁区，刘宇已经卡住身位，张远推人犯规                   40'第40分钟，汪嵩主罚任意球直接攻门打高
43'冯劲在前场推人犯规                   40'第40分钟，汪嵩主罚任意球直接攻门打高
43'冯劲吃到一张黄牌                   40'第40分钟，汪嵩主罚任意球直接攻门打高
50'于洋长传被莱伊尔断下，崔永哲的直传，吉利奥蒂没有拿到                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
50'朴钟佑中场的护球被绊倒                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
51'张远左路得球内切后一脚劲射被隋维杰抱住                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
51'富力的内援尖刀姜宁今天也是没有出场                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
52'此外姜至鹏、张贤秀等一众主力都缺阵                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
53'富力在中场控球                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
53'分右路力量大了                   50'下半场易边再战，第50分钟，张远左路得球内切后一脚劲射被隋维杰抱住
57'唐淼下场后，张远打右后卫                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
57'卢琳左路得球带球内切低射近角，球被老孙伸脚挡出底线                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
57'老孙还是老路纵横                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
57'角球发得太低了                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
58'叶楚贵传中，于洋停球回做，李岩打门被后卫挡出来                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
58'球连续在倒，富力已经完全压制对方                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
59'张晨龙的边路传中大了                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
59'张远上来，再传中，又是孙继海的大脚破坏                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
59'富力左路的互传，转移到右路的张远                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
60'朴钟佑接应长传到左路找到卢琳                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
60'卢琳回做给张晨龙                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
60'李岩接应送到禁区，莱伊尔顶到第一点                   57'第57分钟，卢琳得球后带球内切低射近角，孙继海判断准确将球挡出底线
62'朴钟佑的直传，卢琳斜插上来趟大了                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
62'李岩外围一脚冷射，打高了                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
63'重庆力帆换上人气球员7号张池明，被换下的是8号刘卫东                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
65'广州富力再换人，15号张贤秀换下33号李岩                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
65'米歇尔的控球转移给张远                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
65'张远内切再传球，力量给太大了，球直接出底线                   62'第62分钟，朴仲佑送出直传，卢琳斜插上来趟大了，李岩外围一脚冷射打高
69'王栋中场强行拉倒了米歇尔                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
69'王栋被黄牌警告                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
70'孙继海长传上来，于洋顶到第一点                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
71'米歇尔中场控球，分左路，张晨龙传中被阿德阿顶出来                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
71'张远踢倒了张池明，黄牌                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
72'孙继海长传上来，张远大脚踢出了边线                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
72'张耀坤将球解围出底线                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
72'冯劲抽筋倒地，于洋过来帮冯劲压腿                   69'第69分钟王栋在中场防守时强行拉到了米歇尔被黄牌警告
75'中场仍然是富力的控球                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
75'张晨龙左路传中，隋维杰摘高球脱手了，还好球丢得不远，隋维杰倒地将球摁在自己身下                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
76'重庆力帆换人，12号徐小波换下了19号冯劲                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
77'米歇尔带球很快被崔永哲断下                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
77'二次球争抢，米歇尔抬脚过高                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
78'孙继海长传到前场右路，刘宇没有停好球                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
78'徐小波上场后打右后卫，刘宇往上推一档打到了右前卫                   75'第75分钟徐小波上场换下冯劲打右后卫，刘宇被前推改打右前卫
83'富力获得一个前场左路的任意球机会                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
83'隋维杰非常紧张地指挥着人墙                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
83'卢琳直接打门太正了，隋维杰将球抱住                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
84'常飞亚的传中被孙继海大脚破坏                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
84'吉利奥蒂回来帮忙防守将球断下                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
85'转身要推进时被张远绊倒                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
85'叶楚贵前场控球丢了，力帆回传给门将，解围踢嗤了出边线                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
86'老孙体能保持得还很好                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
86'王栋直传，吉利奥蒂护球被断了                   83'第83分钟，卢琳任意球直接攻门被隋维杰扑住
