2'绿城准备快发，被主裁判吹停，重发                   2'比赛不到2分钟，杭州绿城第一次有威胁进攻就打开场上局面
17'现在站在中线位置，等待登场机会                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
18'唐淼前场左路拿球，面对王林的防守人球分过                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
18'可惜球过人不过，再抢时被吹拉人犯规                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
18'汪嵩前场拿球，横拨给到马佐拉                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
19'马佐拉一个变向，上抢的富力队员刹车不急，直接踢倒了马佐拉                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
19'就在裁判眼皮底下，犯规少不了的                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
19'绿城前场任意球机会，位置相当不错，在禁区弧外一点点                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
20'汪嵩的任意球直接打门，打在人墙上弹出                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
20'王林右路的直传球交给马佐拉                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
20'马佐拉拿球转身，张耀坤上抢放铲                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
20'虽然没有铲到马佐拉，但这个动作有点危险                   17'第17分钟，马佐拉禁区前沿突破造对手犯规，杭州绿城获得前场位置极佳任意球机会，汪嵩主罚任意球直接射门，球打在人墙上没有威胁
23'绿城后场的过顶斜传，直接送入了程月磊的控制范围                   23'第23分钟，雅库布右路形成突破传球，唐淼下底传中可惜太靠近球门，姜波出击轻松没收
24'张耀坤左路拿球，面对对手的逼抢，回敲交给吴伟安                   23'第23分钟，雅库布右路形成突破传球，唐淼下底传中可惜太靠近球门，姜波出击轻松没收
24'吴伟安拿球交给左前场的队友                   23'第23分钟，雅库布右路形成突破传球，唐淼下底传中可惜太靠近球门，姜波出击轻松没收
25'达维拿球没有机会，大范围转移球到右路                   23'第23分钟，雅库布右路形成突破传球，唐淼下底传中可惜太靠近球门，姜波出击轻松没收
26'右路的进攻，边路传中，第一点被绿城球员解围                   23'第23分钟，雅库布右路形成突破传球，唐淼下底传中可惜太靠近球门，姜波出击轻松没收
32'达维斜传找雅库布，雅库布没机会，转移给到拉斐尔                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
32'拉斐尔失误了，绿城的反击                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
32'王林过顶直传找马佐拉                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
33'张耀坤利用站位将球控制，直传直接出了边线                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
33'绿城取得领先后，阵型也是全面回收                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
34'这对于富力的进攻造成了不小的压力                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
34'王宏有的左路的大范围转移球到右路                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
34'可惜传到了王林的身后，王林回接晚了，球出边线                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
35'刚刚信号失误，高迪进球了                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
35'目前比分绿城2-0领先富力，这情况不妙啊                   32'第32分钟，王宏有中场附近直塞穿透广州富力防线，王林右路高速跟进及时横敲球门前点，高迪高速插上抢点破门，场上比分改写为2比0
36'进球回放：绿城右路的传中，高迪门前包抄，左脚的弹射打进球门右下角                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
37'富力的进攻，边路传中，曹轩将球解围出边线                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
38'富力界外球进场，拉斐尔的强突被绿城球员解围出底线                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
38'富力获得左侧角球机会，可惜没能形成威胁                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
38'绿城前场的传接，汪嵩中路分边到右路给王林                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
39'王林面对张耀坤的防守，人球分过                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
39'雅库布回防，利用身体，将球拦截                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
39'上半场40分钟了，比分2-0，绿城领先                   36'第36分钟，雅库布前场右路面对两人防守强行突破，禁区内横敲中路可惜无人跟进，杭州绿城后卫大脚解围
46'上半场比赛补时阶段，富力扳回一城，这好看了                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
46'富力的前场进攻，直传球再被绿城破坏                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
46'好的，双方下半场比赛开始了                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
46'双方似乎都没有做出人员上的调整                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
47'富力还是要加强进攻啊                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
47'但要注意减少单干和无谓的传接球失误                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
47'杭州前场的任意球机会                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
48'任意球开出，富力后卫破坏出底线，角球                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
48'杭州的角球开出，没什么威胁                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
49'阿甘带球内切被断了                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
49'拉斐尔拿球反击，转移球失误了，有些急                   46'下半场易边再战，第46分钟，杭州绿城右路形成突破，马佐拉传中被李文博封堵出底线
51'富力后场连续的倒角球丢了                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
51'拉斐尔反抢犯规了                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
52'阿甘禁区线附近想打一脚，被后卫顶出                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
52'进球了，曹轩                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
53'汪嵩右路把球停了一下，传到中路，曹轩抢点打门球进                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
54'富力的防守还是存在很大问题啊                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
54'1米9几的曹轩，刚刚的俯身冲顶破门，不容易啊                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
54'拉斐尔中场接应球                   51'第51分钟，汪嵩在右路用左脚传出一记落点极佳的弧线球到禁区中路，曹轩力压中后卫头球攻门得手，距离太近程月磊毫无办法目送皮球入网，场上比分为3比1
55'机会，拉斐尔挑传禁区                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
55'雅库布打偏了                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
55'很可惜啊，前面已经没有防守队员了                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
56'现场的雨还在继续                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
56'富力换人，高增翔下，卢琳上                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
57'目标很明确，加强进攻                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
57'富力前场获得一个界外球                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
58'富力前场的抢断                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
58'可惜禁区的雅库布越位了先                   55'第55分钟，法里亚斯对场上阵容进行调整，换上卢琳加强进攻
60'高迪下底传中，传大了                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
60'马佐拉后场拿球向前突击                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
61'黄牌，李文博                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
61'被马佐拉过掉后，故意铲人犯规                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
62'马佐拉禁区内摔倒了                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
62'裁判判定为假摔                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
62'拉斐尔吃到一个黄牌                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
63'富力前场连续的围攻，效果不大                   60'第60分钟，马佐拉禁区内巧妙摆脱防守倒地，主裁判向他出示一张黄牌，判马佐拉假摔，这个判决有点冤
66'唐家庶的前场抢断，分边给阿甘                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
66'唐淼将球踢出界外                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
67'欢欢狗2013-03-17 20:50:35法里亚斯下课，踢的真糟糕（两场丢7球，这确实有点说不过去啊）                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
67'汪嵩禁区线抢断                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
67'拿球突入禁区的打门被程月磊没收                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
67'富力再次换人调整，张远下，姜宁上                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
68'杭州前场又获得一个任意球，没有形成威胁                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
69'吴伟安的转移球直接给了杭州队的防守球员                   66'第66分钟，法里亚斯用完第三个换人名额，用姜宁替补张远登场
75'阿甘前场拿球想要内切，被铲倒了                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
76'汪嵩站在球前，拨给中路，李喆的大力抽射，偏出球门                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
76'富力的好机会                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
77'雅库布插到禁区想要捅射，姜波抢先拿到了球                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
77'拉斐尔前场拿球反击                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
78'自己拿球失误了，滑倒了                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
78'阿甘背身拿球，分给高迪                   75'第75分钟，阿甘前场突破赢得任意球机会，汪嵩横拨一下跟进球员直接大力远射，球偏出立足
80'高迪今天的发挥很积极                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
80'两轮两球，很抢眼啊                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
81'杭州换人，抽筋的高迪下，黄凤涛上                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
82'汪嵩前场的任意球直接打门，球直接飞到了观众席                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
82'比赛已经来到82分钟，杭州绿城3：1领先广州富力                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
83'阿甘拿球反击，球没拿稳，被断了                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
83'雅库布分给边路的姜宁                   80'第80分钟，杭州绿城用黄凤涛替换本场表现出色的高迪登场
88'唐淼直塞，拉斐尔传中，球被挡出底线                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
89'绿城换人，阿甘下，大黑将志上                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
90'富力前场连续获得角球机会，但均没有多大威胁                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
90'时间不多了，富力要加快节奏啊                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
91'新浪用户:体育和政治没有关系的，用心看球（理性球迷，赞一个）                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
91'下半场补时3分钟                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
91'唐淼斜传禁区，雅库布争顶，没有力量                   88'第88分钟，卢琳右路角球传到禁区内，绿城后卫头球解围不远，卢琳继续将球传入禁区内，绿城后卫头球回传守门员，险些自摆乌龙还好姜波反应奇快单手将球挡出
