9'福斯特长传上来，阿斯皮利奎塔顶一下                   9'第9分钟，凯帕传球失误，德乌洛费乌脚后跟传球迪尼被吕迪格拦截解围
49'沃特福德瞬间扳平！佩雷拉！                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'沃特福德战术角球传到弧顶，佩雷拉凌空抽射打进了球门右下角！                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'双方回到同一起跑线                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'上半场比赛结束！                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'若日尼奥直传，阿扎尔传得不好                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'马里亚帕回传给福斯特                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'长传上来，阿斯皮利奎塔顶一下                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'卡斯卡特得球分右侧                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'塞马转身了，阿隆索卡住身位                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
47'塞马拉人犯规                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'吕迪格放长传上来，准星不足                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'科瓦契奇带球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'分给威廉                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'转移给右侧的阿斯皮利奎塔                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'坎特接应交给奥多伊                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'回传给吕迪格                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'交给路易斯                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'再交给阿隆索                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'拉边的是威廉                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'回给科瓦契奇                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'阿扎尔接应。转移了                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
48'奥多伊                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'交给阿扎尔，回出来，阿斯皮利奎塔传中，太高了                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'阿隆索左侧拿球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'回传给路易斯                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'不断的转移                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'到右侧                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'若日尼奥控球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'分左侧的威廉                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'加速交给阿隆索                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'交给阿扎尔                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'不断的传球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
49'路易斯放长传到禁区                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'坎特的插上，没有停到球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'威廉回传给路易斯                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'交给若日尼奥                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'分右侧的阿斯皮利奎塔                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'直传，给予大了                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'塞马分右侧的基科                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'传中，力量小了                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
50'威廉护球                   47'但沃特福德2分钟后扳平，迪尼头球摆渡，杜库雷小禁区左侧射门被凯帕扑出底线，霍莱巴斯角球开至禁区边缘，佩雷拉第一时间半凌空抽射入右下角，1-1
54'凯帕的解围                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
54'球出边线                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
54'德乌洛费乌拿球，变向到禁区，倒地                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
54'没有点球                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
54'裁判很坚决                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
54'看，德乌洛费乌加速                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'路易斯用身体挡住他的前进线路                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'裁判认为路易斯这个卡位没有犯规                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'吕迪格交给凯帕                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'交给吕迪格                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'不断的一脚传球                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'奥多伊接应交给科瓦契奇                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'转移左侧的阿隆索                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
55'科瓦契奇交给威廉                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'横传失误                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'佩雷拉事反击                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'横带，切尔西回防到位                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'杜科雷的远射打在科瓦契奇身上                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'塞马右侧过了阿隆索                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
56'倒三角传中被若日尼奥拦截                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
57'下半场沃特福德攻势多了很多                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
57'路易斯控球                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
57'交给坎特，回传给吕迪格                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
57'分右侧                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
57'若日尼奥挑传，阿扎尔插上                   54'第54分钟，德乌洛费乌强突禁区右侧在路易斯防守下摔倒，裁判拒绝判罚点球
72'分右侧，基科一顺                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'若日尼奥卡住位置让球出边线                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'阿隆索带球上前交给科瓦契奇                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'加速                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'直传上来                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'阿扎尔得球交给威廉                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
72'禁区边缘的劲射，打偏了                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
73'基科带球上来                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
73'与基纳做配合被阿隆索拦截                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
73'转移到右侧的奥多伊                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
73'回传，路易斯带球，带丢了                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
73'卡鲍埃观察时间有点长                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
74'德乌洛费乌出来要球                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
74'科瓦契奇好的拦截                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
74'球还在沃特福德脚下                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
74'基纳接应，坎特抢球时撞人犯规                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
74'沃特福德左侧的任意球机会                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
75'霍莱巴斯传中，过不了第一点的阿斯皮利奎塔                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
75'外围德乌洛费乌得球直传                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
75'直接交给了切尔西门将凯帕                   72'第72分钟，阿扎尔传球，威廉15码处左脚抽射打中右侧立柱弹出
