1'上半场比赛开始了，先由桑德兰开球                   1'曼联第1分钟连续角球施压，但鲁尼10码处头球攻门偏出
22'阿什利杨的角球传后点，没有队友接应                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
23'范加尔现在一脸的愁容，看不到一点轻松的表情                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
23'桑德兰前场左边路配合出现失误                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
23'法尔考也是几乎回到后卫线前面拿球                   20'迪马利亚前20分钟多次丢球，甚至回传失误给迪福断下，但桑德兰的快攻并未形成得分机会
49'球到左边路，贾努扎伊回敲给斯莫林                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
49'斯莫林禁区角外斜传到门前，罗霍抢到第二点抡起就打！球高出横梁！                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
50'曼联试图在中路通过简单的2过1来打穿对手的防守，他们想的太简单了吧                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
50'桑德兰防守好歹也有前曼联球员啊！                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
50'拉尔森中场一脚过顶长传找左边路的迪福，没有传好，球出了边线                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
51'法尔考前场接应皮球时被身后的布朗推倒，犯规                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
51'贾努扎伊右边路试图斜传禁区，球没有传起来！                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
52'戈麦斯中场带球突破被布林德踢倒，犯规                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
52'桑德兰左边路试图抹进禁区，但斯莫林用身体死死卡住进攻位置把球留下来了                   49'第49分钟，罗霍角球混战中12码处凌空抽射高出
66'鲁尼点球命中！抽射打入球门左下角！！                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
66'此时此刻值得来杯嘉士伯                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
66'角度打的太刁钻，门将虽然判断准了方向，但无奈角度太刁钻！                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
66'这样下半场曼联依靠点球1-0领先了                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
67'桑德兰换上贝尔吉尼                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
67'曼联也用费莱尼换下制造点球的法尔考                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
68'场上平衡已经被打破，看看双方还会不会给球迷们带来更多的进球                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
69'桑德兰防守现在队型缩的更加靠后了                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
69'阿什利扬左边路下底串后点，贾努扎伊凌空抽射打在后卫身上弹出禁区                   66'曼联第66分钟打破僵局，埃雷拉传球，法尔考禁区内停球转身后被前曼联后卫奥谢拉倒，裁判伊斯特判罚极刑
84'鲁尼梅开二度！！！                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
84'此时此刻值得来杯嘉士伯                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
85'贾努扎伊右侧带球突入禁区，推射远角被门将侧扑扑出，门前拍马赶到的鲁尼头球补射得分！！                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
85'曼联换人，用马塔换下今天的功臣鲁尼                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
85'留给马塔的时间还有5分钟                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
86'加上补时可能还有7-8分钟                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
86'这样曼联主场获胜拿到3分就问题不大了                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
86'2球领先而且人数占优                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
87'马塔禁区外过顶传球到底线附近，费莱尼头球摆渡到门前，球被后卫解围出底线，角球                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
87'马塔角球传到门前，球被后卫头球破坏                   84'曼联第84分钟扩大比分，瓦伦西亚传球，贾努扎伊禁区右侧的射门被潘蒂利蒙勉强扑出，鲁尼小禁区边缘头球破门梅开二度，2-0
