3'上海上港球员武磊一脚直塞球给李运秋,但是边裁举旗显示后者已经越位.                   3'第3分钟，武磊右路直传，李运秋从外线跟进，不过边裁示意越位
32'上海上港球员阿多一脚直塞球给蔡慧康,但是边裁举旗显示后者已经越位.                   31'第31分钟，武磊右路一对一连续变向晃动，闪开李炽的防守后传中，后点舜天后卫头球解围
33'达纳拉赫为江苏舜天在右路,赢得一个任意球.                   31'第31分钟，武磊右路一对一连续变向晃动，闪开李炽的防守后传中，后点舜天后卫头球解围
33'上海上港球员伊班拼抢犯规,对手获得控球权.                   31'第31分钟，武磊右路一对一连续变向晃动，闪开李炽的防守后传中，后点舜天后卫头球解围
34'江苏舜天球员耶夫蒂奇拼抢犯规,对手获得控球权.                   31'第31分钟，武磊右路一对一连续变向晃动，闪开李炽的防守后传中，后点舜天后卫头球解围
34'卡贝萨斯为上海上港赢得一个任意球.                   31'第31分钟，武磊右路一对一连续变向晃动，闪开李炽的防守后传中，后点舜天后卫头球解围
41'耶夫蒂奇为江苏舜天在对方半场,赢得一个任意球.                   41'第41分钟，陆博飞主罚任意球被解围
41'上海上港球员李运秋拼抢犯规,对手获得控球权.                   41'第41分钟，陆博飞主罚任意球被解围
42'江苏舜天球员吉翔大禁区中央左脚射门,被防守球员封堵.                   41'第41分钟，陆博飞主罚任意球被解围
43'江苏舜天球员李炽拼抢犯规,对手获得控球权.                   41'第41分钟，陆博飞主罚任意球被解围
43'武磊为上海上港在右路,赢得一个任意球.                   41'第41分钟，陆博飞主罚任意球被解围
44'耶夫蒂奇为江苏舜天赢得一个任意球.                   41'第41分钟，陆博飞主罚任意球被解围
44'上海上港球员蔡慧康拼抢犯规,对手获得控球权.                   41'第41分钟，陆博飞主罚任意球被解围
44'黄牌！上海上港球员蔡慧康因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，陆博飞主罚任意球被解围
48'射门!!!上海上港球员卡贝萨斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是傅欢.                   47'第47分钟卡贝萨斯大禁区外左脚射门被对方门将飞身扑出
50'江苏舜天球员吉翔大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是达纳拉赫.                   47'第47分钟卡贝萨斯大禁区外左脚射门被对方门将飞身扑出
62'江苏舜天球员吉翔拼抢犯规,对手获得控球权.                   60'第60分钟，陆博飞前场直传禁区，伊班头球解围，禁区外陆博飞拿球直塞仍被对手拦截
62'朱峥嵘为上海上港在左路,赢得一个任意球.                   60'第60分钟，陆博飞前场直传禁区，伊班头球解围，禁区外陆博飞拿球直塞仍被对手拦截
65'江苏舜天球员塔吉巴耶夫拼抢犯规,对手获得控球权.                   64'第64分钟，周云右侧斜传禁区，第一点阿多头球顶出，周云自己跟上抢第二点射门打偏
65'毛嘉康为上海上港赢得一个任意球.                   64'第64分钟，周云右侧斜传禁区，第一点阿多头球顶出，周云自己跟上抢第二点射门打偏
66'江苏舜天球员周云大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   64'第64分钟，周云右侧斜传禁区，第一点阿多头球顶出，周云自己跟上抢第二点射门打偏
67'上海上港球员武磊大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是朱峥嵘.                   64'第64分钟，周云右侧斜传禁区，第一点阿多头球顶出，周云自己跟上抢第二点射门打偏
79'江苏舜天球员刘建业拼抢犯规,对手获得控球权.                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
79'傅欢为上海上港在对方半场,赢得一个任意球.                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
79'黄牌！江苏舜天球员刘建业因为恶意犯规,被主裁判出示黄牌.                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
80'上海上港傅欢受伤倒地,比赛暂停                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
81'暂停结束,球员们重新开始比赛.                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
81'埃雷尔森将球处理出底线,上海上港获得角球.                   78'第78分钟傅欢沿右边路带球突破，刘建业背后铲球犯规吃到黄牌
89'江苏舜天球员达纳拉赫大禁区中央头球,命中门柱横梁.给他传球的是刘建业.                   89'第89分钟，舜天队右路传中，达纳拉赫头球攻门击中横梁弹出
90'+4'江苏舜天换人,艾志波换下陆博飞                   89'第89分钟，舜天队右路传中，达纳拉赫头球攻门击中横梁弹出
90'+4'下半场结束,江苏舜天 0-0 上海上港                   89'第89分钟，舜天队右路传中，达纳拉赫头球攻门击中横梁弹出
