1'利物浦球员库蒂尼奥大禁区中央右脚射门,被防守球员封堵.给他传球的是亨德森.
53'利物浦球员斯图里奇大禁区外左脚射门,被防守球员封堵.给他传球的是唐宁.
54'皇家巡游者球员哈里曼一脚直塞球给萨莫拉,但是边裁举旗显示后者已经越位.
55'利物浦球员亨德森一脚直塞球给Jordon Ibe,但是边裁举旗显示后者已经越位.
56'朴智星为皇家巡游者赢得一个任意球.
56'利物浦球员亨德森拼抢犯规,对手获得控球权.
58'萨莫拉为皇家巡游者赢得一个任意球.
58'利物浦球员斯科特尔拼抢犯规,对手获得控球权.
60'利物浦球员唐宁球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是斯科特尔.
62'希尔将球处理出底线,利物浦获得角球.
62'利物浦球员卡拉格大禁区外右脚射门,命中门柱左侧立柱.给他传球的是卢卡斯.
64'利物浦换人,博里尼换下Jordon Ibe
65'皇家巡游者球员格拉内罗大禁区外左脚射门,被防守球员封堵.给他传球的是雷米.
67'皇家巡游者球员德里拼抢犯规,对手获得控球权.
67'亨德森为利物浦在对方半场,赢得一个任意球.
67'黄牌！皇家巡游者球员德里因为恶意犯规,被主裁判出示黄牌.
70'利物浦球员唐宁大禁区外左脚射门,被防守球员封堵.给他传球的是斯图里奇.
71'汤森德将球处理出底线,利物浦获得角球.
72'皇家巡游者球员拼抢犯规,对手获得控球权.
72'为利物浦赢得一个任意球.
72'皇家巡游者球员汤森德被主裁判出示了一张黄牌.
73'皇家巡游者换人,麦基上,萨莫拉因伤下场.
73'利物浦球员库蒂尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是唐宁.
75'利物浦换人,苏索换下库蒂尼奥
78'射门!!!利物浦球员苏索大禁区外左脚射门,被对方守门员横身扑出.
80'皇家巡游者球员汤森德大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是麦基.
80'皇家巡游者换人,霍伊莱特换下朴智星
81'射门!!!利物浦球员苏索球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是斯图里奇.
81'利物浦球员唐宁大禁区中央左脚射门,被防守球员封堵.
82'射门!!!利物浦球员何塞-恩里克大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是博里尼.
84'雷米将球处理出底线,利物浦获得角球.
86'利物浦换人,科茨换下卡拉格
88'利物浦球员斯图里奇大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是苏索.
89'利物浦球员博里尼大禁区中央右脚射门,被防守球员封堵.
90'+1'皇家巡游者球员汤森德大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是麦基.
90'+3'皇家巡游者球员麦基大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是霍伊莱特.
90'+4'下半场结束,利物浦 1-0 皇家巡游者
