11'尤文图斯球员马尔基西奥大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是皮尔洛.                   11'第11分钟，马尔基西奥在门前30米处左脚大力抽射掠过横梁
46'锡耶纳球员罗德里格斯拼抢犯规,对手获得控球权.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
46'马罗内为尤文图斯在对方半场,赢得一个任意球.                   43'第43分钟，科斯米在场边喋喋不休，被马佐莱尼逐出技术区，科斯米仍然怒气冲冲，在老将罗西纳安慰劝说下才退场，他和孔蒂坐到同一包厢观战
47'尤文图斯球员比达尔一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
49'维尔加索拉为锡耶纳在右路,赢得一个任意球.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
49'尤文图斯球员阿萨莫阿拼抢犯规,对手获得控球权.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
50'安杰洛将球处理出底线,尤文图斯获得角球.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
50'锡耶纳球员安杰洛拼抢犯规,对手获得控球权.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
50'乔文科为尤文图斯在左路,赢得一个任意球.                   47'上半时补时第2分钟，安热洛右路强突德切列底线传中，卡拉约后点距门6米处头球顶入近角，锡耶纳追为1比1
53'尤文图斯球员比达尔大禁区外左脚射门,被防守球员封堵.给他传球的是基耶利尼.                   53'第53分钟，比达尔禁区外低射碰后卫变成助攻，乔文科禁区右侧距门9米处小角度射门，内托回防到球门线前头球解围顶出横梁
53'射门!!!尤文图斯球员乔文科球门右侧小角度右脚射门,被对方守门员横身扑出.                   53'第53分钟，比达尔禁区外低射碰后卫变成助攻，乔文科禁区右侧距门9米处小角度射门，内托回防到球门线前头球解围顶出横梁
53'内托将球处理出底线,尤文图斯获得角球.                   53'第53分钟，比达尔禁区外低射碰后卫变成助攻，乔文科禁区右侧距门9米处小角度射门，内托回防到球门线前头球解围顶出横梁
54'锡耶纳换人,塞斯图换下泽-洛维                   53'第53分钟，比达尔禁区外低射碰后卫变成助攻，乔文科禁区右侧距门9米处小角度射门，内托回防到球门线前头球解围顶出横梁
56'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是阿萨莫阿.                   53'第53分钟，比达尔禁区外低射碰后卫变成助攻，乔文科禁区右侧距门9米处小角度射门，内托回防到球门线前头球解围顶出横梁
57'安杰洛为锡耶纳在右路,赢得一个任意球.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
57'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
57'布冯将球处理出底线,锡耶纳获得角球.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
59'尤文图斯球员武齐尼奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿萨莫阿.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
59'锡耶纳球员罗德里格斯一脚直塞球给卡莱奥,但是边裁举旗显示后者已经越位.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
60'罗西纳为锡耶纳赢得一个任意球.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
60'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   57'第57分钟，锡耶纳中场长传禁区右侧，基耶利尼距门8米处头球回传差点乌龙，布冯单手托出横梁
62'安杰洛将球处理出底线,尤文图斯获得角球.                   62'第62分钟，乔文科左路传中，武齐尼奇门前没碰到球
63'锡耶纳球员内托被主裁判出示了一张黄牌.                   62'第62分钟，乔文科左路传中，武齐尼奇门前没碰到球
65'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   62'第62分钟，乔文科左路传中，武齐尼奇门前没碰到球
65'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
66'罗德里格斯为锡耶纳赢得一个任意球.                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
66'尤文图斯球员乔文科拼抢犯规,对手获得控球权.                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
66'罗西纳为锡耶纳在对方半场,赢得一个任意球.                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
66'尤文图斯球员马罗内拼抢犯规,对手获得控球权.                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
68'尤文图斯换人,贾凯里尼换下利西斯泰纳                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
68'锡耶纳换人,博尔佐尼换下安杰洛                   65'第65分钟，马尔基西奥在门前20米处低射被佩戈洛抱住
70'射门!!!尤文图斯球员比达尔球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
71'锡耶纳卡莱奥受伤倒地,比赛暂停                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
71'暂停结束,球员们重新开始比赛.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
71'马罗内将球处理出底线,锡耶纳获得角球.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
72'锡耶纳球员罗德里格斯大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是德尔格罗索.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
73'锡耶纳球员塞斯图拼抢犯规,对手获得控球权.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
73'阿萨莫阿为尤文图斯在左路,赢得一个任意球.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
73'菲利佩为锡耶纳赢得一个任意球.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
73'尤文图斯球员武齐尼奇拼抢犯规,对手获得控球权.                   70'第70分钟，武齐尼奇直传禁区右侧，比达尔小角度凌空抽射被佩戈洛封出
78'锡耶纳球员卡莱奥球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是塞斯图.                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
79'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
79'锡耶纳球员佩格罗一脚直塞球给卡莱奥,但是边裁举旗显示后者已经越位.                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
80'内托将球处理出底线,尤文图斯获得角球.                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
80'尤文图斯换人,夸利亚雷拉换下马罗内                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
81'锡耶纳换人,雷吉纳尔多换下罗西纳                   78'第78分钟，德尔格罗索左路传中，前点无人盯防罗西纳没顶到，尤文逃过一劫
85'进球啦！！！尤文图斯球员马尔基西奥大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是基耶利尼. 锡耶纳 1-2 尤文图斯.                   85'尤文第85分钟再度超出
86'帕齐为锡耶纳赢得一个任意球.                   85'尤文第85分钟再度超出
86'尤文图斯球员夸利亚雷拉拼抢犯规,对手获得控球权.                   85'尤文第85分钟再度超出
87'锡耶纳球员塞斯图拼抢犯规,对手获得控球权.                   85'尤文第85分钟再度超出
87'乔文科为尤文图斯在左路,赢得一个任意球.                   85'尤文第85分钟再度超出
87'黄牌！锡耶纳球员塞斯图因为恶意犯规,被主裁判出示黄牌.                   85'尤文第85分钟再度超出
88'锡耶纳球员德尔格罗索拼抢犯规,对手获得控球权.                   85'尤文第85分钟再度超出
88'武齐尼奇为尤文图斯在右路,赢得一个任意球.                   85'尤文第85分钟再度超出
89'尤文图斯球员乔文科大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是夸利亚雷拉.                   89'第89分钟，乔文科远射高出
90'+1'维尔加索拉为锡耶纳赢得一个任意球.                   89'第89分钟，乔文科远射高出
90'+1'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   89'第89分钟，乔文科远射高出
90'+1'射门!!!锡耶纳球员帕齐大禁区中央头球,被对方守门员横身扑出.给他传球的是塞斯图.                   89'第89分钟，乔文科远射高出
90'+2'内托将球处理出底线,尤文图斯获得角球.                   89'第89分钟，乔文科远射高出
90'+2'维尔加索拉为锡耶纳赢得一个任意球.                   89'第89分钟，乔文科远射高出
90'+2'尤文图斯球员武齐尼奇拼抢犯规,对手获得控球权.                   89'第89分钟，乔文科远射高出
90'+3'锡耶纳球员维尔加索拉被主裁判出示了一张黄牌.                   89'第89分钟，乔文科远射高出
90'+3'尤文图斯球员武齐尼奇被主裁判出示了一张黄牌.                   89'第89分钟，乔文科远射高出
90'+3'锡耶纳球员卡莱奥一脚直塞球给雷吉纳尔多,但是边裁举旗显示后者已经越位.                   89'第89分钟，乔文科远射高出
90'+4'德尔格罗索将球处理出底线,尤文图斯获得角球.                   89'第89分钟，乔文科远射高出
90'+5'下半场结束,锡耶纳 1-2 尤文图斯                   89'第89分钟，乔文科远射高出
