45'界外球发出来，李海龙将球破坏出边线                   45'第45分钟，黄博文弧线球传中，高拉特甩头攻门顶入近角
78'角球好到禁区内，被顶出来，塔尔德利控到球，但传球不好                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
78'佩莱直传球想给蒿俊闵，力量大了一点，曾诚出击没收                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
79'于汉超右路下底横传，出底线                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
79'塔尔德利左路带球进攻，刘健犯规啦                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
80'判给了鲁能泰山队角球机会                   77'第77分钟，高拉特斜传造成张弛踢疵，替补登场的邹正停球后垫射破门
46'角球发到禁区内前点！高拉特前插打门！皮球应声入网！                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
46'王大雷挡了一下，还是进入网内                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'上半场补时2分钟                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'鲁能泰山队攻到胶场，被断                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'广州恒大队断球右路反击，张琳芃没能控好，球出边线                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'塔尔德利中场得球，对方抢球犯规！                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'任意球发出来，塔尔德利带球进攻，横传队友                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
46'下半场比赛开始                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
46'广州恒大队攻过中场，对方犯规                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
46'任意球发出来，郑龙挑传禁区，戴琳解围出来                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
46'王大雷大脚开球过中场，广州恒大队把球控下来                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'后场鲁能泰山队断球，右路直传，交给佩莱                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
47'佩莱带球突破，被黄博文挡出边线                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
48'李海龙右路突破丢球，反抢出底线                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
49'塔尔德利左路带球突破，被于汉超抢断下来                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
49'于汉超防守塔尔德利时受伤倒在地上，主裁判吹止比赛                   46'开场不到1分钟，山东鲁能后场长传，蒿俊闵迅速前插，但球被后卫挡出，迎来32岁生日的佩莱禁区外抢先一脚撩射，球稍稍高出横梁
66'广州恒大队前场控球，对方犯规，任意球机会                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
66'任意球发到禁区内，被头球解围出来                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
66'鲁能泰山队长传球到前场，被断下来                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
67'戴琳后场断球，鲁能泰山队左路进攻                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
67'塔尔德利卖主示给佩莱！                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
67'佩莱传禁区！塔尔德利接球还想过张琳芃！没能成功                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
68'鲁能泰山队换人：张驰上场，换下姜佳骏                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
69'高拉特后场控球，张驰争抢犯规                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
69'张琳芃右路横传禁区！太大了些                   66'第21分钟，塔尔德利边路穿裆过掉徐新，后者一直手拽塔尔德利球衣犯规，主裁判向徐新出示黄牌警告
69'高拉特后场控球，张驰争抢犯规                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
69'张琳芃右路横传禁区！太大了些                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
70'张驰后场抢到球，斜传想给佩莱！被断                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
70'广州恒大队攻到前场！王大雷出击没能扑到。跟上队员劲射，打空门！！！击中立柱！                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
71'戴琳后场抢到球，被封喉！！                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
71'刚才打门的是于汉超                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
71'保利尼奥的做球是非常到位的                   69'第24分钟，广州恒大边路弧线球传中，高拉特禁区中路停球后侧身凌空抽射，球弹地后被站位较好的王大雷没收
80'判给了鲁能泰山队角球机会                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
81'蒿俊闵发角球到禁区内，被顶出来                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
81'郑龙带球过中场，交给高拉特                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
81'广州恒大队进球啦！邹正！2-1                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
81'郑龙右路传给高拉特！横传禁区！邹正抢点劲射破门得分！                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
82'张驰回防解围，没能踢到球！                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
82'邹正是刚刚换上场的球员                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
83'戴琳在右路抢球犯规！送给广州恒大队任意球机会                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
83'鲁能泰山队换人：成源上场，换下金敬道                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
83'于汉超外围远射！被王大雷没收                   80'第35分钟，广州恒大长传反击，郜林扛住防守队员杀到前场，面对防守队员选择内切射门，球被王大雷挡出
87'郑铮左路接球回传，蒿俊闵传禁区！被破坏出来                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
87'郑铮接球再从左路横传禁区！又被破坏出来                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
87'高拉特前场得球，突然一脚远射！打偏                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
88'成源前场带球突破，被挡出来，塔尔德利横传，张驰一脚大力远射！！！偏出！                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
88'这脚打门有些远！不过还是有相当威胁                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
89'佩莱在前场左路抢球犯规！                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
89'广州恒大队两名队员在商量谁发球，然后在喝水！有拖时间的意思                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
89'曾诚大脚开球到前场，送到对方脚下                   86'第41分钟，广州恒大边路传中，保利尼奥头球攻门打在吉尔手臂上，但主裁判并未判罚点球
90'戴琳长传球到前场，佩莱得球回传                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
90'塔尔德利斜传禁区！皮球出底线                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
90'成源快速攻到前场，被保利尼奥抢断，成源反抢犯规                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
91'下半场要补时4分钟                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
91'后场鲁能泰山队断球，长传前场左路                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
91'鲁能泰山队长传禁区！被顶出来                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
91'高拉特左路带突破！到禁区内，被两人关门把球抢断下来                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
92'张驰大脚开球到禁区内，被破坏出来                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
92'中场吉尔控球，高拉特拼，犯规                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
92'鲁能泰山队得到任意球机会                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
93'郑铮发任意球到禁区内。吉尔和佩莱都到位，但谁也没碰到，皮弹地出底线！                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
93'广州恒大队长传球，李松益争顶压倒了郜林                   90'第45分钟，广州恒大打破僵局，黄博文角球发到前门柱，高拉特抢点头球小角度一蹭将球打入近角，广州恒大1-0领先
77'李学鹏抽筋倒在地上                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
77'张琳芃示意要换人！看来李学鹏无法坚持                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
77'刘健上场，先换下黄博文                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
78'邹正上场，换下抽筋的李学鹏                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
78'广州恒大队的角球机会                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
78'角球好到禁区内，被顶出来，塔尔德利控到球，但传球不好                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
78'佩莱直传球想给蒿俊闵，力量大了一点，曾诚出击没收                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
79'于汉超右路下底横传，出底线                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
79'塔尔德利左路带球进攻，刘健犯规啦                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
80'判给了鲁能泰山队角球机会                   77'第77分钟，广州恒大连续换人，刘健换下黄博文，邹正换下李学鹏
87'郑铮左路接球回传，蒿俊闵传禁区！被破坏出来                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
87'郑铮接球再从左路横传禁区！又被破坏出来                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
87'高拉特前场得球，突然一脚远射！打偏                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
88'成源前场带球突破，被挡出来，塔尔德利横传，张驰一脚大力远射！！！偏出！                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
88'这脚打门有些远！不过还是有相当威胁                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
89'佩莱在前场左路抢球犯规！                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
89'广州恒大队两名队员在商量谁发球，然后在喝水！有拖时间的意思                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
89'曾诚大脚开球到前场，送到对方脚下                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
90'戴琳长传球到前场，佩莱得球回传                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
90'塔尔德利斜传禁区！皮球出底线                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
90'成源快速攻到前场，被保利尼奥抢断，成源反抢犯规                   87'第87分钟，高拉特长途奔袭，与保利尼奥配合后，于禁区外低射，球稍稍偏出
