1'上半场比赛开始了！                   1'利物浦第1分钟展开积极攻势，拉拉纳传中，菲尔米诺的射门被戈麦斯救下
75'阿姆拉巴特带进了禁区横传，扬马特推射左下角球进了！                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
75'利物浦防守还是有不足                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
76'菲尔米诺右路下底，传中打在了布里托斯的头飞出底线                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
78'斯图里奇远射击中了横梁                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
78'佩雷拉分给阿姆拉巴特，传中间，伊哈洛再分出来                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
78'菲尔米诺抢到第二点                   75'沃特福德第75分钟扳回一城，阿姆拉巴特突入禁区右侧回传，扬马特15码处低射入网，1-5
88'阿姆拉巴特前场马赛回旋，没有成                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
88'斯图里奇弧线球远射，再次被横梁拒之门外                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
89'斯图里奇回接时手球了                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
91'亨德森直传禁区右侧，斯图里奇小角度打门被潘蒂利蒙封出                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
91'战术角球，斯图里奇劲射被潘蒂利蒙扑出                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
91'维纳尔杜姆补射球进！                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
91'比赛进入补时阶段，补3分钟！                   88'第88分钟，斯图里奇25码处弧线球射门被潘蒂利蒙扑挡后再次打中横梁
91'亨德森直传禁区右侧，斯图里奇小角度打门被潘蒂利蒙封出                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
91'战术角球，斯图里奇劲射被潘蒂利蒙扑出                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
91'维纳尔杜姆补射球进！                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
91'比赛进入补时阶段，补3分钟！                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
92'霍莱瓦斯左路过人，传中，有机会，迪尼头球争下来                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
92'伊哈洛打门打在马蒂普身上                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
93'米尔纳左路内切被拦截                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
93'埃姆雷坎回传                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
94'菲尔米诺右路带球                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
94'全场比赛结束！                   91'第91分钟，埃贾里亚脚后跟传球，菲尔米诺回传，斯图里奇15码处射门被扑出，维纳尔杜姆补射入网，6-1
