6'孙世林受伤倒在地上                   3'开场3分钟，辽宁宏运率先制造威胁，刘尚坤边路拿球内切远射，球稍稍打偏
18'今天鲁能泰山队打得很有气势                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
18'辽宁宏运队右路下底回传，李松益把球断下来                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
19'蒿俊闵带球突破一脚远射，被挡出来                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
19'吴兴涵左路横传找佩莱，被破坏                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
19'张弛得球再从左路突破横传禁区，又被破坏出来                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
20'齐天羽右路横传禁区！传得深了些                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
20'郑涛把球破坏出边线                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
20'张弛发出界外球，队友回传，郑涛上抢，球出边线                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
20'辽宁宏运队后场界外球                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
21'吉尔后场控球，回传给王大雷                   18'第18分钟，齐天羽弧线球传中，吴兴涵禁区内头球攻门高出
28'蒙蒂略右路突破传禁区，对方顶出来，齐天羽跟进远射！打偏                   28'第28分钟，蒙蒂略带球反击，与佩莱二过一配合后杀入禁区，弧线球传中被挡出，齐天羽后插上凌空低射将球射偏
29'佩莱回撤，中场拿球，回传后场                   28'第28分钟，蒙蒂略带球反击，与佩莱二过一配合后杀入禁区，弧线球传中被挡出，齐天羽后插上凌空低射将球射偏
30'尤西雷后场得球回带，被孙世林放倒！！这动作有点大！                   28'第28分钟，蒙蒂略带球反击，与佩莱二过一配合后杀入禁区，弧线球传中被挡出，齐天羽后插上凌空低射将球射偏
31'佩莱在前场抢球犯规！                   28'第28分钟，蒙蒂略带球反击，与佩莱二过一配合后杀入禁区，弧线球传中被挡出，齐天羽后插上凌空低射将球射偏
31'希顶时推倒了孙世林                   28'第28分钟，蒙蒂略带球反击，与佩莱二过一配合后杀入禁区，弧线球传中被挡出，齐天羽后插上凌空低射将球射偏
36'辽宁宏运队长传球，乌亚右路横传，后点漏人，金泰延抢点打门球进！                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
37'蒙蒂略右路突破分边，齐天羽传球                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
37'刘彬彬右路带球突破，被放倒                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
37'鲁能泰山队得到前场右翼任意球机会                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
38'阿萨尼抢球真凶，直接把刘彬彬推倒                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
38'任意球发到禁区内，吉尔头球顶门！高出！                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
39'佩莱右路接球，下底，阿萨尼将球破坏                   36'第36分钟，辽宁宏运中场张野送出过顶球，詹姆斯得球突破后吸引王大雷后将球横扫门前，后点的齐天羽再次出现防守失位，金泰延小角度射空门得手，辽宁宏运1-0领先
40'蒙蒂略发角球到禁区内，皮球弹地后出禁区，吴兴涵抢点打门偏出                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
40'这球是碰到对方后出底线，继续角球                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
40'刘尚坤受伤倒在地上                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
40'角球发到前点，对方破坏出来                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
41'辽宁宏运队要打反击，詹姆斯带球到前场，被张弛缠住啦                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
41'蒙蒂略得球右路反击，孙世林中场犯规                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
41'辽宁宏运队换人：换下了进球的金泰延，换上了6号杨宇！                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
43'齐天羽右路下底横传，传得太靠后啦！！                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
43'鲁能泰山队得到点球！！郑涛手球犯规！！！！！                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
43'刘彬彬左路横传，郑涛用手去挡！                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
43'判给了鲁能泰山队点球机会！                   40'第40分钟，佩莱利用身体优势赢得角球，蒙蒂略弧线球传中被挡出，蒿俊闵跟进射门打在防守队员折射稍稍偏出
44'蒙蒂略来主罚点球！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
44'蒙蒂略罚点球！！打左下角！！进啦！！！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
44'虽然石笑天扑对了方向！！但没能扑到球！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
45'场上的比分变成1-1！双方又回到同一起跑线上！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
45'上半场要补时 2 分钟                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
45'后场鲁能泰山队断球中路反击，中场蒙蒂略丢球                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
45'鲁能泰山队就地反，回传后场                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'蒙蒂略前场横带，交给佩莱！！每脚打门啊，没能压住！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'这是佩莱到鲁能泰山队后的第一脚打门！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'齐天羽右路接球，回传球，两人对脚                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'齐天羽在前场抢球犯规，吃到了黄牌！                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'这个铲球动作有些大啊！应该注意                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'任意球没开出来，主裁判就吹哨了                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'下半场比赛开始                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'双方都没有进行人员调整                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'鲁能泰山队长传前场，阿萨尼解围                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'詹姆斯中路突破，没有人接应，回传一脚                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
46'吴兴涵中场抢球犯规，放倒了孙世林                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'任意球发出来，交给郑涛                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
47'吴兴涵抢球又放倒了郑涛                   44'第44分钟，蒿俊闵分边，刘彬彬边路传球，郑涛忙中出错用手将球挡出，主裁判果断判罚点球，蒙蒂略主罚打死角一蹴而就，山东鲁能扳平比分
50'鲁能泰山队右路横传，蒿俊闵下底回传，刘彬彬抢点远射被挡出底线                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
50'角球机会                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
51'蒙蒂略发角球到禁区内，前点过渡，尤西雷打门踢得好高！吴兴涵再补射偏出！                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
51'尤西雷应该用头顶球啊！头球应该他有优势                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
51'后场鲁能泰山队得球长传，佩莱手球犯规                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
52'任意球发出来，辽宁宏运队把球转移到右路                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
52'佩莱右路接球横传禁区，队友回传                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
52'阿萨尼后场控球，佩莱上抢出底线                   50'下半场易边再战，第50分钟，山东鲁能错失反超比分机会，蒙蒂略角球传中，李松益前点头球摆渡，后点的尤西雷再次在门线前获得射空门机会，但是他再次将球踢飞
61'辽宁宏运队长传球，维多西奇接球被绊倒在地                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
61'互有接触，王彤也并没有犯规啊！                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
61'辽宁宏运队得到大禁区外的任意球机会                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
63'任意球一拨一身！维多西奇打门！稍稍高了一点！                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
63'刘尚坤犯规，放倒了刘彬彬                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
63'鲁能泰山队中前场任意球机会                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
63'蒙蒂略右路突破分边，齐天羽横传禁区，头球解围                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
64'中场辽宁宏运队倒脚，寻找进攻机会                   61'第61分钟，维多西奇与王彤碰撞后倒地，主裁判判罚王彤犯规，并送给辽宁宏运位置极佳的任意球，阿萨尼助跑准备射门，但维多西奇抢先射门差点得手，球稍稍高出横梁
72'首秀就梁黄！并且本场佩莱的表现并不是特别抢眼                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
72'把维多西奇的嘴打破了                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
73'詹姆斯远射被挡出来，辽宁宏运队继续组织进攻                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
73'维多西奇在前场得球，张弛绕前差一点就断下来                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
73'辽宁宏运队长传禁区，吉尔头球解围                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
74'鲁能泰山队右路快速反击！                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
74'蒙蒂略右路突破传球前插！佩莱接球一脚大力远射！稍正了一点！                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
74'石笑天没收！                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
74'佩莱中路带球突破，对方犯规啦！主裁判没有吹                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
75'看到胡延强受伤倒在地上，辽宁宏运队把球开出边线                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
75'鲁能泰山队换人：西塞上场！！！！！换下蒙蒂略！！！                   72'第72分钟，佩莱争顶时被判罚犯规，并被出示黄牌警告
75'看到胡延强受伤倒在地上，辽宁宏运队把球开出边线                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
75'鲁能泰山队换人：西塞上场！！！！！换下蒙蒂略！！！                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
76'把西塞换上，秀一下！！                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
76'鲁能泰山队发出界外球，西塞踢还给对手！这是他在中超第一次碰球！                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
77'西塞中场拿球，横传给佩莱，再回传一脚                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
77'后场辽宁宏运队得球大脚长传，詹姆斯抢球犯规                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
78'辽宁宏运队的主教练不愿意啦！！被裁判请上看台                   75'第75分钟，山东鲁能换人调整，帕皮斯·西塞替下蒙蒂略，完成中超首秀
81'吉尔助攻到了中场！                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
81'王彤长传球到禁区内，佩莱回传，刘彬彬一侧身打门！石笑天没收                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
82'尤西雷后场得球，分到右路进攻                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
82'齐天羽右路突破传，刘彬彬传禁区，被破坏                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
82'王彤左路带球突破，鲁能泰山队横传右路，刘彬彬回传                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
83'齐天羽斜传禁区，佩莱背对球门顶了一下，石笑天没收 ！                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
84'蒿俊闵左路横传禁区！！找到了西塞！可惜越位啦！                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
84'詹姆斯前场右路接球，突然一脚劲射！稍稍偏了一点！                   81'第81分钟，王彤斜长传，佩莱头球摆渡，刘彬彬抢射被门将没收
88'佩莱前场得球分到右路，齐天羽争抢推倒了胡延强                   88'第88分钟，金敬道换下刘彬彬
89'辽宁宏运队左路一脚打门，打在吉尔身上高出                   88'第88分钟，金敬道换下刘彬彬
90'角球机会                   88'第88分钟，金敬道换下刘彬彬
90'角球发到禁区内，王大雷直接没收                   88'第88分钟，金敬道换下刘彬彬
90'鲁能泰山队左路进攻，对方将球破坏出边线                   88'第88分钟，金敬道换下刘彬彬
91'下半场要补时 4 分钟                   88'第88分钟，金敬道换下刘彬彬
91'其实刚才孙世林铲倒了西塞，有犯规动作                   88'第88分钟，金敬道换下刘彬彬
91'尤西雷长传球到前场，对方解围                   88'第88分钟，金敬道换下刘彬彬
