18'双方在场上的拼抢非常积极，吕鹏受伤倒地                   18'第18分钟，吕鹏就在拼抢中连续受伤难以坚持，金强换下吕鹏
35'上海上港队中场迫使示，王燊超控球推进，斜传球打身后给傅欢，后者突入禁区内的横传门前，包抄队员没到位                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
36'大连阿尔滨右路传球，周通的打门被门将没收                   33'第33分钟上港利用阿尔滨后防空虚之时取得进球，王佳玉在中场附近外脚背直传，武磊前场右侧拿到球时已呈单刀之势，左侧的海森也成功吸引了大连队在后场仅有的防守力量
36'大连阿尔滨右路传球，周通的打门被门将没收                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
38'上海上港队中场控球，王燊超转移球给右侧的傅欢，对方防守犯规                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
38'犯规的是韩学庚～                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
38'上海上港队中场控球，耐心的倒脚来控制一下场上的节奏                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
39'阿多禁区人有点玩火呀～对方三人来冲抢，快速把球踢出边线，大连阿尔滨前场的界外球                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
39'赵宏略右路快速的下底传中，布鲁诺慢了～                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
39'大连阿尔滨前场右侧继续控球，赵宏略转移球给金强，后者突然的一脚远射，球被门将没收                   36'阿尔滨队怎能放弃，第36分钟阿尔滨队连续配合，周通禁区左侧怒射打正，接着金强的冷射又被颜骏凌扑住
49'朱峥嵘上场换下了林创益                   49'第49分钟朱峥嵘前场挑传，海森从赵宏略身后杀出形成单刀，可惜面对出击的张，海森推射打偏
49'朱峥嵘拿球被放倒了，上海上港队控球继续进攻                   49'第49分钟朱峥嵘前场挑传，海森从赵宏略身后杀出形成单刀，可惜面对出击的张，海森推射打偏
50'朱峥嵘过顶的长传球，海森带球突入到禁区内面对门将的一脚捅射偏出了底线                   49'第49分钟朱峥嵘前场挑传，海森从赵宏略身后杀出形成单刀，可惜面对出击的张，海森推射打偏
58'傅欢右路突破，过了韩学庚进入禁区内，后者无奈拉人犯规                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
58'点球！                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
58'大连阿尔滨的全力压上进攻还是出现了漏洞呀                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
59'武磊主罚点球，太正了，被张翀给扑了出来！                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
59'大连阿尔滨队逃过一劫呀～                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
60'上海上港队控球，又是一脚直传打身后，武磊带球到底线附近，队友跟进太慢，回传到了中路                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
60'朱峥嵘突入到禁区内，对方三人夹击，张佳祺把球拦截下来                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
60'大连阿尔滨队快速打反击，斜和传到左侧球传大了，孙国文没有能够追上球                   57'第57分钟傅欢右路得球猛冲，韩学庚拼命追赶，但无法实施有效拦截，傅欢杀入禁区，韩学庚无奈从身后将其推倒，点球
63'大连阿尔滨队中场控球，于大宝接移到左侧，孙国文盘带再回传给了张佳祺                   63'第63分钟赵宏略右路传球，于大宝门柱附近头球被颜骏凌扑出底线
63'赵宏略右路的传中球被顶出了度线，角球机会                   63'第63分钟赵宏略右路传球，于大宝门柱附近头球被颜骏凌扑出底线
64'角球开到禁区内，抢点的攻门击中横梁，大连阿尔滨队前场右侧继续控球                   63'第63分钟赵宏略右路传球，于大宝门柱附近头球被颜骏凌扑出底线
65'于大宝传球给赵宏略，强过汪佳捷没有成功                   63'第63分钟赵宏略右路传球，于大宝门柱附近头球被颜骏凌扑出底线
65'大连阿尔滨换人：蒙拉雷上场换下了韩学庚                   63'第63分钟赵宏略右路传球，于大宝门柱附近头球被颜骏凌扑出底线
65'于大宝传球给赵宏略，强过汪佳捷没有成功                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
65'大连阿尔滨换人：蒙拉雷上场换下了韩学庚                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
67'上海上港队的进攻赢得一个前场右侧的任意球机会                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
67'任意球开到禁区内，第一点被防守队员抢一顶出来                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
68'大连阿尔滨队反击，陈涛直传球到禁区内，后卫抢在布鲁诺之前倒地把球铲出了底线                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
68'大连阿尔滨队获得角球机会                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
68'角球由陈涛来主罚，开到枢内，乱军之中阿多解围                   65'第65分钟阿尔滨队再用索拉里换下韩学庚，主帅仓田显然全队强攻到底
71'大连阿尔滨队前场控球，禁区前沿的打门被阿多挡出来，孙国文带球械向盘带，突入禁区内再想打门构挡出来                   71'第71分钟上港用吕文君换下王佳玉
71'上海上港队换人：吕文君上场换下王佳玉                   71'第71分钟上港用吕文君换下王佳玉
73'于大宝体能消耗比较大，有点跑不动啦～                   71'第71分钟上港用吕文君换下王佳玉
74'汪佳捷传球，交给海森，转移到武磊脚下，横传球力量小了                   71'第71分钟上港用吕文君换下王佳玉
74'陈涛断球反击，转移到右侧费拉里的脚下，后者的转移球被拦截                   71'第71分钟上港用吕文君换下王佳玉
84'上海上港队换人：海森下场换上卡里里                   84'第84分钟哈里里换下海森
86'禁区外围孙国文的一脚伧促打门高了～                   84'第84分钟哈里里换下海森
86'上海上港队中场拦截下来，控制一下场上的节奏，球转移到了汪佳捷的脚下                   84'第84分钟哈里里换下海森
87'上海上港队左侧控球，朱峥嵘晃过了陈涛突入禁区内传到门前，卡里里的打门被没上                   84'第84分钟哈里里换下海森
