2'亚特兰大球员巴塞利拼抢犯规,对手获得控球权.                   1'第1分钟战局平稳
45'+1'上半场结束,尤文图斯 2-1 亚特兰大,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
47'米利亚乔为亚特兰大赢得一个任意球.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
47'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
48'斯卡罗尼为亚特兰大在右路,赢得一个任意球.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
48'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   45'第45分钟，皮尔洛接到马尔基西奥传球，在门前28米处突然打出一记落叶球，从斯波尔蒂耶洛指边飞过贴右门柱入网，2比1，皮尔洛本赛季联赛3个进球，有2球是运动战进球，上次意甲单赛季运动战进球超过1个，要追溯到2004-05赛季
55'尤文图斯球员马尔基西奥被主裁判出示了一张黄牌.                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
56'亚特兰大球员巴塞利大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
57'尤文图斯马尔基西奥受伤倒地,比赛暂停                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
57'暂停结束,球员们重新开始比赛.                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
58'斯卡罗尼为亚特兰大赢得一个任意球.                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
58'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   55'下半时开始10分钟，皮尔洛挑传禁区左侧，马尔基西奥在斯卡洛尼防守下倒地，斯卡洛尼斥其假摔，两人身体相互顶撞，马尔基西奥吃到黄牌
84'亚特兰大球员斯卡罗尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是西加里尼.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
84'亚特兰大球员博卡耶大禁区中央左脚射门,被防守球员封堵.给他传球的是斯卡罗尼.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
84'A-马谢洛将球处理出底线,尤文图斯获得角球.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
85'埃马纽尔森为亚特兰大赢得一个任意球.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
85'尤文图斯球员佩雷拉拼抢犯规,对手获得控球权.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
85'黄牌！尤文图斯球员佩雷拉因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
86'亚特兰大球员西加里尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
86'博努奇将球处理出底线,亚特兰大获得角球.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
86'亚特兰大球员米利亚乔拼抢犯规,对手获得控球权.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
86'基耶里尼为尤文图斯赢得一个任意球.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
87'Alejandro Gomez为亚特兰大在对方半场,赢得一个任意球.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
87'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
87'黄牌！尤文图斯球员利希施泰纳因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
87'亚特兰大球员西加里尼大禁区外右脚射门,被防守球员封堵.                   84'第84分钟，莫拉塔左路摆脱马谢洛突入禁区，但马谢洛回追铲出底线
