9'阿隆索反断后长传找到厄齐尔，厄齐尔往禁区里盘带，德米凯利斯阻挡犯规                   9'第9分钟，C-罗纳尔多左路30码处任意球劲射被人墙挡出
47'摩德里奇往中路钻，对方关门将球拦截                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
47'少打一人的马拉加现在很是尴尬                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
47'转移到右路厄齐尔脚下，厄齐尔回给摩德里奇                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
48'他们下半场的目标应该就是不再丢球                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
48'C罗左路得球往身旁一拔，阿隆索往禁区里直塞没有成功                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
48'纳乔右路的突破被安图内斯卡住身位                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
48'纳乔背后推人犯规                   45'第45分钟，厄齐尔传球，C-罗纳尔多禁区右侧顺势抽射被卡梅尼勉强扑出
50'下半场开始时C罗的推射是被门将卡梅尼用腿挡了出来！                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
50'马拉加前场就留下圣克鲁斯一人                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
50'纳乔右路助攻上来，与厄齐尔做二过一配合                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
51'厄齐尔角球发后点，卡梅尼出击没有接高球脱手                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
51'后点本泽马打门被埃利塞乌挡出底线                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
51'阿隆索发左路的角球，球被卡梅尼将球没收                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
52'马拉加后场倒脚，转移到右路                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
52'伊斯科得球后遭遇双人包夹                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
50'纳乔死死缠站纳乔，将球捅线，角球                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
52'马拉加右路的长传球被瓦拉内得球                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
53'厄齐尔左路带球快速下底传中，球被德米凯利斯头球顶了出来                   50'第50分钟，卡梅尼扑救角球脱手，本泽马小禁区左上角外的射门又被埃利塞乌及时封堵
59'纳乔右路传球被拦截                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
59'伊斯科突破到禁区左侧传中被瓦拉内解围出了底线                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
59'伊斯科角球发后点，卢加诺的头球顶得有点高                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
60'圣克鲁斯拉到右边路接应，分边时传丢了                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
60'埃辛中场得球，回传后场稳一下节奏                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
61'阿隆索将球交给摩德里奇，摩德里奇带球出了包围圈                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
61'再分往右路，球给得有点轻被波尔蒂略交球解围                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
61'外围还是皇马的世界，厄齐尔右路想硬往里钻没有成功                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
62'摩德里奇将球断球后将球送到禁区内，C罗没有往回跑，越位了                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
62'伊斯科是马拉加唯一的兴奋点                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
62'这是皇马本场比赛第5次越位                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
62'伊斯科中路突破被阿尔比奥尔绊倒，任意球                   59'第59分钟，伊斯科开出角球，卢加诺头球攻门偏出
64'皇马继续围攻，摩德里奇远射球进！                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
64'这个进球与对曼联时的比赛非常相信，左脚打门，球击中右边立柱内侧后弹进网内！                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
65'摩德里奇的进精彩一球后马上要被换下，迪马利亚上场！                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
65'本场比赛对于摩德里奇来说非常完美                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
66'厄齐尔左路下底传中，C罗来迟半步                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
66'以摩德里奇今天的表现，他有能力赢得一个首发位置                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
66'迪马利亚右路得球横向带球后回给阿隆索                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
66'中路连串配合没能突过去                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
67'球迂回到迪马利亚这一侧，迪马利亚走底线，右脚传到后点                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
67'本泽马凌空打门有点打嗤了，球被门将得到                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
67'安图内斯左路得球，直传交给埃利塞乌                   64'第64分钟，本泽马传球，摩德里奇20码处左脚劲射打中右侧立柱内侧入网，5-2
66'厄齐尔左路下底传中，C罗来迟半步                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
66'以摩德里奇今天的表现，他有能力赢得一个首发位置                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
66'迪马利亚右路得球横向带球后回给阿隆索                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
66'中路连串配合没能突过去                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
67'球迂回到迪马利亚这一侧，迪马利亚走底线，右脚传到后点                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
67'本泽马凌空打门有点打嗤了，球被门将得到                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
67'安图内斯左路得球，直传交给埃利塞乌                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
68'埃利塞乌停球转身回给安图内斯，安图内斯传后点，圣克鲁斯差一点没能追上                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
68'皇马再换人，20号伊瓜因换下了9号本泽马                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
68'埃利塞乌外围来一脚远射，没有把球压住                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
69'厄齐尔右路拿球，带到底线附近用外脚间向门前                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
69'这个位置用左脚传球确实比较别扭                   66'第66分钟，纳乔右路传中，本泽马12码处垫射被卡梅尼没收
73'伊斯科右路得球，想分给伊图拉，但力量给太小了                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
73'皇马的反击，C罗单骑闯关，快速带向禁区前被德米凯利斯绊倒                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
74'这样，马拉加场上只剩下9人应战！                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
74'德米凯利斯吃到第二张黄牌，两黄变一红下场！                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
75'皇马禁区弧顶外一点的任意球机会                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
75'C罗的任意球打在人墙上弹到半空，伊瓜因补射但已经越位了                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
76'马拉加换人，23号奥涅乌替下18号埃利塞乌                   73'第73分钟，德米凯利斯禁区弧边缘绊倒C-罗纳尔多累计两张黄牌被罚下
80'皇马今天看来很是轻松啊                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'几下转移后到了左路                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
82'马拉加扳回一球！                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'安图内斯右路得球交给伊斯科                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
83'安图内斯已经来到左路，波尔蒂略禁区前沿得球脚后跟一磕，安图内斯内切接应顺势大力兜远角球进！                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
83'阿隆索将球传到前场右路，摩德里奇传中过不了前点                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
80'皇马快攻，C罗单刀趟球后倒地！                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
80'这回主裁判没有再给点球，而是给了C罗一张黄牌！认为他假摔                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'马拉加后场断球，卡马乔将球交到左路                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'裁判也向出言不逊的伊图拉发一张黄牌                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'厄齐尔刚才与波尔蒂略有身体接触后倒地                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
81'马拉加的球员将球先开出边线                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
82'队医进场为厄齐尔进行治理                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
83'但厄齐尔再次躺倒在草坪上，只能出动担架队将他挡出场外                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
83'比赛继续，马拉加的人数劣势暂时变为一人                   80'第80分钟，C-罗纳尔多被判禁区内假摔得到黄牌
89'刚才信号终断了一会儿！                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
89'马拉加屋漏偏逢连夜雨，门将卡巴列罗受伤下场                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
86'卡马乔将示转移到右路，伊图拉护好球交给波尔蒂略                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
87'伊斯科左路突破没有成功                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
87'迪马利亚想用外脚背位弧线球打伊瓜因，脚法没有用好，球出边线了                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
87'伊图拉将球带出重圈，交给伊斯科                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
88'马拉加进攻的欲望也不强，很快球权转换                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
88'法比尼奥直传禁区右边缘位置，C罗横扫门前可惜无人接应                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
89'迪马利亚中路突破趟大了                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
89'卡梅尼得球后出现滑稽一幕，他手抛球发动进攻脱手，球抛到自己头上！                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
89'他只能用头球顶出禁区。。。相当尴尬                   86'第86分钟，C-罗纳尔多传球，阿隆索禁区前的射门偏出左上角
93'由于大家都踢得比较放松，进球非常多，半场就打进6球                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
93'C罗又来了，直塞球过了卡马乔                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
93'卡马乔后场带球被埃辛绊倒                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
92'由于刚才卡巴列罗受伤拖了不少时间，上半场需要补时5分钟！                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
94'伊斯科来到左路要球，起球传中的在了埃辛身上出了边线                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
94'伊图拉这一侧空了，回传中路伊斯科直塞过不了阿隆索                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
94'皇马的进攻速度真是快，C罗转眼间已经到了禁区左侧传中赢得一下角球                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
91'伊图拉的斜传，洛佩兹冲到弧顶处胸部停球，很放松                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
91'迪马利亚打进皇马第6个进球！                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
92'法比尼奥左肋部回传，迪马利亚禁区前沿推射球门左下角，球也是弹立柱内侧球进！                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
92'迪马利亚与摩德里奇今天的远射都装了导航系列                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
93'赢下这场比赛后，皇马可以将巴萨夺冠的时间延迟一点                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
92'下半场比赛需要补时3分钟                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
94'全场比赛结束！                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
93'马拉加仍然希望扳回一分，短传渗透不成                   91'第91分钟，法比尼奥禁区右侧回传，迪马利亚右路禁区边缘外弧线球射入远角，6-2
