9'阿扎尔中路拿球，直塞禁区，科斯塔插上稍慢                   9'斯旺西第9分钟险些破门，谢尔维开出角球，戈米斯前点头球攻门擦远角立柱偏出
25'伊万大力边线球进禁区，马蒂奇争顶犯规                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
25'威廉斜传左路，阿扎尔突破进禁区                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
25'诺顿准确把球铲出底线，角球                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
26'小法角球去前点被解围                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
26'卡希尔禁区前接应想要远射，脚下打滑                   23'切尔西第23分钟取得领先，奥斯卡大禁区左上角外任意球传中，卡希尔和伊万诺维奇抢点未果但成功干扰法比安斯基判断，皮球直接窜入远角
30'戈米接应传中头球被库尔图瓦奋力扑出，阿尤补射再被门线前卡希尔阻挡，阿尤起身拿球再射终于进了！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
30'切尔西1-1被斯旺西追平！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
30'此时此刻值得来杯嘉士伯                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
30'威廉左路拿球                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
30'切尔西又进球！！神仙球！！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
30'威廉！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
32'威廉禁区左侧拿球，想做传中的，被费尔南德斯伸腿一挡，一道美妙弧线挂后门柱死角！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
32'切尔西2-1领先斯旺西！                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
32'此时此刻值得来杯嘉士伯                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
33'西古德森禁区前连续晃动，被卡希尔拦截                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
33'伊万右路找科斯塔，底线前小角度射门被扑出                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
33'马蒂奇中场顶防扛倒了西古德森犯规                   30'切尔西第30分钟再度超出，威廉禁区左侧传中打在费德里科腿上偏转吊入远角，2-1
52'谢尔维任意球吊门前，被库尔图瓦拿到                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
52'威廉右路拿球，被泰勒破坏                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
52'戈米接应过顶球进禁区                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
52'库尔图瓦出击，绊倒戈米！                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
53'红牌加点球！                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
53'戈米反越位趟球过库尔图瓦，被绊倒                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
53'威廉在右路拖在了最后，戈米插上的成功反越位                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
54'特里对边裁喋喋不休，被黄牌警告                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
54'贝戈维奇换下奥斯卡                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
55'贝戈维奇代表切尔西的英超首秀，上来就面对点球                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
55'戈米点球骗过门将，一蹴而就                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
55'此时此刻值得来杯嘉士伯                   52'第52分钟，谢尔维直传，反越位成功的戈米斯甩开卡希尔长驱直入，库尔图瓦出击在禁区边缘内将其绊倒，裁判奥利弗判罚点球并将比利时门将罚下
55'贝戈维奇代表切尔西的英超首秀，上来就面对点球                   55'第55分钟，戈米斯主罚点球命中，2-2
55'戈米点球骗过门将，一蹴而就                   55'第55分钟，戈米斯主罚点球命中，2-2
55'此时此刻值得来杯嘉士伯                   55'第55分钟，戈米斯主罚点球命中，2-2
56'诺顿右路起球，卡希尔头球解围                   55'第55分钟，戈米斯主罚点球命中，2-2
56'伊万右路助攻，横敲                   55'第55分钟，戈米斯主罚点球命中，2-2
56'小法右路底线前传中，被费尔南德斯解围                   55'第55分钟，戈米斯主罚点球命中，2-2
57'蒙特罗左路拿球突破，内切被拦截                   55'第55分钟，戈米斯主罚点球命中，2-2
58'科斯塔左路回撤接应，被费尔南德斯扛倒                   55'第55分钟，戈米斯主罚点球命中，2-2
