2'西汉姆联球员贾维斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是诺兰.                   2'开场仅2分钟，诺兰回传，贾维斯禁区左侧的射门被拉斐尔封堵
50'德赫亚为曼联赢得一个任意球.                   50'第50分钟，卡罗尔再度冲撞门将后不满判罚被黄牌警告
50'西汉姆联球员安迪-卡罗尔被主裁判出示了一张黄牌.                   50'第50分钟，卡罗尔再度冲撞门将后不满判罚被黄牌警告
52'西汉姆联球员安迪-卡罗尔大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是诺兰.                   50'第50分钟，卡罗尔再度冲撞门将后不满判罚被黄牌警告
55'进球啦！！！西汉姆联球员迪亚姆大禁区外左脚射门,球从左下角飞进球门,球进了!助攻的是德梅尔. 西汉姆联 2-1 曼联.                   55'西汉姆第55分钟再度领先，瓦兹特脚后跟妙传，德梅尔传球，迪亚梅转身摆脱鲁尼后右路禁区边缘外弧线球射入远角
58'迪亚姆为西汉姆联赢得一个任意球.                   55'西汉姆第55分钟再度领先，瓦兹特脚后跟妙传，德梅尔传球，迪亚梅转身摆脱鲁尼后右路禁区边缘外弧线球射入远角
58'曼联球员菲尔-琼斯拼抢犯规,对手获得控球权.                   55'西汉姆第55分钟再度领先，瓦兹特脚后跟妙传，德梅尔传球，迪亚梅转身摆脱鲁尼后右路禁区边缘外弧线球射入远角
61'西汉姆联球员迪亚姆拼抢犯规,对手获得控球权.                   61'第61分钟，香川真司传球，瓦伦西亚禁区右侧射门被封堵
61'卡里克为曼联赢得一个任意球.                   61'第61分钟，香川真司传球，瓦伦西亚禁区右侧射门被封堵
61'曼联球员瓦伦西亚大禁区右侧右脚射门,被防守球员封堵.给他传球的是香川慎司.                   61'第61分钟，香川真司传球，瓦伦西亚禁区右侧射门被封堵
63'贾维斯将球处理出底线,曼联获得角球.                   61'第61分钟，香川真司传球，瓦伦西亚禁区右侧射门被封堵
63'曼联球员鲁尼大禁区中央右脚射门,被防守球员封堵.给他传球的是范佩西.                   61'第61分钟，香川真司传球，瓦伦西亚禁区右侧射门被封堵
69'射门!!!曼联球员范佩西大禁区中央头球,被对方守门员横身扑出.给他传球的是瓦伦西亚.                   69'第69分钟，瓦伦西亚右路传中，范佩西8码处力压詹姆斯-科林斯头球攻门，雅斯克莱宁神勇将皮球托出横梁
69'雅斯克莱宁将球处理出底线,曼联获得角球.                   69'第69分钟，瓦伦西亚右路传中，范佩西8码处力压詹姆斯-科林斯头球攻门，雅斯克莱宁神勇将皮球托出横梁
71'曼联球员拉斐尔大禁区右侧尝试左脚射门,可惜皮球高出球门.给他传球的是卡里克.                   69'第69分钟，瓦伦西亚右路传中，范佩西8码处力压詹姆斯-科林斯头球攻门，雅斯克莱宁神勇将皮球托出横梁
71'曼联换人,吉格斯换下鲁尼                   69'第69分钟，瓦伦西亚右路传中，范佩西8码处力压詹姆斯-科林斯头球攻门，雅斯克莱宁神勇将皮球托出横梁
77'曼联球员香川慎司大禁区中央左脚射门,被防守球员封堵.给他传球的是卡里克.                   77'曼联第77分钟再度扳平比分，卡里克传球，香川真司禁区边缘劲射打中詹姆斯-科林斯偏转，随后皮球又先后打中两个立柱弹回，范佩西小禁区右侧小角度补射入网
77'进球啦！！！曼联球员范佩西小禁区右侧左脚射门,球从右上角飞进球门,球进了! 西汉姆联 2-2 曼联.                   77'曼联第77分钟再度扳平比分，卡里克传球，香川真司禁区边缘劲射打中詹姆斯-科林斯偏转，随后皮球又先后打中两个立柱弹回，范佩西小禁区右侧小角度补射入网
78'曼联换人,埃尔南德斯换下香川慎司                   77'曼联第77分钟再度扳平比分，卡里克传球，香川真司禁区边缘劲射打中詹姆斯-科林斯偏转，随后皮球又先后打中两个立柱弹回，范佩西小禁区右侧小角度补射入网
80'射门!!!曼联球员范佩西大禁区中央头球,被对方守门员横身扑出.给他传球的是瓦伦西亚.                   77'曼联第77分钟再度扳平比分，卡里克传球，香川真司禁区边缘劲射打中詹姆斯-科林斯偏转，随后皮球又先后打中两个立柱弹回，范佩西小禁区右侧小角度补射入网
81'射门!!!曼联球员埃尔南德斯大禁区中央头球,被对方守门员横身扑出.给他传球的是卡里克.                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
82'西汉姆联换人,马修-泰勒换下诺兰                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
83'西汉姆联换人,科里森换下迪亚姆                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
84'奥布莱恩将球处理出底线,曼联获得角球.                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
84'瓦斯特为西汉姆联赢得一个任意球.                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
84'曼联球员拉斐尔拼抢犯规,对手获得控球权.                   81'第81分钟，卡里克直传，刚刚替补香川真司出场的埃尔南德斯小禁区边缘头球攻门，雅斯克莱宁稳稳没收
86'曼联球员范佩西大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是瓦伦西亚.                   86'第86分钟，瓦伦西亚传球，范佩西禁区前射门偏出
