8'暂停结束,球员们重新开始比赛.                   8'第8分钟宋博轩大腿内侧肌肉拉伤，申 花用姜坤将其紧急换下
35'莫雷诺为上海申花在右路,赢得一个任意球.                   35'第35分钟莫雷诺从右路强行内切到中路打门稍偏
36'上海申花球员莫雷诺大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是斯基亚维.                   35'第35分钟莫雷诺从右路强行内切到中路打门稍偏
47'雷泽克为长春亚泰赢得一个任意球.                   46'第 46分钟长春后卫伊斯梅洛夫放倒带球推进中的战怡麟吃到黄牌，任意球开到禁区，长春后卫头球险些乌龙，但被宋振瑜扑出
47'上海申花球员戴琳拼抢犯规,对手获得控球权.                   46'第 46分钟长春后卫伊斯梅洛夫放倒带球推进中的战怡麟吃到黄牌，任意球开到禁区，长春后卫头球险些乌龙，但被宋振瑜扑出
48'长春亚泰球员张文钊拼抢犯规,对手获得控球权.                   46'第 46分钟长春后卫伊斯梅洛夫放倒带球推进中的战怡麟吃到黄牌，任意球开到禁区，长春后卫头球险些乌龙，但被宋振瑜扑出
48'斯基亚维为上海申花赢得一个任意球.                   46'第 46分钟长春后卫伊斯梅洛夫放倒带球推进中的战怡麟吃到黄牌，任意球开到禁区，长春后卫头球险些乌龙，但被宋振瑜扑出
55'长春亚泰球员赵明剑球门右侧小角度左脚射门,被防守球员封堵.给他传球的是张文钊.                   54'第54分钟赵明剑右路惊人突破，他从底线附近一路杀到禁区内，但射门打在申花队员身上弹出
56'上海申花球员达迪一脚直塞球给莫雷诺,但是边裁举旗显示后者已经越位.                   54'第54分钟赵明剑右路惊人突破，他从底线附近一路杀到禁区内，但射门打在申花队员身上弹出
57'长春亚泰球员埃尼尼奥大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是雷泽克.                   54'第54分钟赵明剑右路惊人突破，他从底线附近一路杀到禁区内，但射门打在申花队员身上弹出
58'雷泽克为长春亚泰在左路,赢得一个任意球.                   58'第58分钟长春队右路直塞球给到张文钊这里，但面对王大雷，张文钊的挑射被王大雷接住
58'上海申花球员戴琳拼抢犯规,对手获得控球权.                   58'第58分钟长春队右路直塞球给到张文钊这里，但面对王大雷，张文钊的挑射被王大雷接住
59'长春亚泰球员伊斯梅洛夫大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阎峰.                   58'第58分钟长春队右路直塞球给到张文钊这里，但面对王大雷，张文钊的挑射被王大雷接住
59'射门!!!长春亚泰球员张文钊大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是伊萨克.                   58'第58分钟长春队右路直塞球给到张文钊这里，但面对王大雷，张文钊的挑射被王大雷接住
60'进球啦！！！上海申花球员莫雷诺球门左侧小角度左脚射门,球从右下角飞进球门,球进了!助攻的是戴琳. 上海申花 1-1 长春亚泰.                   58'第58分钟长春队右路直塞球给到张文钊这里，但面对王大雷，张文钊的挑射被王大雷接住
68'长春亚泰球员雷泽克拼抢犯规,对手获得控球权.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
68'李建滨为上海申花赢得一个任意球.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
69'长春亚泰球员埃尼尼奥大禁区中央右脚射门,被防守球员封堵.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
70'射门!!!上海申花球员王寿挺大禁区外右脚射门,被对方守门员横身扑出.给他传球的是莫雷诺.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
70'雷泽克为长春亚泰赢得一个任意球.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
70'上海申花球员王寿挺拼抢犯规,对手获得控球权.                   67'进球后的申花找回一些感觉，第67分钟莫雷诺左路传中，后点的达迪鱼跃而起竟然没顶到
73'射门!!!长春亚泰球员张文钊小禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是埃尼尼奥.                   72'第72分钟曹添堡禁区内转身射门被王大雷扑出，接着他快速把球捞回抱住，边裁认定角球，王大雷愤怒摔球，结果吃到黄牌
74'上海申花球员王大雷被主裁判出示了一张黄牌.                   72'第72分钟曹添堡禁区内转身射门被王大雷扑出，接着他快速把球捞回抱住，边裁认定角球，王大雷愤怒摔球，结果吃到黄牌
74'王大雷将球处理出底线,长春亚泰获得角球.                   72'第72分钟曹添堡禁区内转身射门被王大雷扑出，接着他快速把球捞回抱住，边裁认定角球，王大雷愤怒摔球，结果吃到黄牌
74'长春亚泰球员雷泽克拼抢犯规,对手获得控球权.                   72'第72分钟曹添堡禁区内转身射门被王大雷扑出，接着他快速把球捞回抱住，边裁认定角球，王大雷愤怒摔球，结果吃到黄牌
74'王寿挺为上海申花赢得一个任意球.                   72'第72分钟曹添堡禁区内转身射门被王大雷扑出，接着他快速把球捞回抱住，边裁认定角球，王大雷愤怒摔球，结果吃到黄牌
77'射门!!!上海申花球员达迪大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是哈蒂布.                   77'第77分钟长春队用刘晓东换下伊萨克，接着刘卫东换下张文钊
78'长春亚泰换人,刘晓东换下伊萨克                   77'第77分钟长春队用刘晓东换下伊萨克，接着刘卫东换下张文钊
79'长春亚泰换人,刘卫东换下张文钊                   77'第77分钟长春队用刘晓东换下伊萨克，接着刘卫东换下张文钊
83'长春亚泰球员埃尼尼奥拼抢犯规,对手获得控球权.                   82'第82分钟 莫雷诺和埃尼奥拼抢，后者倒地，日本裁判木村博之示意比赛继续，没料到埃尼奥起身后把莫雷诺撞倒，木村毫不犹豫出示红牌将其罚出
83'莫雷诺为上海申花在对方半场,赢得一个任意球.                   82'第82分钟 莫雷诺和埃尼奥拼抢，后者倒地，日本裁判木村博之示意比赛继续，没料到埃尼奥起身后把莫雷诺撞倒，木村毫不犹豫出示红牌将其罚出
83'长春亚泰球员埃尼尼奥因为在场上斗殴,被裁判直接红牌罚下.                   82'第82分钟 莫雷诺和埃尼奥拼抢，后者倒地，日本裁判木村博之示意比赛继续，没料到埃尼奥起身后把莫雷诺撞倒，木村毫不犹豫出示红牌将其罚出
85'赵明剑将球处理出底线,上海申花获得角球.                   82'第82分钟 莫雷诺和埃尼奥拼抢，后者倒地，日本裁判木村博之示意比赛继续，没料到埃尼奥起身后把莫雷诺撞倒，木村毫不犹豫出示红牌将其罚出
