1'比赛开始了，国安率先开球                   1'第1分钟国安首次进攻就在苏宁禁区内获得射门机会，于大宝在李昂封堵下将球打偏
11'再送起来，，到禁区                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'索里亚诺包抄越位了                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'苏宁定位球开起来                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'左侧杨笑天，，横敲吴曦                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'过渡到右侧，，吉翔                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'跟上，，传中，，到禁区，，，                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'雷腾龙解围出边线                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'左侧苏宁界外球，杨笑天给吴曦                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
12'再回敲，身后给张晓彬                   9'第9分钟，奥古斯托犀利斜传引出威胁攻势，姜涛插入禁区右侧后回敲中路，张稀哲迎球低射被顾超拦截
21'分给于大宝，，，被杨博宇绊倒了                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
21'国安禁区外中路定位球机会                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
21'奥古斯托和比埃拉，窃窃私语                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
21'奥古斯托挑起来，到门前                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'比埃拉禁区左侧得球，抽射，，被门将扑出                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'雷腾龙有机会再补                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'顾超二连扑啊                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'挡出了底线                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'右侧角球，，奥古斯托开起来                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'到了禁区，，顾超再次扑出                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
22'禁区外拼抢，国安再次得球                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
23'比埃拉中路给到奥古斯托，，再吊入禁区                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
23'杨博宇和杨笑天连续头球解围                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
23'外围右侧国安再攻，，到了底线                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
23'右侧下底，，，倒三角分张稀哲                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
23'张稀哲冷静的推射，，这次命中                   20'第20分钟，国安中路任意球形成巧妙配合，比埃拉禁区左侧劲射被顾超扑出，双方在球门前多人争抢，皮球连续反弹中被苏宁防线解围
29'国安界外球，交出来，，没有停好，出界                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
29'吉翔发球，给到博阿基耶                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
29'金泰延破坏出边线                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
29'苏宁前场界外球，吉翔再发给博阿基耶                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
29'回敲吉翔，，右路直接起球                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'传中到门前，，吴曦禁区内直接的凌空抽射，，，稍稍偏出啊                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'郭全博门球开起来                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'中圈附近奥古斯托组织                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'左侧给金泰延，，带球过来                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'挑传，，被田依浓顶出边线                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
30'界外球给出，，左侧禁区外找奥古斯托                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'横敲，过渡到右侧                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'姜涛挑传，，，禁区外中路找张稀哲                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'再给进去，，，被门将没收                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'顾超大脚开起来                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'前场找到博阿基耶，，分左路的杨笑天                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'再回敲给张晓彬，，低球分身前的吴曦                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'横向一传，，给到中路埃德尔                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'挑传送到禁区左肋                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
31'吴曦跟进，，，倒三角给到门前                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'博阿基耶跟上，差了点                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'张瑀一脚解围                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'中圈附近比埃拉得球，回敲池忠国                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'短传给身前的张稀哲，中圈后侧接应                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'右路给姜涛，分中圈内的张稀哲                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'再给张瑀，，带球推进，左侧给金泰延                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
32'再给前面的于大宝，，，分中间比埃拉                   29'阵型有所前提的苏宁在第29分钟形成威胁攻势，又是吉翔与吴曦之间的联线，吉翔右路斜传禁区，埃德尔前点头球摆渡，后点接应的吴曦凌空斜射颇具突然性，只可惜皮球稍稍偏出立柱
36'前场左侧，，吉翔头球顶出边线                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'左侧界外球，金泰延给出来                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'比埃拉接应，，回敲中圈内的池忠国                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'分到了右路姜涛，，和奥古斯托打一个撞墙                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'姜涛带球，，向前，，，分中路                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'于大宝禁区外接应，被放倒了                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'杨博宇犯规，吃到黄牌                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
36'国安获得位置不错定位球，，28米的距离                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'比埃拉和奥古斯托站在球前                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'比埃拉直接射，，，打到人墙，，，出了底线                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'左侧角球，奥古斯托主罚                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'战术角球，给索里亚诺，，撤出来接应，，回敲                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'奥古斯托得球，再起，，                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
38'送入禁区，，李昂头球解围出底线                   36'第36分钟，于大宝赢得中路任意球，还令杨博宇领到黄牌，比埃拉攻门被人墙封堵出底线
52'回敲金泰延，，再给比埃拉                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
52'比埃拉接球被放倒了。。。。田依浓的犯规                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
52'定位球，，奥古斯托罚起来                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
52'吊向门前，，，雷腾龙中路埋伏，，头球                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
52'飞身跃起，头槌，，砸入网窝啊                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
53'雷腾龙，带刀后卫，扩大比分                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
53'来自大禁区外左侧比埃拉的右脚45°传中，门前中路雷腾龙高高跃起，头球一顶打入上角                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'国安最近是越提越稳啊。。面对防守一向比较好的苏宁，他们进攻依然能够打的有声有色                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'比埃拉拿球，田依浓后场把球断下来                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'给左侧杨笑天，短传，找谢鹏飞                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'边路停球，，挑传博阿基耶                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'接球被放倒了                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
54'苏宁定位球，右侧给杨博宇，，分边路吉翔                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'回敲杨博宇，再给身前吴曦                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'吴曦直塞，被雷腾龙拦截                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'到了奥古斯托脚下，观察一下                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'自己盘带推进，向前                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'奥古斯托和比埃拉真是盘活了整个国安的进攻                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'中圈附近还是田依浓，犯规，放倒了对手，阻止国安进攻                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'定位球回敲雷腾龙，左侧给池忠国                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'再给金泰延，，左路推进                   52'第52分钟，国安将比分扩大：前场任意球发出后，比埃拉左路内切妙传禁区，雷腾龙在小禁区线附近头球破门，比分变为2-0
55'回敲杨博宇，再给身前吴曦                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'吴曦直塞，被雷腾龙拦截                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'到了奥古斯托脚下，观察一下                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'自己盘带推进，向前                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'奥古斯托和比埃拉真是盘活了整个国安的进攻                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'中圈附近还是田依浓，犯规，放倒了对手，阻止国安进攻                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'定位球回敲雷腾龙，左侧给池忠国                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
55'再给金泰延，，左路推进                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
56'抬脚传中，，，杨博宇头球解围                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
56'李昂后场长传                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
56'前场中路，侯森直接从禁区内跑出来                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
56'把球挡了一下                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'到了埃德尔脚下，埃德尔果断的打门                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'被侯森近距离碰出底线，，好悬                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
57'门将险些玩火自焚啊                   55'第55分钟，苏宁后场大脚前传，前插中的博阿基耶本没有拿球机会，但侯森解围失误被埃德尔断球，好在埃德尔远距离吊射时侯森及时回位将球拦截
