12'下底传中，拉米解围出底线，角球                   12'第12分钟，内马尔开出角球，中路德拉克斯勒接球后怒射将球打飞
47'禁区内的一脚打门，守门员没扑到                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
47'但是门线上的斯特罗曼立功了，大脚解围                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'裁判一声哨响，下半场比赛开始                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'恩索基控球，分给默尼耶                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
46'德拉克斯勒得球，给到迪马利亚                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
47'弧顶处的一脚远射，守门员扑出底线                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
47'角球开到禁区前点，被解围出来                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
47'奥坎波斯给到帕耶，帕耶带球被科雷尔断下                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
48'分给马尔基尼奥斯                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
48'传到恩索基，带球被托万抢到                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
48'回给守门员，传到古斯塔沃                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
49'再分阿马维                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
49'古斯塔沃分给萨尔被内马尔抢断                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
49'边路带球，被回防的托万放倒                   46'第46分钟，德拉克斯勒小禁区附近回传，迪马利亚劲射被斯特罗曼在门线上解围，上半场双方互交白卷
56'塞给内马尔                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
56'禁区得左晃右突后的一脚打门                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
56'偏出了门框，差了一点点                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
56'马赛反击                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
57'托万得球，带球禁区边沿往中路切                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
57'德拉克斯勒回来撞倒了托万                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
57'禁区边沿的定位球                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
57'拉米也上来了                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
58'帕耶和古斯塔沃站在球边                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
58'帕耶直接一脚攻门，被阿雷奥拉托出横梁                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
58'角球，开到点球点附近                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
59'古斯塔沃顶到但顶在了防守队员身上                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
59'马尔基尼奥斯给恩索基，再传德拉克斯勒                   56'第56分钟，内马尔禁区外持球开始突破，连过两人后低射偏出球门右侧
66'这脚直塞让姆巴佩直接趟入禁区，一脚打门                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
66'进了                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
66'神奇的姆巴佩啊，上场就帮助巴黎进球了                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
67'这球得感谢迪马利亚的助攻                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
67'巴黎圣日耳曼在下半场凭借替补上场的姆巴佩的进球暂时1比0领先马赛                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
68'回到比赛，巴黎球权                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
68'右侧的角球                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
68'迪马利亚快速发给内马尔                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
69'带球突破，倒三角给到迪马利亚                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
69'再分左侧姆巴佩                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
69'这次脚下打滑了                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
69'马赛反击，奥坎波斯得球传中被顶出边线                   66'第66分钟，巴黎打破僵局，姆巴佩在中圈附近接到迪马利亚直塞，强行过掉卡马拉杀入禁区，面对曼当达低射破门，巴黎1-0领先马赛
85'古斯塔沃给到奥坎波斯                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
86'被踢倒，定位球                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
86'米特罗格卢替补上场换下奥坎波斯                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
88'定位球发出，传到禁区，拉米推射                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
88'被挡出，补射，球进                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
88'但裁判先鸣哨了                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
88'斯特罗曼提前撞人犯规                   85'第85分钟，帕耶开出任意球，拉米推射被阿雷奥拉挡出，米特罗格卢补射破门，但裁判吹罚进球前斯特罗曼对马尔基尼奥斯犯规，进球无效，斯特罗曼抱怨吃到黄牌，马赛主帅加西亚也被罚上了看台
