8'奥斯瓦尔多禁区线上的射门是将球打偏                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'萨内蒂中场拿球的时候出现了失误                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'反抢的时候萨内蒂犯规了                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'德罗西中场拿球给到边路                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
8'奥斯瓦尔多前场的传球直接送到国米的脚下                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
9'斯内德中场拿球往前走                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'禁区外围瓜林的远射被挡了下来                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'国米左路再传，球被皮里斯挡出底线                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
10'国米战术角球开出，边路的传球被罗马队挡了下来                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'国米将球交到了左路                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'左路的传球效果还是不太理想                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
11'另一侧瓜林抢球的时候对巴尔扎雷蒂犯规                   8'赛前为8月31日去世的前米兰大主教马蒂尼默哀1分钟，开场2分钟，德罗西外围抽射 flash player begin  修改这里的js引入为新的js文件，删除以前的playflash.js引入
9'斯内德中场拿球往前走                   9'第9分钟，瓜林在门前30米处凌空抽射被封堵
46'大脚解围的时候打在罗马球员身上出了边线                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
46'萨内蒂中场带球，传球的时候被阻截                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
47'马尔奎尼奥中场带球往前走                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
47'拉诺齐亚一个凶狠的铲球将其放倒                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
48'拉诺齐亚这张黄牌是在所难免了                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
48'禁区内奥斯瓦尔多近距离的射门打高了                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
49'米利托中场抢球的时候被判了一个危险动作                   46'1分钟后，米利托反越位单刀突入禁区，面对斯特克伦伯格倒地扑救倒地，主裁判贝尔贡齐没有表示
20'托蒂拿球往禁区给，结果裁判吹了一个越位                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
20'国米中场挑传，米利托同样也是越位了                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
21'瓜林前场直塞找米利托                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
21'米利托底线得球将球横敲，卡萨诺虽然将球打进，但在此之前，米利托接球的时候先处在了越位位置上                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
21'米利托左路拿球到了禁区内                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
21'最后的一传被罗马队挡出底线                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
22'国米战术角球快速发出                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
22'左路的劲射被斯特克伦伯格扑出底线                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
22'上半场比赛已经过了20分钟，场上的比分是客场作战的罗马1-0领先国米                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
23'斯内德中场挑传再找米利托                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
23'米利托启动的时候也是再次越位                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
23'卡萨诺中场回撤接球被断                   20'第20分钟，佩雷拉直传，卡萨诺禁区左侧回敲，米利托在门前5米处推射入网，但卡萨诺越位在先，进球无效
35'禁区左路尝试远射再次被挡                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
35'卡萨诺禁区前沿的传球被罗马球员挡了下来                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
36'但卡萨诺认为这是个手球                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
36'卡萨诺今天显得有些激动                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
36'卡萨诺右路得球想大范围转移，结果这个球是太靠近斯特克伦伯格了                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
37'而斯特克伦伯格第一下接球的时候没有拿好，好在斯特克伦伯格第二反应很快                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
37'斯内德左路拿球送到禁区内                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
37'球在反弹后速度加快，米利托是没有拿到                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
38'托蒂中场的传球出现了失误                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
38'米利托中场拿球给到边路                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
38'长友佑都左路拿球进了禁区                   35'第35分钟，瓜林右路传中，佩雷拉头球被德斯特罗顶出
38'托蒂中场的传球出现了失误                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
38'米利托中场拿球给到边路                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
38'长友佑都左路拿球进了禁区                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
39'横向带球摆脱了皮里斯的防守后                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
39'长友佑都想打个远角，球是打高了                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
39'马尔奎尼奥前场拿球分到边路                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
40'罗马队边路的机会并不是很好                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
40'禁区前沿，罗马队的挑传直接出了底线                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
40'瓜林中场挑传送到禁区弧顶                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
40'米利托得球后到了禁区内                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
40'米利托低射被后卫挡了出来                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
41'卡萨诺右路拿球进了禁区                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
41'想在带一步，结果被罗马队铲断                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
41'国米球员在场上显得有些着急                   38'第38分钟，加尔加诺中路分球，长友佑都左路切入禁区斜射偏出远门柱
46'瓜林后场带球有些犹豫，好在罗马队的抢球是犯规在先                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'上半场补时3分钟！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'国米进球了！！！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'卡萨诺！！！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
48'国米后场长传打到前场，卡萨诺禁区内得球后转身射门，球是打在了防守球员的身上后变向入网！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
49'这个球是打在了布尔迪索的身上                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
49'上半场比赛结束！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'下半场比赛开始！                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'下半场比赛由国米发球                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'佩雷拉回撤到后场将球抢断                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'大脚解围的时候打在罗马球员身上出了边线                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
46'萨内蒂中场带球，传球的时候被阻截                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
47'马尔奎尼奥中场带球往前走                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
47'拉诺齐亚一个凶狠的铲球将其放倒                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
48'拉诺齐亚这张黄牌是在所难免了                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
48'禁区内奥斯瓦尔多近距离的射门打高了                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
49'米利托中场抢球的时候被判了一个危险动作                   46'上半时补时第1分钟，斯内德后场60米长传，卡萨诺禁区左侧倚住卡斯坦，在门前12米处转身右脚抽射打在布尔迪索背上弹起击中远门柱内侧弹进，1比1
49'这个球是打在了布尔迪索的身上                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
49'上半场比赛结束！                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
49'米利托中场抢球的时候被判了一个危险动作                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
50'托蒂右路拿球，传球的时候被佩雷拉挡了一下                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
50'国米后场断球了                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
50'卡萨诺前场的传球直接被罗马队抢断                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
51'国米这边准备换人                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
51'德斯特罗右路拿球到了禁区内                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
51'拉诺齐亚解围出现了失误，好在罗马队锋线队员也是准备不足                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
51'他们的射门是打高了                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
51'国米换人，卡萨诺下，帕拉西奥上！                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
52'帕拉西奥前场右路拿球                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
52'国米前场的转移出现了失误                   49'第49分钟，德斯特罗右路传中，奥斯瓦尔多射门被拉诺齐亚铲球化解
52'帕拉西奥前场右路拿球                   52'第52分钟，瓜林在门前25米处打高
52'国米前场的转移出现了失误                   52'第52分钟，瓜林在门前25米处打高
53'瓜林禁区外围尝试远射，球稍稍打高                   52'第52分钟，瓜林在门前25米处打高
53'斯内德左路拿球给到禁区内                   52'第52分钟，瓜林在门前25米处打高
53'队友得球后将球回敲                   52'第52分钟，瓜林在门前25米处打高
53'禁区外围佩雷拉的射门被挡                   52'第52分钟，瓜林在门前25米处打高
54'国米右路送直线，帕拉西奥接球的时候越位了                   52'第52分钟，瓜林在门前25米处打高
54'罗马中场长传给到德斯特罗                   52'第52分钟，瓜林在门前25米处打高
54'德斯特罗胸部停球后自己脚下打滑了                   52'第52分钟，瓜林在门前25米处打高
55'国米马上发动反击                   52'第52分钟，瓜林在门前25米处打高
55'瓜林禁区线上附近的射门被卡斯坦挡了下来                   52'第52分钟，瓜林在门前25米处打高
55'巴尔扎雷蒂看样子也是有些受伤                   52'第52分钟，瓜林在门前25米处打高
59'斯内德前场拿球将球转移                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
60'瓜林右路的射门被斯特克伦伯格扑出底线                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
60'国米角球给到前点，落点不是很好                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
61'斯内德前场拿球给到右路                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
61'瓜林想直接往禁区内送，结果被挡了下来                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
61'马尔奎尼奥中场直塞找德斯特罗                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
62'德斯特罗启动的时候处在了越位的位置上                   59'第59分钟，瓜林禁区弧顶左脚低射被斯特克伦伯格封出远门柱，角球开出后，佩雷拉外围左脚凌空打高
67'国米换人，佩雷拉下，坎比亚索上！                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
67'罗马又进球了！！                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
68'奥斯瓦尔多！！！                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
68'托蒂中场得球送了一脚直塞，奥斯瓦尔多在大禁区线上直接选择吊门将球打进！                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
69'国米前场右路获得定位球机会                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
69'任意球打到中路，第一点被罗马队顶到                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
69'禁区外围国米得球再送禁区内                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
70'混战中罗马队再次将球解围出来                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
70'罗马这边又要准备换人了                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
70'拉梅拉要准备登场                   67'罗马第67分钟再度超出，马基尼奥分球，托蒂右侧精准直塞，奥斯瓦尔多跑动中距门17米处直接搓射越过卡斯特拉齐入空门，2比1
75'国米右路策动攻势                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
75'米利托禁区内故意一漏，可惜坎比亚索没有意识到                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
75'国米这样要准备打出最后一张牌了                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
75'国米前场右路获得定位球机会                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
75'任意球送到禁区内，没有什么威胁                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
76'国米换人，加尔加诺下，库蒂尼奥上！                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
77'拉梅拉右路拿球到了禁区内                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
77'最后的一传稍微有些大，队友没有跟上                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
77'国米获得角球机会                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
77'斯特克伦伯格得到一张黄牌！                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
77'国米角球开出，落点不是很好                   74'第74分钟，托蒂右路脚后跟妙传，皮里斯传中，后卫解围不远，弗洛伦齐在门前9米处左脚凌空打呲
78'托蒂前场拿球给到禁区弧顶                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
78'队友得球后想吊射，球是稍稍刚出                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
79'刚刚斯特克伦伯格的黄牌是因为国米在准备发角球的时候，他故意将一个球捡了回来放在场内                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
79'马尔奎尼奥禁区外围低射打偏                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
81'罗马又进球了！！                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
81'这次是马尔奎尼奥                   78'第78分钟，托蒂传球，塔赫特西迪斯禁区外左脚吊射高出
81'罗马又进球了！！                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
81'这次是马尔奎尼奥                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
82'罗马左路传球送到禁区内，马尔奎尼奥前点停球后，小角度直接打门，球进！                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
82'这个失球西尔维斯特雷和卡斯特拉齐都有一定的责任啊                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
83'斯内德中场长传没有过顶                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
83'国米想要扳平比分都是一件不容易的事情                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
84'现场的国米球迷也是开始退场了                   81'罗马第81分钟扩大优势，奥斯瓦尔多左路挑传，马基尼奥禁区左侧停球接近零度角左脚凌空抽射入远角，3比1
