1'上半场比赛开始！！                   1'第1分钟，哈姆西克左路传入禁区打在赫迪拉身上，因西涅射门偏出远门柱
74'尤文这边上抢不够积极                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
74'平局看样子是可以接受                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
74'全场比赛已经来到了75分钟                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
74'比分上还是0-0                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
75'夸德拉多边路接球被撞倒                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
75'尤文前场拿球给到底线                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
75'队友勉强救回                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
76'边路准备再突的时候被破坏                   73'第73分钟，因西涅斜传禁区右侧，卡列洪在门前7米处直接凌空斜射被布冯倒地封出
90'库利巴利！！！                   90'那不勒斯第90分钟上演绝杀
90'卡列洪角球开出来送中路，库利巴利前插高高跃起头球攻门将球顶进！！                   90'那不勒斯第90分钟上演绝杀
91'这球距离球门太近，布冯也是没有办法                   90'那不勒斯第90分钟上演绝杀
91'下半场补时3分钟！！                   90'那不勒斯第90分钟上演绝杀
91'库利巴利的这个进球会是绝杀吗                   90'那不勒斯第90分钟上演绝杀
91'这样的时间进球留给尤文并不富裕啊                   90'那不勒斯第90分钟上演绝杀
91'尤文后场直接传了                   90'那不勒斯第90分钟上演绝杀
91'时间不多                   90'那不勒斯第90分钟上演绝杀
91'禁区内点下来                   90'那不勒斯第90分钟上演绝杀
91'裁判哨响！！                   90'那不勒斯第90分钟上演绝杀
92'马图伊迪进攻犯规                   90'那不勒斯第90分钟上演绝杀
93'利希施泰纳突破的时候造了对方手球                   90'那不勒斯第90分钟上演绝杀
93'尤文将球打到禁区里                   90'那不勒斯第90分钟上演绝杀
93'第一点没有争顶下来                   90'那不勒斯第90分钟上演绝杀
93'尤文这边还有机会                   90'那不勒斯第90分钟上演绝杀
93'再传禁区                   90'那不勒斯第90分钟上演绝杀
93'还是没有拿到                   90'那不勒斯第90分钟上演绝杀
