1'上半场比赛开始                   1'第1分钟，山东鲁能球迷高喊“跑起来”，球员也明显加强了跑动
18'塔尔德利！！左路突破横传禁区，被断                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
18'徐杨春艳518：哪个台直播[回复]:山东体育台全程直播鲁能泰山队的全部比赛！                   15'第15分钟，迪亚涅直塞，胡人天快速插上形成单刀，但王大雷迅速出击到禁区外将球解围
34'明显的手球在先！                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
34'角球发到禁区内，后点打门后卫挡出来，打在了蒂亚戈内手上挡进球门！                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
34'周海滨刚才的犯规！吃到了黄牌                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
35'蒂亚戈内要来上学之手，结果进球无效                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
35'周海滨有些急啊！飞铲郑铮！因此吃到黄牌                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
35'任意球发到禁区内，从后点出底线                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
36'刚才发贺电的！应该是淄博是瓷都+聊斋！                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
36'uyuan006 ：淄博人民发来贺电！！！[回复]:第九！                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
36'天津泰达队进球啦！！！胡人天1-2                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
37'天津泰达队得到任意球机会，任意球发到禁区内，后点儒尼奥尔过渡，胡人天抢点打门球进！                   34'第34分钟，天津泰达角球制造威胁，第一脚射门被挡出，之后周海滨补射又被王大雷挡出，赵明剑解围打在迪亚涅身上弹入球门，但是主裁判认定手球在先，进球无效
35'蒂亚戈内要来上学之手，结果进球无效                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
35'周海滨有些急啊！飞铲郑铮！因此吃到黄牌                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
35'任意球发到禁区内，从后点出底线                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
36'刚才发贺电的！应该是淄博是瓷都+聊斋！                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
36'uyuan006 ：淄博人民发来贺电！！！[回复]:第九！                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
36'天津泰达队进球啦！！！胡人天1-2                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
37'天津泰达队得到任意球机会，任意球发到禁区内，后点儒尼奥尔过渡，胡人天抢点打门球进！                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
38'用户5920747314：威海，祝贺我鲁能[回复]:贺电第十！风景优美，适合人居！                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
38'人醉青山：潍坊球迷发来贺电，祝鲁能大胜，复我雄风！[回复]:风筝城！蔬菜基地！                   35'第35分钟，周海滨放倒郑铮，被主裁判黄牌警告
48'中后场天津泰达队断球，到前场转移到左路进攻                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
48'儒尼奥尔左路带球突破，尤西雷上抢犯规                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
48'今天尤西雷的防守范围比较大                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
49'哟！蒙特罗任意球直接打门！好悬，被王大雷托出横梁！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
50'蒙特罗发角球到禁区内！儒尼奥尔一脚打门，被王大雷扑出！周海滨再补射！击中立柱！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
50'天津泰达队进球啦！！蒂亚戈内！2-2                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
50'下半场天津泰达队猛攻！扳平了比分！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
51'战术角球发出来，天津泰达队左路横传禁区，蒂亚戈内打门，皮球从王大雷身下过去，蒂亚戈内再补射球进！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
51'请大家给天津发贺电啊！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
51'飛不起萊的卡西：主持人是山东人，或是山东球迷？[回复]:是啊！现在天津泰达队扳平了比分！我们为天津泰达队发贺电！                   48'第48分钟，赞纳迪内突破赢得任意球，蒙特罗直接弧线球大力射门，王大雷飞身双拳将球击出底线
52'尤西雷中场得球，中路直传                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
52'哇！鲁能泰山队躲过一劫！                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
53'蒙特罗传球，蒂亚戈内接球突破单刀，打门被碰了一下出底线！！                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
53'角球发到禁区内，前点队员头球后蹭！鲁能泰山队解围                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
53'鲁能泰山队门前险象环生！                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
54'郭皓后场抢到球，吴兴涵上抢犯规！吃到了黄牌                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
55'后场天津泰达队得球就是长传，找蒂亚戈内                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
55'吉尔把球破坏出边线                   52'第52分钟，天津泰达反击再次形成单刀机会，迪亚涅面对王大雷推射远角，但球被王大雷奋力挡出底线
56'蒙蒂略左路带球进攻，对方上来三人围抢                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
56'泰山青：第二个球，我怎么看的是周海滨射门打到立柱了，为什么裁判判角球呢？？？求解答，[回复]:碰到王大雷了吧                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
57'蒂亚戈内突破传球，队友回传，蒙特罗打门偏出！                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
57'阿洛伊西奥准备上场啦！                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
57'氢的同位素H：天津人民发来贺电[回复]:贺电收到！丢两球都能扳平！                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
58'皓衣胜风：终于轮到我们天津人民发来贺电了[回复]:贺电嗖收！                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
58'天津泰达队边路进攻逼得角球机会                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
59'角球发到禁区内，王大雷出击把球打出来                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
59'鲁能泰山队的反击速度不够快！                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
59'塔尔德利在前场争抢犯规                   56'第56分钟，迪亚涅杀入禁区倒地，蒙特罗禁区外迎球怒射，球滑门而过
66'天津泰达队右路攻到前场，被对方把球破坏出边线                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
66'界外球发到禁区内，惠家康回传，跟上队员打门偏出                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
67'天津泰达队在前场断球直传，越位啦                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
68'鲁能泰山队右路斜传禁区，对方抢点破坏                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
68'惠家康左路快速反击，横传禁区，吉尔将球破坏出来                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
68'尤西雷抢球犯规！送给天津泰达队前场任意球机会                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
69'刘彬彬准备上场！                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
69'蒙特罗任意球越过人墙直接打门，王大雷将球托出！                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
69'蒙特罗发角球到禁区内，后点过渡！进攻队员倒地                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
69'并没有犯规                   66'第66分钟，天津泰达边线球传中，迪亚涅故意一漏，胡人天后点回做，聂涛跟进远射将球打高
72'天津泰达队进球啦！！约万诺维奇，3-2！                   72'第72分钟，天津泰达反超比分
73'还是记在了身上！                   72'第72分钟，天津泰达反超比分
73'角球发到禁区内，曹阳打门击中立柱弹进又出来，约万诺维奇补射！但他在补射之前就已经进门线！                   72'第72分钟，天津泰达反超比分
73'所以这球是曹阳进的！                   72'第72分钟，天津泰达反超比分
74'天津泰达队下半场表现真好！贺电有木有？                   72'第72分钟，天津泰达反超比分
74'下半场鲁能泰山队真心不咋地！！！你们可以不看，但我不能不直播！哎！无语！                   72'第72分钟，天津泰达反超比分
75'鲁能泰山队传球到禁区内！杨旭争顶犯规                   72'第72分钟，天津泰达反超比分
75'鲁能泰山队又要换上王永珀！                   72'第72分钟，天津泰达反超比分
75'尤西雷中后场得球，分到右路进攻                   72'第72分钟，天津泰达反超比分
75'阿洛伊西奥前场接球转身突破，被白岳峰扫倒！                   72'第72分钟，天津泰达反超比分
85'蒙蒂略中场接球，被蒙特罗放倒                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
85'阿洛伊西奥！！前场接球横带突然打门！！击中立柱！！！                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
85'野牛有些急啦！                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
86'胡人天右路带球突破下底，郑铮回追放铲，把球铲断下来                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
86'蒙蒂略中场接球快速反击！！！多好的反击机会！曹阳战术犯规！                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
86'这是吃牌子的啊！！果然黄牌！                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
87'任意球发出来，尤西雷得球回传一下                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
87'阿洛伊西奥左路强突禁区，被截                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
87'天津泰达队反击！！三打三！                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
88'鲁能泰山队长传禁区！被对方破坏出来                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
88'天津泰达队又打反击啦                   85'第85分钟，阿洛伊西奥禁区前沿横向盘带过人后突然低射，球越过门将被立柱挡出
