1'中圈布莱顿先开球！                   1'曼城第1分钟全力施压
40'沃克带球推进！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'搓传球给前场右路斯特林！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'边裁举旗！斯特林这是越位了！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'马修-瑞安大脚开球到中场右侧！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
40'津琴科争抢出界！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'布莱顿边线发球给前场右侧！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'孔帕尼把球抢下来！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'给右路的伯纳多-席尔瓦！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'回给前场中路津琴科！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'直塞球给禁区左侧斯特林！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'横做给中路！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
41'被大脚破坏出去！                   38'曼城第38分钟反超比分，马赫雷斯开出角球，拉波尔特小禁区边缘冲顶入网，2-1
63'马修-瑞安大脚开到中圈！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
63'大卫-席尔瓦把球抢到！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
63'给前场左路斯特林！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
63'直传球给插上的阿奎罗！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
63'下底传中！被头球解围出底线！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'曼城的左侧角球！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'角球开到禁区左肋！被头球解围！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'外围中路马赫雷斯把球得到！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'分球给禁区右侧伯纳多-席尔瓦！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'回给禁区弧顶马赫雷斯！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'马赫雷斯带球晃开防守球员！右脚打门！！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'GOOOOOOOOOOOAL！！！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
64'这一球马赫雷斯基本是轰下了本赛季的冠军奖杯！曼城3-1布莱顿！！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'拉波尔特分球给右侧沃克！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'再给前场的马赫雷斯！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'回传前场中路伯纳多-席尔瓦！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'搓传球给禁区左侧阿奎罗！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'摆渡给身边京多安！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'京多安右脚打门！打偏出右侧底线！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'场边布莱顿换人，10-安多内换下17-格伦-穆雷，9-洛卡迪亚换下                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'孔帕尼分球给前场左侧斯特林！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
66'斯特林横移到中路！遭到了防守犯规！                   63'曼城第63分钟扩大比分，席尔瓦传球，马赫雷斯禁区弧顶扣过邓克后右脚劲射右上角入网，3-1
73'球进了！！！！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
73'京多安的任意球直接破门！曼城4-1布莱顿！蓝月亮要稳夺冠军啦！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'布莱顿中场开球给比索马！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'分球给左侧邓克！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'斜传球被京多安拦截！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'给前场右侧的伯纳多-席尔瓦！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'回做一下给孔帕尼！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'再倒脚给中圈京多安！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
75'起球挑传直接送出了左侧边线！                   72'曼城第72分钟锁定胜局，京多安25码处任意球直接射门，皮球紧贴右侧立柱入网，4-1
