1'上半场比赛开始                   1'第1分钟，尤文就将贝内文托压在半场
31'左路桑德罗回敲，马尔基西奥转移                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
31'尤文禁区前横向转移，夸德拉多右路上来进禁区                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
32'抽射打高了                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
32'阿门特罗斯中场拿球，马图伊迪破坏                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
34'桑德罗左路拿球，回敲                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
34'迪巴拉右路拿球横走                   31'尤文第31分钟错过扳平机会，道格拉斯-科斯塔前场断球，迪巴拉与伊瓜因踢墙配合后分球，夸德拉多右侧小禁区角上斜射掠过横梁
57'马尔基西奥后场断球                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
57'桑德罗斜传右路，夸德拉多给德西利奥下底                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
57'尤文进球了！！！                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
57'伊瓜因！！！                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
58'德西利奥传中，马图伊迪头球回点，伊瓜因的垫射破门                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
58'尤文1-1扳平比分                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
59'夸德拉多右路横敲，迪巴拉强突被破坏                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
59'马尔基西奥斜传禁区，门将出击破坏                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
60'拉扎尔左路反击，被德西利奥断下                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
60'桑德罗斜传右路，夸德拉多突破                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
60'斜射被扑出，伊瓜因补射又被扑住                   57'尤文第57分钟终于追平，德希利奥右路传中，马图伊迪后点头球回顶，伊瓜因在门前8米处左脚凌空勾射入右上角，1比1，这是他效力尤文第41球
65'安泰后上断球，被迪巴拉绊倒                   65'尤文第65分钟反超比分
66'科斯塔左路传中，前点被顶出                   65'尤文第65分钟反超比分
66'尤文进球了！                   65'尤文第65分钟反超比分
66'夸德拉多！                   65'尤文第65分钟反超比分
66'桑德罗左路传中去后点，夸德拉多头球弹地破门                   65'尤文第65分钟反超比分
66'尤文2-1反超了                   65'尤文第65分钟反超比分
67'西西雷蒂中场被桑德罗绊倒                   65'尤文第65分钟反超比分
67'任意球高吊禁区，被什琴斯尼拿到                   65'尤文第65分钟反超比分
68'尤文前场横传失误                   65'尤文第65分钟反超比分
68'阿门特罗斯前场脚后跟做球，丢了                   65'尤文第65分钟反超比分
