4'争抢球，吴曦犯规了                   4'开场第4分钟，吉翔右路界外球掷进，谢鹏飞禁区外抽射打偏
15'门球                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
15'上港中场再次将球控制下来                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
16'胡尔克边路拿球，给门前，埃弗拉打门，被后卫当下来                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
16'苏宁的反击gogogo                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
16'马丁内斯给特谢拉，在给拉米雷斯，带球突破                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
16'裁判哨响，吹了推人犯规                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
17'颜骏凌大脚将球开过来，上港控制球权                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
17'埃弗拉拿球，给身后武磊                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
17'禁区前沿的打门，直接高射炮                   14'第14分钟特谢拉和金周荣碰撞后，裁判判罚特谢拉犯规，引发江苏队不满
18'马丁内斯前场拿球，被放倒了，裁判没有表示                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
18'马丁内斯也生气了                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
18'上港的进攻，埃尔克森边路起球，后点无人接应呀，直接出界了                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
19'中场争抢球，胡尔克犯规了                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
19'谢鹏飞边路突破，球被拦截下来                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
20'中场拉米雷斯将球断回来，给特谢拉                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
20'边路突破，突然起脚打门，被颜骏凌抱住                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
20'上港这边有人倒地了，埃尔克森                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
20'在带球的时候，突然倒地了                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
21'好像是肩膀脱臼了                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
21'埃尔克森这个伤病，唉                   18'第18分钟埃尔克森带球中突然摔倒，拉米雷斯拿球后随即传到左路，特谢拉连过三人后射门太正
22'埃尔克森已经哭了                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
22'应该是不能坚持了                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
22'胡尔克过来安慰                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
23'吕文君换下了埃尔克森                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
23'看到埃尔克森落泪心里不好受呀                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
23'好的我们继续看比赛                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
23'马丁内斯禁区前沿拿球，又被放倒了                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
24'裁判依然没有表示，谢鹏的打门，球稍稍偏出                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
24'中场苏宁将球断回来                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
24'直接给前场马丁内斯，背身拿球，被犯规了                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
25'苏宁后场倒球                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
25'埃弗拉中场抢球犯规                   22'江苏继续猛攻，第22分钟几名外援轮流进攻都被封出，最后拉米雷斯禁区外怒射打在上港队员身上弹出，谢鹏飞跟进再射稍稍偏出
31'颜骏凌大脚将球开出来，上港将球控制下来                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
31'于海传球出现失误，拉米雷斯断下来                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
31'马丁内斯拿球，3人包夹，直接过了                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
31'挑传禁区，找特谢拉，球被后卫拦截下来                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
31'马丁内斯刚才的过人太漂亮了                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
32'于海拿球，往禁区传，武磊头球                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
32'球被顾超扑出去，角球机会                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
32'吕文君主罚角球                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
33'角球开出来，前点，直接被解围出来                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
33'特谢拉拿球，带球过来，给谢鹏飞                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
33'在给插上的队友，吕文君放倒了对手，吃到了黄牌                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
33'被放倒的是吴曦                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
34'苏宁获得前场绝佳任意球机会，就在禁区线前面一点点                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
34'特谢拉和李昂站在皮球前                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
34'还有拉米雷斯                   31'第31分钟江苏队快速反击，吕文君撞倒带球的吴曦吃到黄牌，李昂任意球打在人墙上弹出界外
39'颜骏凌大脚将球开出来，拉米雷斯拿球                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
39'中场带球过来被放倒了，裁判还是没有表示                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
39'于海直接传球，找到禁区里的武磊，单刀球了                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
39'不过边裁举旗，越位了                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
40'上港中场将球控制下来                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
40'中场拼抢球，吕文君犯规了                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
40'特谢拉背身拿球，给马丁内斯，转身射门                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
41'稍稍高出横梁                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
41'颜骏凌大脚将球开出来，前场争抢球，苏宁将球控制下来                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
41'谢鹏飞直接将球给到禁区里，找特谢拉，球被解围出来                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
42'特谢拉边路拿球，孙祥直接铲倒了                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
42'孙祥毫无疑问吃到了黄牌                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
42'上港底线附近的定位球机会                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
42'谢鹏飞来主罚                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
42'开到禁区，后点，无人争抢到，球出了底线                   39'第39分钟特谢拉背身拿球后轻磕给禁区内的马丁内斯，后者在三人夹击中捅射高出
45'吹了马丁内斯的越位                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
45'埃弗拉传球禁区内的吕文君，球被洪正豪踢出底线                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
45'上港角球机会                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'角球开出来，前点，第一点被解围出来                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'第二点再次来到禁区，球被顾超抱住                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'大脚开出来，球被苏宁控制住                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'马丁内斯带球突破，横穿，球被解围出来                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'上半场补时2分钟                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
47'拉米雷斯中场拿球，被胡尔克犯规了                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'拉米雷斯中场倒地了，队医进来处理一下                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'OK，比赛继续                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'裁判突然吹响了上半场结束的哨音                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
47'进球了，特谢拉！！！！！！！！！！！！111                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
47'特谢拉禁区里拿球，晃过防守人，直接推射球门左下角，将球打进                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
47'传球的好像是吴曦，看的不是特别清楚                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'特谢拉为苏宁率先打开局面                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'付欢拿球，给禁区队友，球被解围出来                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
48'蔡慧康反抢犯规了                   45'第45分钟拉米雷斯在和胡尔克拼抢中摔倒，但这次看上去动作并不大的冲撞，却让拉米雷斯在地上躺了好一会儿
46'角球开出来，前点，第一点被解围出来                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
46'第二点再次来到禁区，球被顾超抱住                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
46'大脚开出来，球被苏宁控制住                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
46'马丁内斯带球突破，横穿，球被解围出来                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
46'上半场补时2分钟                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
47'拉米雷斯中场拿球，被胡尔克犯规了                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'拉米雷斯中场倒地了，队医进来处理一下                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'OK，比赛继续                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'裁判突然吹响了上半场结束的哨音                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
49'上半场双方战成0比0                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
49'好了让我们稍事休息一会看双方下半场的比赛                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
47'进球了，特谢拉！！！！！！！！！！！！111                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
47'特谢拉禁区里拿球，晃过防守人，直接推射球门左下角，将球打进                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
47'传球的好像是吴曦，看的不是特别清楚                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'特谢拉为苏宁率先打开局面                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'付欢拿球，给禁区队友，球被解围出来                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
48'蔡慧康反抢犯规了                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
49'特谢拉中场拿球，上港这边有人倒地了                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
49'付欢倒地了                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
49'谢鹏飞这边也是倒地                   46'第46分钟江苏进球，马丁内斯禁区外中路转身送出好球，特谢拉禁区左侧拿球，快速摆脱金周荣防守后，接着倒地射门，虽然球速不快，但角度很刁，皮球钻入大门左侧死角，1比0，江苏领先
55'谢鹏飞拿球，球被武磊碰出边线                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
56'苏宁直接长传球，给前场马丁内斯                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
56'越位了                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
56'上港这边也是打长传球，胡尔克拿球                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
57'给边路吕文君，直接往禁区起球，球被解围出来                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
57'于海还是边路起球，直接出界了                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'苏宁还是打长传球，球被解围出来                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'上港中场控制球                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'王森超拿球，直接给禁区内的武磊，球被解围出边线                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'界外球开出来，拉米雷斯直接断了                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'给马丁内斯，被3人包夹，球丢了                   55'第55分钟江苏队连续围攻暂时少一人的上港腹地，拉米雷斯中路输送，吴曦在禁区右侧拿球，他果断起脚射门，皮球斜飞入大门，2比0
58'苏宁还是打长传球，球被解围出来                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
58'上港中场控制球                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
58'王森超拿球，直接给禁区内的武磊，球被解围出边线                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
58'界外球开出来，拉米雷斯直接断了                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
58'给马丁内斯，被3人包夹，球丢了                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
59'上港长传球，找武磊，力量大了，顾超出击将球踢到前场                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
59'中场附近，拉米雷斯直接铲倒了对手                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
59'拉米雷斯黄牌                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
60'放倒的是胡尔克                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
60'埃弗拉拿球，直接禁区内的打门                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
60'漂亮，顾超扑的也漂亮，球被扑出了底线                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
60'孙祥将球开出来，球被解围出来                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
61'胡尔克拿球，内切过来，射门，球被挡出来                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
61'特谢拉直接长传球，找前场马丁内斯                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
61'马丁内斯拿球，横穿谢鹏飞，球被拦截下来                   58'第58分钟拉米雷斯拽倒胡尔克吃到黄牌
61'胡尔克拿球，内切过来，射门，球被挡出来                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
61'特谢拉直接长传球，找前场马丁内斯                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
61'马丁内斯拿球，横穿谢鹏飞，球被拦截下来                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
62'苏宁将球断回来                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
62'特谢拉拿球，想躺球过人，拦截下来                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
62'于海直接拿球，给禁区插上的武磊                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
62'武磊拿球，打门了，打高了                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
63'上港将球断回来                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
63'武磊拿球，横穿胡尔克，挑传禁区，顾超将球抱住                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
64'长传球，找特谢拉，力量大了，出了边线                   61'第61分钟于海中场长传，武磊拿球杀入禁区后怒射踢高
66'埃弗拉的边路突破，突然回敲一下，然后横传球，给胡尔克，轻轻一推就将球打进                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
66'苏宁长传球，球被颜骏凌抱住                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
67'埃弗拉边路拿球，往禁区传，球被解围出来                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
67'马丁内斯前场拿球，过了一人，直接打门了                   66'场上局面再次紧张起来，第66分钟马丁内斯右侧斜角度怒射被颜骏凌倒地没收
