4'维拉蒂转移到右路                   4'开场4分钟，巴黎场上队长莫塔左脚远射打高
48'转身动作慢了~                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
49'大巴黎的传中被施特根拿到                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
50'梅西横敲伊涅斯塔~                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
50'小白的外脚背传球想找梅西~失误了                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
50'马图伊迪~接应队友的直传                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
50'被小马哥卡住了位置，回传给门将                   47'但此后不到2分钟，梅西与左侧的伊涅斯塔打出二过一配合，在门前13米处左脚推射入右下角，1比1
13'这个机会是大巴黎前场抢出来的机会                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
13'巴萨今天的失误太多了                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
15'巴萨右路策动进攻                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
15'不断的传递~                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
16'球到佩德罗脚下，又丢了                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
16'今天佩德罗的状态有些不太好                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
16'阿尔维斯边路传中~~                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
16'后点的内马尔头球~~~没顶上                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
16'巴萨还制造了一个角球                   13'第13分钟，帕斯托雷传球，卡瓦尼扣过马蒂厄，在门前16米处左脚抽射掠过横梁
21'还是拉基蒂奇来处理                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
21'传中给前点~                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
21'马蒂厄的倒勾射门被吹了犯规                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
22'球又到了巴萨的控制之下                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
22'梅西内切~分球力量给小了一点                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
23'巴黎的反击~                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
23'范德维尔右路传中~~~                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
23'阿尔维斯不敢怠慢，将球破坏出底线                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
23'巴黎今天的第一个角球机会                   21'第21分钟，巴萨左侧角球制造混乱，梅西在门前12米处侧身左脚凌空勾射被西里古封出右门柱，但马蒂厄犯规在先
26'阿尔巴中场带球失误~                   26'巴黎第26分钟再度超出
26'巴黎又获得了一个角球                   26'巴黎第26分钟再度超出
26'维拉蒂~~~                   26'巴黎第26分钟再度超出
27'Goooooooooooooooal~                   26'巴黎第26分钟再度超出
27'这球丢的...维拉蒂的身高并不高                   26'巴黎第26分钟再度超出
27'这次是门将出击的失误                   26'巴黎第26分钟再度超出
27'莫塔的传中给后点，门将出击没能碰到皮球~维拉蒂捡漏头球顶入空门                   26'巴黎第26分钟再度超出
28'两次都是定位球丢球                   26'巴黎第26分钟再度超出
28'维拉蒂中场踢倒了伊涅斯塔                   26'巴黎第26分钟再度超出
28'结果他领到了黄牌                   26'巴黎第26分钟再度超出
29'伊涅斯塔~禁区弧顶的打门没能压住                   26'巴黎第26分钟再度超出
29'这球打得质量还是不错的                   26'巴黎第26分钟再度超出
29'伊涅斯塔在边路跟内马尔的传接球失误...给大了                   26'巴黎第26分钟再度超出
29'伊涅斯塔~禁区弧顶的打门没能压住                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
29'这球打得质量还是不错的                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
29'伊涅斯塔在边路跟内马尔的传接球失误...给大了                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
30'小白挑给右边路，拉基蒂奇的传中被路易斯破坏出底线                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
30'巴萨继续罚角球                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
30'嚯~                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
31'打了一个战术配合                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
31'拉基蒂奇低平球横传到禁区弧顶~                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
31'而跟上的马斯切拉诺推射被后卫挡出了底线                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
31'继续角球~                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
31'梅西的传中出了底线                   29'第29分钟，梅西分球，伊涅斯塔左侧距门19米处推射高出
44'放倒了突破的梅西                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
44'结果他也领到了黄牌                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
45'这个定位球已经进入了梅西的射程范围                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'助跑，打门~嚯!                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'球稍稍打高了一点点                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'梅西的这脚射门绕过人墙之后下坠得很快，可惜还是高了                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'上半场补时1分钟                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'欢迎回来~                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
46'下半场比赛开始了                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
47'两队都没有换人                   44'第44分钟，马图伊迪拉倒梅西，被黄牌警告，梅西在门前27米处任意球稍偏出左门角
48'帕斯托雷断球反击~                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
48'卡瓦尼~~~                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
48'禁区内左脚一扣                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
48'转身动作慢了~                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
49'大巴黎的传中被施特根拿到                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
50'梅西横敲伊涅斯塔~                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
50'小白的外脚背传球想找梅西~失误了                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
50'马图伊迪~接应队友的直传                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
50'被小马哥卡住了位置，回传给门将                   48'下半时开始3分钟，卡瓦尼突入禁区射门被封堵
47'两队都没有换人                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
48'帕斯托雷断球反击~                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
48'卡瓦尼~~~                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
48'禁区内左脚一扣                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
48'转身动作慢了~                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
49'大巴黎的传中被施特根拿到                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
50'梅西横敲伊涅斯塔~                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
50'小白的外脚背传球想找梅西~失误了                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
50'马图伊迪~接应队友的直传                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
50'被小马哥卡住了位置，回传给门将                   47'此后不到2分钟，阿尔维斯右路传中，梅西争顶吸引防守，内马尔后点距门10米处胸部停球推进右下角，2比3，这是内马尔欧冠客场首球，此前4个欧冠进球都在主场，他代表巴萨近6场比赛打进7球
60'巴萨后场玩火                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
60'被断球之后卡瓦尼的射门被门将抱住了                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
60'帕斯托雷~~漂亮的反击射门                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
60'可惜左脚射门打得太正                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
61'伊涅斯塔突入禁区~                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
61'在夹缝中打门被后卫挡了一下                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
61'门将将球拿到了                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
62'梅西连过三人~漂亮                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
62'巴萨换人了                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
62'换下了状态一般的佩德罗                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
62'换上了小将穆尼尔                   60'第60分钟，帕斯托雷个人奔袭连续变线，禁区左侧距门13米处左脚低射被特尔施特根得到
74'巴萨的远距离定位球                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
74'哈维的定位球传中被卡瓦尼头球破坏~                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
75'正好落到伊涅斯塔的脚下，左脚抽射~打高了                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
75'哈维在场上之后巴萨的中场控制力得到了明显的改善                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
76'拉基蒂奇还是防守更强，进攻和组织能力欠缺                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
76'帕斯托雷扣过了马斯切拉诺~                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
76'狂奔40米之后体力有些不足了                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
77'被回追的小马哥捅给了施特根                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
77'巴萨制造了一个角球                   74'第74分钟，巴萨任意球被顶出，伊涅斯塔禁区边缘左脚补射高出
83'绝好的机会~~~                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
83'居然被马尔基尼奥斯破坏出去                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
83'来自穆尼尔的传中，后点的阿尔巴无人防守之下的抢点推射                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
84'马尔基尼奥斯赌枪眼成功                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
84'巴萨换上了前锋桑德罗                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
84'撤下了马斯切拉诺                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
85'好吧，换下的是阿尔维斯                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
85'巴萨又获得了一个角球                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
85'哈维的传中被对方球员抢到                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
85'大巴黎的球员体能已经明显有些不支了                   82'第82分钟，穆尼尔禁区右侧左脚传中，阿尔巴后点距门7米处左脚半凌空推射被马基尼奥斯铲出底线
85'好吧，换下的是阿尔维斯                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
85'巴萨又获得了一个角球                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
85'哈维的传中被对方球员抢到                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
85'大巴黎的球员体能已经明显有些不支了                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
86'穆尼尔~~~~                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
86'远射的机会，打在了立柱上                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
86'穆尼尔的射门显得非常自信                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
86'也难怪年纪轻轻就入选了西班牙国家队                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
86'巴黎用尚托姆换下了帕斯托雷                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
87'大巴黎的反击~                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
87'卡瓦尼，被马斯切拉诺从身后将球抢走                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
88'巴萨压得过于靠前~~~                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
88'不过大巴黎的反击传中，队友还没有包抄上来                   85'第85分钟，布斯克茨传球，穆尼尔左侧距门24米处左脚抽射蹭远门柱外侧弹出
89'小卢卡斯貌似是抽筋了吧                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
89'卡瓦尼~跑不动了                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
89'禁区线上摆脱了马蒂厄，左脚射门打得太正                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
90'小卢卡斯双腿都出现了抽筋                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
91'桑德罗好机会~                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
91'可惜左脚的抽射打偏了~                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
91'比赛已经进入伤停补时                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
91'巴黎刚才也是用巴赫贝克换下了抽筋的小卢卡斯                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
91'巴黎获得了一个角球                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
92'战术角球，控球来消耗时间                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
92'下半场补时4分钟，还有不到2分钟时间了                   89'第89分钟，马图伊迪传球，卡瓦尼禁区边缘扣过后卫左脚推射被特尔施特根得到
