13'夸德拉多前场右路拿球，45度斜传球到后点                   13'开场13分钟，尤文首次射门就取得领先
66'曼祖基奇下场，贝尔纳代斯基上场                   65'国米第65分钟反超比分
67'国米打得真是太顽强了，不得不对其他们竖起大拇指                   65'国米第65分钟反超比分
68'如果这场比赛国米能够赢球，就是以少胜多的经典战役啊                   65'国米第65分钟反超比分
68'刚才打进乌龙球的是巴尔扎利！                   65'国米第65分钟反超比分
87'夸德拉多小禁区接到队友的直传，小角度打门，打在了后卫的身上弹进了球门！                   87'尤文第87分钟追平
87'比赛进行到了87分钟                   87'尤文第87分钟追平
88'坎赛罗铲倒了对手，吃到黄牌，尤文获得禁区正面任意球机会                   87'尤文第87分钟追平
88'又进了！！！！伊瓜因                   87'尤文第87分钟追平
88'短短的2分钟时间，尤文图斯连续打进了两个进球                   87'尤文第87分钟追平
89'任意球直接传到了禁区内，伊瓜因的跑位越过了桑顿，头球顺势把球顶进去了！                   87'尤文第87分钟追平
89'场上风云突变，真是精彩                   87'尤文第87分钟追平
89'比赛进行到了90分钟                   87'尤文第87分钟追平
90'全场比赛将补时5分钟                   87'尤文第87分钟追平
90'打进一球后，阿莱格里已经控制不住情绪了                   87'尤文第87分钟追平
47'打在了人墙上，折射弹出了底线！！                   47'仅过2分钟，尤文又下一城
47'国米的右侧角球，这次直接开出到禁区                   47'仅过2分钟，尤文又下一城
47'第一点被尤文球员头球解围！！                   47'仅过2分钟，尤文又下一城
48'伊尔卡迪前场左路拿球，强行内切                   47'仅过2分钟，尤文又下一城
48'遭遇关门，人缝中突破                   47'仅过2分钟，尤文又下一城
48'球被夸德拉多拦截，大脚解围                   47'仅过2分钟，尤文又下一城
49'坎德雷瓦外围拿球，直接尝试远射，打飞！                   47'仅过2分钟，尤文又下一城
49'6分钟补时已经过去了4分钟！！                   47'仅过2分钟，尤文又下一城
50'2-0！！！                   47'仅过2分钟，尤文又下一城
50'马图伊迪！！！                   47'仅过2分钟，尤文又下一城
47'国米在少一人的作战的情况下，表现的还是有大将风范                   47'仅过2分钟，尤文又下一城
48'国际杀进禁区，德安布罗西奥边线球手榴弹直接扔到禁区里面，可惜被后卫挡出去                   47'仅过2分钟，尤文又下一城
49'尤文快攻来到了前场，慢慢组织进攻                   47'仅过2分钟，尤文又下一城
49'夸德拉多控球，试图突破，被拦截了                   47'仅过2分钟，尤文又下一城
50'国米两传三递就到了前场，就打夸德拉多这一点                   47'仅过2分钟，尤文又下一城
50'国米现在实行高压政策，看起来像是多一人作战                   47'仅过2分钟，尤文又下一城
