1'上半场比赛开始！                   1'曼城第1分钟试图控制比赛，但并未在金沙球场取得进攻优势
30'进了进了进了进了！！！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
30'曼城1-0领先！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
30'我们继续来看比赛！                   27'曼城第27分钟险些破门，萨内切入禁区左侧传球，斯特林12码处射门被库克封堵后偏转，皮球打在博鲁奇腿上后击中右侧立柱弹回，德布劳内禁区右侧补射被丹尼尔斯挡出底线
30'右脚直接推射！进了！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
30'进了进了进了进了！！！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
30'进了进了进了进了！！！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
30'曼城1-0领先！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
30'我们继续来看比赛！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
31'伊比低平斜传给金！起脚怒射！进了！！！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
31'哎呀！越位了！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
32'这球慢动作来看是误判呀！这裁判。。。。                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
33'噢噢噢！刚才是裁判给了拉人犯规！懂了！！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
33'比赛继续！左路丹尼尔斯低平给威尔希尔！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
33'向前塞一脚！热苏斯直接踢出边线！                   30'第30分钟，艾比边路斜传，约书亚-金10码处单刀推射破门，但裁判判罚他对斯通斯拉扯犯规在先，进球无效
69'中路科拉罗夫分给斯特林！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
69'内切到禁区左侧回做给阿奎罗！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
69'通射一脚！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
69'进了进了进了进了！！！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
70'阿奎罗进球啦！！2-0！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
70'希望这球能帮助阿奎罗往回找找状态！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
70'曼城换人调整！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
71'奥塔门迪换下图雷！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
71'继续回到比赛！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
72'后场明斯完成抢断！横敲给库克！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
72'长传右侧！直接被踢出边线！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
72'边线球出来！左路丹尼尔斯！                   69'曼城第69分钟扩大比分，斯特林禁区左侧晃过亚当-史密斯后下底传中，阿圭罗近距离试图铲射，但明斯伸腿抢先解围却自摆乌龙，2-0
84'费尔南迪尼奥直塞前面萨内！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
84'禁区左侧！直接起脚了！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
84'横梁啊！！！！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
84'出了右侧底线！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
84'前场右侧德布劳内拿球！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
85'回传后面奥塔门迪！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
85'低平给科拉罗夫！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
85'横敲给席尔瓦！过顶！往前给！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
85'后卫出来踢出边线！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
86'德布劳内直塞禁区里！库克一脚踢出右侧底线！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
86'右侧角球出来！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
86'战术！回转席尔瓦！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
87'再分回德布劳内！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
87'给中路科拉罗夫！尝试远射！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
87'门将挡一下！席尔瓦跟上补射！再次横梁啊！！！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
87'这球还是越位在先了！                   84'第84分钟，萨内晃过库克后在小禁区左侧边缘的射门憾中横梁
