1'上半场开始了                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
1'绿城率先开球，从左侧向右侧进攻                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
1'作客的亚泰从右侧向左进攻                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'本赛季亚泰功勋杜震宇改穿了20号，寓意代表亚泰的20年历史。他的8号本赛季是空缺                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'绿城左路进攻，蒋哲右路紧逼防守上来                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
2'曹海清强突出了边线                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'蒋哲右路顺势进攻上来，被对方放倒                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'杜震宇主罚前场定位球                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
3'直接送向禁区前沿，大禁区线上的头球，飞出底线                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'开场3分钟，绿城破门了                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'绿城新赛季取得梦幻开局                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
4'冯刚的助攻，陈柏良打入绿城赛季第一球                   1'绿城第1分钟发动闪电战第3分钟便取得进球——　　曹海清左路的进攻，给到前插的冯刚，冯刚狂奔下底传中，中路陈柏良一记推射打入死角，1-0
7'定位球位置不错，稍稍远一些，但脚头硬的话也可以射                   7'第7分钟，绿城获得位置不错的任意球机会，加比奥内塔直接轰门一脚低射偏出底线
40'马季奇中场左侧和陈中流拼抢，被对方拉倒                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
40'杜震宇定位球给到禁区右侧，半高球，直接找跟上的蒋哲                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
40'蒋哲顺势一记凌空抽射，打高了                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
40'这次配合不错，可惜最后射门难度还是比较高，没有控制好                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
41'加比奥内塔右路接应，倚住伊斯梅洛夫，但手球犯规了                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
42'上半场接近尾声，双方场面看着还是波澜不惊啊                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
42'亚泰右路的进攻，挑传禁区内，给的不错                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
42'杜震宇包抄稍慢，张磊出击倒地收球                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
42'亚泰这一阵进攻有所改善，但还不够，前面挖的坑有点大                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
43'殷亚吉回给马季奇，找左路伊斯梅洛夫                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
43'伊斯梅洛夫长传直接送到对方禁区左侧                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
43'莫雷罗得球，做给杜震宇，杜震宇突然起脚，想轰远端，可惜偏了                   40'第40分钟，亚泰打出成功任意球战术，杜震宇主罚定位球到后点，蒋哲插上直接垫射打高
56'亚泰右侧给到杜震宇                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
56'杜震宇见没有好机会，在回敲给身后                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
56'马季奇右路分给积施利，积施利出球瞬间被撞翻                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
57'进攻有利，裁判没有吹，继续比赛                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
57'杜震宇得球，直塞右肋在给积施利，被对手卡住                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
57'杜震宇反抢，铲球犯规                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
57'亚泰换人了，格里乌斯替下了范晓冬                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
58'格里乌斯是一个中场的进攻组织者，亚泰希望他能够充当发动机的作用                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
58'亚泰左路的进攻，还是活跃的杜震宇，可惜传中力量过猛，送出底线                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
58'亚泰下半场占据了主动，绿城也是求稳，先力保防守                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
59'伊斯梅洛夫压过半场，分球给到格里乌斯                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
59'向左侧带，在给张笑非，直塞杜震宇                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
59'杜震宇传球被赵宇豪挡出                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
59'绿城快速的反击                   56'第56分钟落后的亚泰队做出调整，新外援格里乌斯上场换下范晓东
65'加比奥内塔又是速度大爆发，宋振瑜及时出来解围掉                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
65'卡希尔拼抢，前场对殷亚吉犯规                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
65'加比奥内塔被阿甘换下，为什么换加比奥内塔，有些看不懂啊，他是绿城最活跃的人                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
66'亚泰右路进攻，积施利起球吊向禁区                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
66'左侧摆渡到中间，莫雷罗在点给后面的格里乌斯                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
66'格里乌斯跟进一脚抽射，被张磊没收，踢的太正                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
67'亚泰继续围攻，中路马季奇被吴范锡在身后踢翻                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
67'前场不错的定位球，正面大概不到30米                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
67'sorry，应该是30米开外，小播眼花哈                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
68'蒋哲任意球直接一记爆射，踢高了                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
68'看来吴范锡经过治疗后没什么大碍了                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
68'亚泰这个时候应该乘胜追击，继续换人攻击手啊，主帅是不是有些保守了                   65'第65分钟，亚泰右路进攻，积施利起球吊向禁区，左侧摆渡到中间，莫雷罗再点给后面的格里乌斯，后者跟进一脚抽射被张磊没收
70'莫雷罗做球给格里乌斯，长传转移给右路                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
70'殷亚吉交给马季奇，格里乌斯得球，在转移左侧                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
70'亚泰扳回一城                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
70'进球的是莫雷罗                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
71'格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
71'替补上来的格里乌斯已经显示了威力                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
72'绿城右路把球交给阿甘，转身摆脱，在给中路                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
72'顺势的一记直塞，罗竞慢了半步啊                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
72'绿城反击再来，左侧又是阿甘，快速跟进                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
73'阿甘面对殷亚吉，杀入禁区内，一拨一扣，闪开空当，小角度射门被宋振瑜挡出底线                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
73'绿城角球开出，前点没有什么威胁                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
73'亚泰反击送球到中场右路，曹海清战术犯规，阻止了对方                   70'持续进攻的长春亚泰在第70分钟扳回一城——格里乌斯的妙传导演了这个球，他大范围给到左侧的张笑非，张笑非舒服的一记传中，莫雷罗力压对方中卫头球砸入左下角，2-1
87'亚泰角球制造了威胁                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
87'亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，一脚轰门，击中立柱弹回到张磊怀中                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
88'小将何超险些是一球成名啊，就差1厘米，这球还是弹在了立柱的内侧                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
88'杨贺右路拿球被对手绊倒                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
88'亚泰全线压上进攻                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
88'长传起球，到禁区内                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
89'奥泽戈维奇禁区内头球摆渡点下来，杨贺禁区中路跟进抽射                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
89'球打的还是太正，被张磊没收                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
89'绿城这会儿防守压力很大                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
89'后场又是防守犯规送给亚泰定位球机会                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
90'绿城在换人，董宇替下了罗竞                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
90'双方都用满了名额                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
90'格里乌斯长传送到禁区内                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
90'一片混乱，还是绿城解围                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
90'积施利在扫向禁区，被挡出边线                   87'第87分钟亚泰左路角球开到后点，伊斯梅洛夫摆渡到中间，莫雷罗得球无法转身，回做给何超，后者一脚轰门击中立柱弹回到张磊怀中
