7'吉格斯！！！好险                   7'第7分钟，香川真司传球，吉格斯禁区弧顶的左脚劲射偏出
12'约翰逊左边路的突破，自己倒地了                   9'第9分钟，谢尔维战术角球低传前点，杰拉德12码处劲射打在边网
21'杰拉德再次传中，阿哥在埃文斯的贴身逼抢下倒地了                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
21'裁判没有理会                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
21'而利物浦的球员都认为这是个点球                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
21'慢动作来看埃文斯手上是有动作，不过看起来动作并不大                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
22'费迪南德突然受伤，队医进场了                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
23'里奥自己站了起来，比赛继续                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
23'雷纳解围球踢疵了，这是想学巴尔德斯么                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
24'还好球的方向是朝着本方球员而去的                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
24'杰拉德45度传中被卡里克挡出边线                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
24'利物浦今天死打右路                   21'第21分钟，杰拉德左路传中，阿格尔10码处抢点时在埃文斯防守下摔倒，利物浦的点球申请被裁判海尔西拒绝
26'距离稍远，纳尼是要直接打门么？                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
26'果然，纳尼的定位球直接攻门稍稍高出                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
27'苏亚雷斯在斯特林的跑位掩护下，禁区弧顶尝试了一脚吊射，可惜打偏了                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
28'苏亚雷斯又一次杀到禁区，连续的扣球摆脱                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
28'太多了，还想往底线带                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
28'最终还是被曼联的后卫解围出去                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
29'博里尼积极回防，球断下之后转移到右边路                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
29'斯特林险些把球停出界外                   26'第26分钟，马丁-凯利对香川真司犯规，纳尼左路35码处任意球劲射稍稍高出
32'今天曼联在中场有些失控                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
32'这也让范佩西显得有些孤立无援                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
32'至少有一段时间没碰到球了                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
32'埃弗拉铲球犯规！                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
32'背后的放铲，是在禁区里面么？                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
32'裁判给了任意球                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
33'埃弗拉这一次铲球太冒失了，差点就送点球                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
33'杰拉德传中球还是找前点，苏亚雷斯头球攻门，偏得太多了                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
34'曼联在中场的控球经常都是几脚传递就要丢                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
34'苏亚雷斯没能摆脱费迪南德的防守，不过还是逼得了一个角球                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
34'角球次数方面，利物浦4次、曼联0次                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
35'杰拉德这一次开向后点，球出了底线                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
35'纳尼传球又丢了                   32'第32分钟，埃弗拉禁区边缘外铲倒斯特灵，杰拉德右路任意球传中，苏亚雷斯前点头球攻门偏出
39'连人带球一块铲！！！                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
39'红牌！！！                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
39'埃文斯还被谢尔维的凶悍铲球踢伤了                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
40'年轻球员还是太冲动呀                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
40'这下利物浦有些难办了                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
41'里奥和苏亚雷斯抢高球，苏亚雷斯直接倒地了                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
41'利物浦获得了一个前场定位球                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
41'埃文斯看起来没问题，重新回到了场上                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
42'苏亚雷斯定位球直接打门，角度不错！林德加德飞身把球扑出                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
42'范佩西终于摸到球了                   39'利物浦第39分钟遭遇打击，谢尔维抢断吉格斯后铲倒埃文斯，因动作稍大被海尔西直接掏出红牌罚下
42'苏亚雷斯定位球直接打门，角度不错！林德加德飞身把球扑出                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
42'范佩西终于摸到球了                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
43'在左边路范佩西传球失误                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
43'范佩西狂追30多米，倒地把球铲断下来                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
43'曼联总算攻到了对方禁区前                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
43'卡里克的远射被后卫挡出                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
44'里奥和苏亚雷斯这是较上劲了                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
44'苏亚雷斯在身后一推，里奥马上也倒地                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
44'曼联右边路传中，给得太高了                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
45'刚才离场的时候谢尔维还和弗格森起了一些口角                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
45'谢尔维手指弗格森口中念念有词                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
45'博里尼底线传中！可惜门前没人哪                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
45'利物浦再次获得角球                   42'第42分钟，费迪南德禁区前对苏亚雷斯犯规，苏亚雷斯30码处任意球直接射门被林德加德飞身扑出
50'埃弗拉传中照范佩西，给得高了一些                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
50'香川再次接球，禁区外的远射被斯科特尔堵了枪眼                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
50'范佩西连续的左路传中，还是没能制造出射门机会                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
51'范佩西打边路，中间抢点的是？香川还是吉格斯？                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
51'拉斐尔！！！                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
51'左脚搓出美妙的弧线！！！                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
52'香川禁区内胸部停给拉斐尔，巴西人的小技术展现的淋漓尽致，左脚的搓射击中远端立柱弹入网窝                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
52'毕竟还是少一人，曼联这么连续的进攻下去让利物浦也难以招架                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
53'曼联右路进攻逼得角球                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
53'这居然是曼联今天第一次角球                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
53'范佩西角球传前点，瓦伦西亚头球后蹭顶高了                   50'第50分钟，范佩西传球，香川真司禁区弧边缘的射门被封堵
58'苏亚雷斯表演欲望实在是太强烈了                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
58'场上又有球员倒地，斯科尔斯被吹犯规                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
58'生姜头还因此领到黄牌                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
59'下半场一开始就换上来，斯科尔斯明显不够适应比赛节奏                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
59'埃弗拉低平球传门前，可惜范佩西跑过头了                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
59'曼联再次把球控制住                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
60'卡里克的远射又一次偏柱而出                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
61'凯利再次助攻上前，利物浦其实并没有放松进攻                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
61'只是在中场的人数不占优势，一旦丢球就麻烦了                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
61'斯科尔斯断球反击，范佩西有些等球了                   58'第58分钟，斯科尔斯对斯特灵犯规被罚黄牌
63'曼联又一次制造角球                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
63'现在轮到曼联频频传中制造威胁了                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
63'上半吉格斯传后点，约翰逊头球顶出                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
63'虽然被解围出去，不过禁区外都是曼联的球员                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
64'卡里克底线传中，范佩西力压斯克特尔头球攻门，顶高了                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
65'曼联用控球掌握着场上主动                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
65'吉格斯可惜这一次越位了，否则就是个不错的单刀                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
65'曼联的防守也有问题哪                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
66'苏亚雷斯一个人吸引了曼联太多的防守力量，回敲给苏索！                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
66'禁区线上的打门被林德加德托出底线                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
66'角球传中，杰拉德直接传出了底线                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
66'利物浦再次换人，换下斯特林换上亨德森                   63'第63分钟，卡里克左路传中，范佩西10码处头球攻门高出
66'苏亚雷斯一个人吸引了曼联太多的防守力量，回敲给苏索！                   66'第66分钟，斯特灵被亨德森换下
66'禁区线上的打门被林德加德托出底线                   66'第66分钟，斯特灵被亨德森换下
66'角球传中，杰拉德直接传出了底线                   66'第66分钟，斯特灵被亨德森换下
66'利物浦再次换人，换下斯特林换上亨德森                   66'第66分钟，斯特灵被亨德森换下
67'苏亚雷斯积极回防，把埃弗拉的脚下球踢出界外                   66'第66分钟，斯特灵被亨德森换下
67'这两人的恩怨可就源远流长了                   66'第66分钟，斯特灵被亨德森换下
69'亨德森上场之后利物浦在中场的控制明显得到了加强                   66'第66分钟，斯特灵被亨德森换下
69'亨德森又一次中场抢断                   66'第66分钟，斯特灵被亨德森换下
69'这两分钟打得有些闷了                   66'第66分钟，斯特灵被亨德森换下
69'苏亚雷斯小角度打门！！！                   66'第66分钟，斯特灵被亨德森换下
69'差了一点                   66'第66分钟，斯特灵被亨德森换下
81'差点被扑出去！！！                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
81'范佩西！！！                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
81'点球罚向球门右侧，雷纳只差一点，球被扑到了，只是球速太快！并没有改变多少角度，球还是进了                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
82'曼联换上了小豌豆，换下了香川                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
82'利物浦少一人，比分落后，后卫受伤...                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
82'今天利物浦是造了什么孽呀                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
83'Stanford_::问一下球心约翰逊有牌吗？？---没有派，反倒是雷纳不满领到黄牌                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
83'凯利，头球的攻门！！！                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
83'也是只差一点，球弹地之后擦柱而出                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
84'利物浦要抓紧最后的时间                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
84'获得了一个角球                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
84'之前范佩西的倒地铲球也是亮鞋底了                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
84'裁判给了一张黄牌                   81'曼联第81分钟反超比分，瓦伦西亚突入禁区右侧在格伦-约翰逊防守下摔倒，海尔西立即判罚点球引起利物浦球员不满，雷纳抗议被罚黄牌，阿格尔受伤被担架抬出，卡拉格替补出场，范佩西点球劲射命中打入本赛季第5粒联赛入球
83'Stanford_::问一下球心约翰逊有牌吗？？---没有派，反倒是雷纳不满领到黄牌                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
83'凯利，头球的攻门！！！                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
83'也是只差一点，球弹地之后擦柱而出                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
84'利物浦要抓紧最后的时间                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
84'获得了一个角球                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
84'之前范佩西的倒地铲球也是亮鞋底了                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
84'裁判给了一张黄牌                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
85'拉斐尔崴伤了                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
85'之前他在争抢中自己崴了一下，队医进场了                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
85'苏索角球传前点，范佩西把球踢出界外                   83'第83分钟，格伦-约翰逊左路传中，凯利小禁区前头球攻门蹭偏
89'埃弗拉为曼联制造了一个边路定位球                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
89'维尔贝克换下了拉斐尔                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
89'看来拉斐尔的伤势不轻                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
89'这场比赛两队都有人因伤离场                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
90'只是阿格看起来问题更为严重，是被担架抬出去的                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
90'范佩西逼得了角球                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
91'下半场补时5分钟                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
91'曼联在底线附近拖延时间                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
91'范佩西起高球传中，雷纳把球没收                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
91'前面接应的人太少，利物浦传了几脚球就丢了                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
92'埃文斯争抢中倒地受伤，亨德森貌似有犯规动作                   89'第89分钟，维尔贝克替换受伤的拉斐尔出场，瓦伦西亚回撤防线
95'凯利站起来走出场地                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
95'或许是最后一次进攻了，小豌豆的打门被雷纳没收                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
95'最后时刻利物浦少了两个人                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
96'凯利下去之后还没有回来                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
96'裁判应该还要补一点时间                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
96'Evolution357:利物浦的卢卡斯呢 受伤？---嗯，要缺席很久                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
97'补时还在继续                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
97'利物浦最后的机会                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
97'挑高球，被埃文斯头球解围                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
97'卡拉格把球断下，比赛还有时间么？                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
97'杰拉德的传中没有队友的接应                   95'第95分钟，埃尔南德斯禁区弧顶低射被雷纳没收
