3'勒沃库森球员贝拉拉比拼抢犯规,对手获得控球权.                   3'开场3分钟，托罗西迪斯用手阻挡恰尔汉奥卢传球，点球
29'进球啦！！！罗马球员德罗西大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是马诺拉斯. 勒沃库森 2-1 罗马.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
30'勒沃库森球员埃尔南德斯拼抢犯规,对手获得控球权.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
30'皮亚尼奇为罗马在对方半场,赢得一个任意球.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
31'埃尔南德斯为勒沃库森在对方半场,赢得一个任意球.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
31'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
32'勒沃库森球员埃尔南德斯球门线跟前尝试头球,可惜皮球高出球门.                   29'第29分钟，罗马左侧开出角球，莱诺击球不远，马诺拉斯头球摆渡，德罗西右侧距门6米处推射得手，1比2
54'进球啦！！！罗马球员皮亚尼奇右脚射门,球从右上角飞进球门,球进了! 勒沃库森 2-3 罗马.                   54'下半时开始9分钟，皮亚尼奇禁区弧顶主罚任意球绕过人墙挂右上角，罗马3比2反超
57'勒沃库森换人,穆罕穆迪换下贝拉拉比                   54'下半时开始9分钟，皮亚尼奇禁区弧顶主罚任意球绕过人墙挂右上角，罗马3比2反超
73'进球啦！！！罗马球员法尔克大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是热尔维尼奥. 勒沃库森 2-4 罗马.                   73'第73分钟，热尔维尼奥左路切入禁区吸引两人防守横推，亚戈-法尔克在门前9米处左脚推射入球门顶端，4比2
76'射门!!!勒沃库森球员布兰特大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是坎普尔.                   73'第73分钟，热尔维尼奥左路切入禁区吸引两人防守横推，亚戈-法尔克在门前9米处左脚推射入球门顶端，4比2
76'斯泽斯尼将球处理出底线,勒沃库森获得角球.                   73'第73分钟，热尔维尼奥左路切入禁区吸引两人防守横推，亚戈-法尔克在门前9米处左脚推射入球门顶端，4比2
76'射门!!!勒沃库森球员K-帕帕多普洛斯大禁区中央头球,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   73'第73分钟，热尔维尼奥左路切入禁区吸引两人防守横推，亚戈-法尔克在门前9米处左脚推射入球门顶端，4比2
84'进球啦！！！勒沃库森球员坎普尔大禁区外左脚射门,球从左上角飞进球门,球进了! 勒沃库森 3-4 罗马.                   84'第84分钟，坎普尔右侧禁区边缘左脚斜射越过斯琴斯尼指尖，击中横梁下沿弹进，3比4
85'罗马换人,哲科换下热尔维尼奥                   84'第84分钟，坎普尔右侧禁区边缘左脚斜射越过斯琴斯尼指尖，击中横梁下沿弹进，3比4
86'进球啦！！！勒沃库森球员穆罕穆迪小禁区右侧右脚射门,球从右上角飞进球门,球进了!助攻的是文德尔. 勒沃库森 4-4 罗马.                   84'第84分钟，坎普尔右侧禁区边缘左脚斜射越过斯琴斯尼指尖，击中横梁下沿弹进，3比4
87'罗马球员哲科拼抢犯规,对手获得控球权.                   84'第84分钟，坎普尔右侧禁区边缘左脚斜射越过斯琴斯尼指尖，击中横梁下沿弹进，3比4
87'K-帕帕多普洛斯为勒沃库森赢得一个任意球.                   84'第84分钟，坎普尔右侧禁区边缘左脚斜射越过斯琴斯尼指尖，击中横梁下沿弹进，3比4
86'进球啦！！！勒沃库森球员穆罕穆迪小禁区右侧右脚射门,球从右上角飞进球门,球进了!助攻的是文德尔. 勒沃库森 4-4 罗马.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
87'罗马球员哲科拼抢犯规,对手获得控球权.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
87'K-帕帕多普洛斯为勒沃库森赢得一个任意球.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
88'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
88'穆罕穆迪为勒沃库森赢得一个任意球.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
89'皮亚尼奇为罗马赢得一个任意球.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
89'勒沃库森球员恰尔汉奥卢拼抢犯规,对手获得控球权.                   86'第86分钟，文德尔禁区左侧低传，穆罕默迪后点距门6米处左脚推射挂近角，4比4
