7'曼城反击，萨巴莱塔速度慢了点，没有追上，不过，曼城获得右侧角球机会                   7'开场7分钟，米尔纳开出角球，哲科头球高出
54'诺维奇队通过长传实现了进球                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
54'斯诺德格拉斯右路接到队友的长传，在小禁区外侧传中打后点，霍尔特轻松推射破门！                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
55'不得不为诺维奇鼓掌！打得积极助攻                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
55'曼城这场绝对是为荣誉而战了，最后一个主场，难道要输给一支弱旅？                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
56'看看曼城会不会很快实现逆转，就像上半场做的那样                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
56'阿奎罗的冲击力还是不如特维斯                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
57'曼城进攻杀到禁区，没有制造出机会                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
57'曼城的前锋，除了哲科，其他人在高空球上没有优势                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
57'诺维奇的球迷非常开心啊                   54'第54分钟，豪森转移到禁区右侧，无人盯防的斯诺德格拉斯做给左侧的霍尔特，霍尔特左脚打入近角，这是他本赛季第8球，2比1
61'两次在对方进球后，很快就实现了追平！                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
61'诺维奇队左路长传找右侧下底的队友，传大了                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
62'罗德维尔这么出色的球员，怎么会得不到上场的机会呢？真是怎么想都不明白                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
63'曼城右路进攻，米尔纳传中有些着急                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
63'曼城现在形成了围攻之势                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
63'亚亚图雷拿球护球都很棒，但传球差了点，传给了对手                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
64'进球了！！                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
64'豪森！！！                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
64'一个马拉多纳式的进球！！！                   61'第61分钟，哲科传球，米尔纳禁区右侧左脚射门被挡，哲科补射高出
66'看看曼城这次能不能给出回应                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
66'米尔纳禁区内右侧中直接起脚射门，打高了                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
67'刚才豪森的进球，最后理查兹的防守出现了问题                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
68'诺维奇的后防线出现了严重的时候，可惜曼城没有把握住机会                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
68'诺维奇队越打越兴奋                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
68'诺维奇队右路传中，球被莱斯科特碰出                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
69'诺维奇获得禁区右侧任意球机会                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
69'任意球开出，落点有点太靠近门将了                   66'第66分钟，米尔纳禁区右侧左脚射门偏出远门柱
88'时间已经来到了89分钟                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
88'曼城队的最后一个主场，将以失败告终吗？                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
88'诺维奇换人调整了                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
88'霍尔特被换下                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
89'曼城还在拼尽全力的进攻                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
89'全场补时将有三分钟                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
89'看看最后三分钟，还有没有奇迹出现                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
89'诺维奇右路反击                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
90'好机会啊！                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
90'特泰带球明显带大了，但莱斯科特却没有碰到球，后者打球偏出了立柱                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
91'曼城队的后防线真的好差啊，这场比赛表现得不合格                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
91'补时也快结束了，还有最后半分钟                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
91'曼城队今天的换人也是一大败笔                   88'第88分钟，哲科头球摆放，亚亚图雷头球被马丁挡出底线
