4'帕尔塔鲁中场放倒了唐佳庶                   4'第4分钟，汪嵩45度传中到禁区内，上赛季挪超金靴阿甘头球攻门偏出
26'第一点还是绿城抢到                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
26'外围聊博超继续传到门前，进攻球员还是抢不到落点                   23'第23分钟，天津泰达获得威胁球门机会，杭州绿城解围失误，王新欣禁区内拿球直接往球门送，姜波轻松将球没收
30'现在的场面陷入僵局                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
30'精彩场面实在不多                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
30'李玮锋助攻到前场造成高迪的防守犯规                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
30'泰达队前场右路任意球                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
31'王新欣传到门前，汪嵩头球解围出来                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
31'绿城反击来到右路，不过王林出球太犹豫了自己把球碰出了边线                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
32'李本舰左路带球受到对方三人的夹抢，球丢了                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
33'马佐拉中路拿球也稍显犹豫                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
33'泰达断球反击，瓦伦西亚右路拿球找到禁区里远端的王新欣                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
33'王新欣停球后晃动被后卫解围出底线                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
33'角球还是没有威胁                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
33'第二点的争抢帕尔塔鲁犯规                   30'第30分钟，李玮峰带球被高迪放倒，天津泰达获得位置不错的任意球机会
36'绿城任意球一拨一射，汪嵩直接轰在人墙上                   36'第36分钟，杭州绿城获得任意球机会，汪嵩直接打门被人墙挡出
37'绿城阿甘来到左路再次面对利马，球被利马捅出边线                   36'第36分钟，杭州绿城获得任意球机会，汪嵩直接打门被人墙挡出
38'任意球配合，马佐拉把球低平球传到门前，阿甘射门时立足脚没站稳啊，踢呲了                   36'第36分钟，杭州绿城获得任意球机会，汪嵩直接打门被人墙挡出
46'上半场有1分钟的补时                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
46'汪嵩左路传中落点很好，聊博超出现在关键位置抢在马佐拉之前把球顶出底线                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
46'绿城的战术角球没有威胁                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
46'下半场双方易边再战，绿城开球                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
46'石柯在尤万希奇的逼抢下把球踢出边线                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
46'帕尔塔鲁大力掷入禁区，还是被解围出来                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
47'绿城左路阿甘后脚跟传球被白岳峰断下                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
47'帕尔塔鲁中场传球找到禁区肋部的尤万希奇                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
48'面对两名球员的包夹，没法把球控制住                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
48'尤万希奇背身传球又出现了失误                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
48'马佐拉中场拿球摆脱王冠伊后又过掉了聊博超                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
49'聊博超战术犯规吃到黄牌                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
49'马佐拉在中路速度起来后还是很有威胁的                   46'1分钟之后，天津泰达错失进球良机，杭州绿城后卫石咳头球回做失误，瓦伦西亚拿球过掉门将小角度攻门被回防到位的石柯解围，泰达队角球发到禁区，后点的尤万西奇头球高出横梁
48'面对两名球员的包夹，没法把球控制住                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
48'尤万希奇背身传球又出现了失误                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
48'马佐拉中场拿球摆脱王冠伊后又过掉了聊博超                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
49'聊博超战术犯规吃到黄牌                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
49'马佐拉在中路速度起来后还是很有威胁的                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
50'马佐拉和阿甘右路的二过一                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
50'阿甘拿球突入禁区，1对1面对帕尔塔鲁还是没有过去                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
50'感觉马佐拉和阿甘两个人总是他们两个人自己打                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
50'传球也是互相传                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
51'汪嵩带球突破被李本舰撞了一下                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
51'绿城前场右路任意球                   48'第48分钟，马佐拉带球反击连过两人，聊博超将其放倒吃到黄牌
59'泰达还是得靠后卫进球啊                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
59'上轮是曹阳，今天是大头                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
59'瓦伦西亚！！！！！！再进一球！！！！！                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
59'外援也开斋了！！！！！                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
60'瓦伦西亚前场断球后自己带球向前晃过金东进后左脚推射远门柱死角！！！                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
61'泰达队后场长传找到尤万希奇，头球顶了一下后摆脱最后一名防守队员，尤万希奇再追时被出击的门将解围                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
61'泰达队一个闪电战连进两球一下掀起了比赛的高潮啊                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
62'犹如一潭死水惊起一丝涟漪啊                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
62'尤万希奇禁区里背身拿球后转身打门被姜波倒地扑住                   59'第59分钟，天津泰达扩大比分，瓦伦西亚前场断球后一路带球，利用速度晃过防守队员后推射远角破门，2-0
62'犹如一潭死水惊起一丝涟漪啊                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
62'尤万希奇禁区里背身拿球后转身打门被姜波倒地扑住                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
63'绿城换人 大黑将志换下石柯                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
63'日本前锋换下后卫                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
64'刚刚瓦伦西亚的进球还是显示出了一定的个人能力，从断球到带球到过人到最后的冷静打门                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
64'一气呵成                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
65'看看绿城再被泰达打了两记闷棍后如何展开反击                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
65'尤万希奇护球时，王林拉人犯规                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
65'泰达换人 德尼尔森换下了尤万希奇                   62'第62分钟，天津泰达再次打出默契配合，禁区前沿连续一脚传球，尤万西奇弧顶处转身抽射，球被姜波没收
69'绿城拿到禁区前靠左的任意球                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
69'位置不错，不过更适合右脚                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
69'还是汪嵩的处理，传到门前被后卫顶出来                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
70'外围王宏有一脚远射高出球门                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
70'泰达队的边线球                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
70'绿城冲吊前场，马佐拉逼得一个角球                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
71'阿甘处理这个角球                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
71'杨启鹏单拳把球打出                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
71'泰达队反击直接长传找前场的瓦伦西亚                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
71'落点不好很难拿到                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
71'不过瓦伦西亚前场反抢抢的相当积极啊                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
72'李玮锋在右路助攻上来后的突破自己手球了                   69'第69分钟，王宏有带球突破被李玮峰放倒，杭州绿城获得任意球机会，汪嵩射门被挡出，外围再次组织进攻，王宏有弹射偏出
46'上半场有1分钟的补时                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
46'汪嵩左路传中落点很好，聊博超出现在关键位置抢在马佐拉之前把球顶出底线                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
46'绿城的战术角球没有威胁                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
46'下半场双方易边再战，绿城开球                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
46'石柯在尤万希奇的逼抢下把球踢出边线                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
46'帕尔塔鲁大力掷入禁区，还是被解围出来                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
47'绿城左路阿甘后脚跟传球被白岳峰断下                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
47'帕尔塔鲁中场传球找到禁区肋部的尤万希奇                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
48'面对两名球员的包夹，没法把球控制住                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
48'尤万希奇背身传球又出现了失误                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
48'马佐拉中场拿球摆脱王冠伊后又过掉了聊博超                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
49'聊博超战术犯规吃到黄牌                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
49'马佐拉在中路速度起来后还是很有威胁的                   46'1分钟之后，天津泰达头球险些得手，瓦伦西亚的头球被阻挡后稍稍偏出立柱
83'汪嵩的直接打门打穿了人墙不过踢中了自己插上的队友身上                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
83'越位了                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
83'这个任意球的处理有些失误了                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
84'泰达前场断球，瓦伦西亚没有突破成功                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
84'中场帕尔塔鲁和王冠伊出现了默契上的失误                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
84'都以为对方要拿球                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
84'断球后的绿城反击也没打出来啊                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
84'泰达左路边线球                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
85'瓦伦西亚背身拿球被两人夹抢                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
85'球碰出了边线                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
85'马佐拉又是个人的突破，和大黑将志做配合的时候没有成功                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
86'绿城左路套边配合，黄凤涛的传中被帕尔塔鲁头球解围                   83'第83分钟，杭州绿城获得任意球，汪嵩直接射门击中同队球员
90'下半场补时3分钟                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
91'德尼尔森在对方弧顶前拿球倒地，裁判没有表示                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
91'聊博超左路断球后的助攻也没突破成功                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
91'绿城在扳平比分后开始退守                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
92'王冠伊前场逼抢又犯规                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
92'留给两支球队的时间都不多了                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'德尼尔森禁区线上横向带球后在后卫逼抢下倒地                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'裁判还是没有任何判罚                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'最后时刻泰达的角球                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'全场比赛最后的机会                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'有木有绝杀呢？                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
93'李本舰主罚                   90'第90分钟，李玮峰禁区内接到传中头球攻门，球被门将获得
