4'后场鲁能泰山队得球左路进攻                   4'第4分钟，山东鲁能前场得球后，王永珀禁区外的暴力远射球稍稍偏出左侧门柱
20'王永珀左路进攻，刘宇抢球犯规                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
20'麦克格文后场斜传右路，直接出边线                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
21'吕征右路接球，横向突破打门被挡                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
21'王永珀带球突破，被截断                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
21'大连阿尔滨左路传球出界                   18'第18分钟，陈涛在中路高速突破之际被崔鹏放倒，阿尔滨获得了一个位置不错的任意球
26'马塞纳右路突破到禁区内倒在地上！！杨旭抢点打门偏出！                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
26'大连阿尔滨左路横传，麦克格文破坏                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
27'吕征右路突破横传，传得大啦                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
27'王永珀左路横传，杨旭抢点顶门偏出                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
28'鲁能泰山队进球，杨旭，1-0！                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
28'马塞纳左路突破到禁区内，杨旭抢点捅射破门得分！                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
29'马塞纳的这次突破太漂亮了                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
29'大连阿尔滨长传球，对方解围时打在罗申巴克手上                   26'第26分钟，鲁能前场发动进攻，马塞纳突破后在禁区内倒地，及时跟进的杨旭果断起脚射门，球在偏出球门的同时边裁也摇旗示意杨旭越位
27'吕征右路突破横传，传得大啦                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
27'王永珀左路横传，杨旭抢点顶门偏出                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
28'鲁能泰山队进球，杨旭，1-0！                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
28'马塞纳左路突破到禁区内，杨旭抢点捅射破门得分！                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
29'马塞纳的这次突破太漂亮了                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
29'大连阿尔滨长传球，对方解围时打在罗申巴克手上                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
30'赵和靖右路斜传禁区，王彤破坏                   27'山东鲁能在第27分钟打破场上僵局，马塞纳左路带球内切，挤过上前争抢的赵和靖低平球横传门前，杨旭倒地铲射球碰右侧门柱飞入网窝
39'罗申巴克后场得球，崔鹏背后抢球犯规                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
39'大连阿尔滨长传球，杜威争顶，周通把腰弯下！杜威重重地倒摔在地上                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
40'杜威站了起来，看来问题不大！                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
41'裁判让他到场外                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
41'鲁能泰山队长传前场左路，直接出边线                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
42'乌塔卡左路突破禁区横传，于大宝打门没能打正部位                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
42'罗申巴克后场抢到球，吕征抢球犯规                   39'第39分钟，周通在与杜威争顶时杜威高高跃起随后重重摔在了地上，队医在对杜威进行简单处理后杜威重新投入比赛
43'大连阿尔滨长传禁区，吕征已经把球摘下来！于大宝差点把耿晓锋撞进球门                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
43'马塞纳右路接球横向突破远射！张翀一个侧扑没收                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
44'崔鹏后场断球直传，杨旭分边，王永珀突破打门！稍稍有些偏                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
45'霍阿劳右路突破，杜威阻挡犯规                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
45'任意球发到前场，对方把球破坏                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
45'赵和靖右翼下底横传，耿晓锋把球打出底线                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'上半场要补时 1 分钟                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'罗申巴克发角球到禁区内，对方解围                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'周通外围远射，没能压住                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'下半场比赛开始                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'鲁能泰山队开球，右路长传出界                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
46'界外球发出来，罗申巴克回传                   43'第43分钟，马塞纳的右路突破后射门被张准确扑到
60'马塞纳禁区内接球转身打门！力量有了，角度太正，张翀没收                   60'经过15分钟的中场休息后，两队下半场比赛开始
60'大连阿尔滨左路传中，霍阿劳抢点打门偏出                   60'经过15分钟的中场休息后，两队下半场比赛开始
61'耿晓锋大脚开球到前场，吕征控球                   60'经过15分钟的中场休息后，两队下半场比赛开始
61'吕征右路传球被挡出边线                   60'经过15分钟的中场休息后，两队下半场比赛开始
62'杨旭前场直传禁区，王永珀抢点晃动过人后打门，被张翀挡出底线                   60'经过15分钟的中场休息后，两队下半场比赛开始
63'吕征发战术角球，队友回传，吕征横传禁区，安塔尔的头球高了                   60'经过15分钟的中场休息后，两队下半场比赛开始
63'乌塔卡左路突破，两人逼上来                   60'经过15分钟的中场休息后，两队下半场比赛开始
63'乌塔卡挑传禁区，耿晓锋出击把球打出来                   60'经过15分钟的中场休息后，两队下半场比赛开始
63'同时被地方冲撞，耿晓锋受伤倒在地上                   60'经过15分钟的中场休息后，两队下半场比赛开始
52'大连阿尔滨换人：吕鹏上场换下罗申巴克                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
52'吕征在前场接球，对方破坏出边线                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
53'界外球发出来没能形成威胁                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
53'张翀大脚开球到中场，大连阿尔滨左路进攻                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
53'麦克格文得球后被节水放倒！动作比较大                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
54'应该是个吃牌的动作，主裁判手下留情                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
54'凯塔在换衣服，看来要上场                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
54'后场鲁能泰山队得球左路长传，出边线                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
55'大连阿尔滨左路长传，对方破坏                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
55'大连阿尔滨再换人：凯塔换下周通                   52'第52分钟，阿尔滨做出人员调整，刚刚在二次转会中完成注册的吕鹏首次代表大连阿尔滨征战中超赛场
57'吕征右路强突破，被卡住了路线                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
57'下半场大连阿尔滨明显加强了进攻                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
58'霍阿劳在前场得球一脚大打门，打高了                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
58'鲁能泰山队现在加强防守，伺机走右路进攻                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
59'大连阿尔滨右路传球，对方护球出边线                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
59'乌塔卡左路突破横传门前，耿晓锋没收                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
59'王彤右路突破横传，再挑传禁区                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
60'马塞纳禁区内接球转身打门！力量有了，角度太正，张翀没收                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
60'大连阿尔滨左路传中，霍阿劳抢点打门偏出                   57'第57分钟，瓦罗禁区内欲头球摆度给队友，鲁能防守球员头球将球顶在了瓦罗的射门范围，瓦罗随即起脚劲射，球高出横梁
47'上半场比赛结束，鲁能泰山队客场1-0暂时领先于大连阿尔滨！                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
47'后场大连阿尔滨长传球，这一脚真有力量                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
47'直接交到了耿晓锋手里                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
47'吕征右路突破被断                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
47'大连阿尔滨左路反击，王彤犯规                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
48'乌塔卡分边，陈涛右路横传，耿晓锋没收                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
48'鲁能泰山队长传！！吕征的绝对机会，禁区内晃运，自己打滑，再打门偏出！！！                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
49'大连阿尔滨右路斜传门前，耿晓锋出击把球没收                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
49'王永珀左路突破，陈涛抢球犯规                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
49'大连阿尔滨中路直传，乌塔卡越位接球                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
50'其实于大宝没越位啊，要是乌塔卡漏过去的话是个好球啊                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
50'鲁能泰山队右路长传找吕征，大了，直接出底线                   47'2分钟后，山东鲁能前场打出精妙配合，王永珀突入禁区后面对张的射门被后者挡出底线，阿尔滨逃过一劫
70'鲁能泰山队换人：金敬道上场换下吕征                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
70'鲁能泰山队有意加强防守？                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
71'大连阿尔滨传禁区，乌塔卡打空门，杜威在后门柱把球破坏                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
72'王永珀的机会啊！单刀球啊，打门有些急                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
72'于大宝右路强突，对方把球铲出边线                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
72'于大宝受伤倒在地上                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
73'界外球发出来，大连阿尔滨长传前场左路                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
73'霍阿劳横传，乌塔卡没能停好                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
73'乌塔卡左路突破，王彤和王永珀逼上来                   70'山东鲁能在第70分钟也进行了人员调整，金敬道替补吕征登场
76'乌塔卡左路得球，金敬道铲球犯规                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
76'任意球发到禁区，王彤破坏出边线                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
76'球出了底线，角球                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
77'角球发到禁区内，乌塔卡头球顶门，王彤在门线上把球破坏！！！                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
78'大连阿尔滨得到另一侧角球                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
78'球发到禁区内，鲁能泰山队得球反击                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
78'杨旭右路突破，对方犯规，任意球                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
78'王永珀发任意球到禁区内，杜威头球顶门被挡出                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
78'鲁能泰山队右路横传，球到另一侧，跟上队员打门偏出                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
79'王永珀中场得球长传                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
79'赵和靖头球回顶给张翀                   76'第76分钟，阿尔滨开出左侧角球，乌塔卡小禁区内高高跃起头球攻门，王彤在门线上用身体将球挡出
86'大连阿尔滨进球啦，董学升，1-1                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
86'凯塔前场挑传，董学升反越位成功，突破到禁区挑射破门                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
88'麦克格文受伤倒在地上                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
88'是被对方肘击，到场外治疗                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
89'鲁能泰山队换人：李松益上场换下崔鹏                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
89'大连阿尔滨右路长传，杜威回防没能解围                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
89'不过乌塔卡越位在先                   86'阿尔滨在第86分钟扳平比分，凯塔的挑传准确送给了反越位成功的董学升，后者面对出击的耿晓峰挑射破网
48'乌塔卡分边，陈涛右路横传，耿晓锋没收                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
48'鲁能泰山队长传！！吕征的绝对机会，禁区内晃运，自己打滑，再打门偏出！！！                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
49'大连阿尔滨右路斜传门前，耿晓锋出击把球没收                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
49'王永珀左路突破，陈涛抢球犯规                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
49'大连阿尔滨中路直传，乌塔卡越位接球                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
50'其实于大宝没越位啊，要是乌塔卡漏过去的话是个好球啊                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
50'鲁能泰山队右路长传找吕征，大了，直接出底线                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
51'鲁能泰山队后场断球，对方抢球犯规                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
51'于大宝得球交给陈涛，再分到右路进攻                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
51'大连阿尔滨在围攻                   48'经过3分钟的伤停补时，两队全场比赛以1-1的比分结束
