1'随着主裁一声哨响，比赛正式开始                   1'开场仅仅1分钟，贵州人和队第一次进攻便掉入了武汉卓尔队的越位陷阱
8'球被萨利解围                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
8'米西莫维奇在中场左晃右带，被放倒了                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
9'人和组织快速反击，穆斯利接队友传球杀入禁区                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
9'机会不好传给于海，于海打门被防守球员解围                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
9'杨昊再次起脚打在防守队员身上                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
10'这一系列的进攻配合打得卓尔禁区一片恐慌                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
10'卓尔反击，朱挺把球长传到禁区，可惜没机会了                   7'第7分钟，武汉卓尔队门前险象环生，贵州人和队9号穆斯利接队友直塞后突入禁区内，门将吴出击堵住了穆斯利的路线，后者回拉将球横敲中路，21号于海倒地射门被后卫挡出，紧接着杨昊一脚劲射被吴封出
17'贵州队的进攻战术思路还是比较清晰                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
17'张成林大脚传给穆斯利                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
17'于海接球把球吊入禁区                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
17'法蒂头球解围出去                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
18'于海在裁判鸣哨后将球打进                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
18'于海越位了                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
18'今天于海在场上显得比较兴奋                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
19'对于忻峰来讲，防住于海不是一件容易的事                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
19'忻峰的传球很随意呀                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
19'图拔坐不住了，双手叉腰来回走动                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
20'张成林和于海在左路配合，前者下底传中                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
20'曲波禁区腹地一脚攻门，可惜球打高了                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
20'今天曲波都有游离到了卓尔左路                   17'第17分钟，贵州人和队再次打出长传身后球，于海接球后果断射门，虽然皮球再次射入网窝，但是助理裁判也在第一时间举旗示意于海越位在先
21'看来忻峰这一点是软肋                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
21'本特利和斯托扬在前场做配合                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
21'忻峰把球传给李行                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
21'李行回敲交给赵源煕组织                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
22'朱挺接队友传球，毫不犹豫就是一脚打门                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
22'可惜球没吃上部位，打呲了                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
22'萨利赶到了中场进行抢截                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
23'萨利和孙继海都打得比较放松                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
23'赵源煕传给李行，李行连续传带，可惜球被对方拿走                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
24'卓尔危险呀！                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
24'于海下底突入禁区横敲，李春郁插上打门                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
24'球砸在了横梁上沿                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
24'可以说卓尔是躲过了一劫                   21'第21分钟，武汉卓尔队11号朱挺中路接队友妙传后果断起脚射门，结果皮球偏离球门太远
28'卓尔获得前场任意球，姚翰林被孙继海放倒                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
28'孙继海的防守经验很足                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
28'战术配合，本特利直接打门                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
29'球被挡了出来                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
29'卓尔再次传中                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
29'球进啦                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
29'斯托扬接朱挺传中，头球一蹭，球直挂球门左下角                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
30'进球后的斯托扬双手指天                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
30'意在告慰逝去的父亲                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
30'全场球迷都为这位塞尔维亚斗士起立鼓掌                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
31'目前，场上比分1-1平                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
31'斯托扬是一名典型的抢点式前锋                   28'第28分钟，孙继海在后场放倒了姚翰林，主裁判判给了武汉卓尔队一个前场任意球机会
31'目前，场上比分1-1平                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
31'斯托扬是一名典型的抢点式前锋                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
32'身体素质并不出色，但是门前嗅觉还不错                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
32'本特利的传球歪打正着                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
32'斯托扬准备抢球打门                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
32'张烈抢先一步大脚解围                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
32'本特利外围再打，球打高了                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
33'武汉卓尔获得第二个角球机会                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
33'刚刚球碰到了张烈的身体                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
33'张烈好像有点伤，不过没大碍                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
34'角球开到前点，斯托扬抢到球交给本特利                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
34'张成林将球解围                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
34'卓尔再次策动反击                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
34'柯钊左路拿球，一对一假动作吃掉了张成林                   31'第31分钟，武汉卓尔队造出威胁，贵州人和队后卫回传失误，斯托扬诺维奇快速逼抢造成门将张烈大脚解围不远，14号本特利一脚远射，皮球打在张烈身上弹出底线
38'后者没能领会到来球，球穿裆而过，被门将得到                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
38'李行很喜欢把球交给右路的忻峰                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
38'吴龑立功了                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
39'曲波接米西莫维奇的传球突入禁区起脚打门                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
39'吴龑双拳将球挡出                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
39'人和角球                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
39'前点曲波后蹭，球出了底线                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
40'裁判判定卓尔触球，人和继续角球机会                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
40'角球开出，卓尔防守球员大脚把球解围                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
40'这个时候，好像是本特利犯规了                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
41'忻峰拿球交给法蒂                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
41'法蒂和邱添一在横穿                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
41'又是李行，突然启动将球交给本特利                   38'第38分钟，武汉卓尔队忻峰传球失误，贵州人和队抢断成功后快速分给禁区内偏右的曲波，后者得球后大力射门，皮球被吴用双手挡出界外
50'萨利抢在斯托扬之前将球解围                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
50'吴龑目前大脚把球开出禁区                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
50'目前，青岛中能1-0领先长春亚泰                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
50'这对于卓尔来讲，应该是个利好消息                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
51'人和牢牢控制住了中场                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
51'柯钊在贴身防守柯钊                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
51'本特利和柯钊在左侧做配合                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
51'周恒和赵源煕在右路进行三传两递                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
52'右路有空当，周恒把球转移给左路                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
52'柯钊带球，选择直接打门                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
52'球没有带在门框范围内                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
52'邱添一解围将球传给赵源煕                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
53'斯托扬禁区拿球，趟过两名防守球员                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
53'门前抢射，可惜球稍稍偏出                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
53'卓尔角球开出                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
53'球被贵州队后卫解围                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
53'柯钊禁区外围起脚吊传                   50'上半场最后5分钟，双方加强了对中场的控制，但是比分再未被改写，1比1的比分一直保持到上半场结束
47'张成林左路传中，吴龑将球稳稳抱住                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'斯托扬在前场跑动灵活，时刻寻觅进攻良机                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'萨利再次把球交给孙继海                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
48'孙继海长传之际，裁判吹响了中场哨                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'曲波把球碰出了边线                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'柯钊把球扔给李行                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'赵源煕蹲坐在地上                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'面部表情有些痛苦                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
47'站起来了，赵源煕还是有点勉强                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
48'法蒂犯规铲倒了米西莫维奇                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
48'米西莫维奇主罚前场定位球                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
48'看人和能不能抓住这个机会                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
48'非常有威胁啊                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
49'米西把球开出，球直奔点球点                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
49'赵源煕把球垫了一下，球擦着横梁飞出                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
49'米西的这脚任意球质量太高了                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
49'本特利前场断球，下底传中                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
50'萨利抢在斯托扬之前将球解围                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
50'吴龑目前大脚把球开出禁区                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
50'目前，青岛中能1-0领先长春亚泰                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
50'这对于卓尔来讲，应该是个利好消息                   47'第47分钟，邱添一在后场右侧犯规送给贵州队一个任意球，米西莫维奇开到禁区内，皮球弹地后稍稍高出横梁飞出底线
62'柯钊稍一犹豫，球被养好把球断掉                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
62'张烈得到皮球，将球抛给饶伟辉                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
62'李春郁拿球直塞给米西莫维奇                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
63'米西带球，机会不好，选择回敲                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
63'李行上抢截下皮球                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
63'法蒂将球交给赵源煕                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
64'姚翰林在中场拿球突然起脚长传中吊                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
64'禁区内斯托扬拿球回做，本特利没能赶上                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
64'人和反击，于海禁区内头球点给队友                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
64'邱添一将球解围出底线                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
65'人和角球开出                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
65'穆斯利抢到第一点，可惜头球没有顶上力量                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
65'又是吴龑再一次神奇化解危险                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
65'米西中路妙传给曲波                   62'第62分钟，斯托扬诺维奇在禁区内得球后第一时间没有停好，紧接着他想将球回做给本特利，可惜力量太小被贵州人和队后卫破坏
67'这段时间，卓尔又陷入了贵州队的节奏中                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
67'张成林突破周恒                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
67'朱挺截下皮球，高速突破                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
68'朱挺选择传中，斯托扬位置不好，没能抢到                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
68'本特利从左路带球，突然交给右路朱挺                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
68'朱挺给了周恒，周恒生吃对手                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
68'穿裆过人，可惜被饶伟辉放倒                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
69'卓尔前场定位球机会                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
69'本特利来主罚                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
69'直接打门吗》                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
69'定位球传出，前点斯托扬碰了一下，可惜没有打上力量                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
69'裁判判罚角球                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
70'姚翰林角球开出，张烈将球得到                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
70'卓尔外围再次获得机会                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
70'姚翰林左路下底，过人受阻                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
70'球被饶伟辉断掉                   67'第67分钟，周恒穿裆过掉饶伟辉，结果后者无奈只能犯规，武汉队在对方底线附近获得一个任意球
