3'纳乔再给拉莫斯，拉莫斯分球右路给达尼洛                   3'皇马开场仅3分钟取得领先，莫拉塔斜传，卢卡斯禁区右侧传中，J罗近距离破门
8'自己趟大了，球先出了底线！！！                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
9'格拉纳达中场的过顶球到右路                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
9'科恩特朗转身回防，将球控制，横传纳乔                   6'皇马6分钟连入2球继续扩大优势，第30分钟，卢卡斯斜传右路，达尼洛突入禁区右侧低传，无人防守的莫拉塔12码处劲射打中横梁下沿入网，3-0
42'皇马前场左路的传中到禁区                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
42'J罗停球准备变向突破，可惜球没控制好                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
42'被因加森出脚成功断球，大脚踢到前场                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
44'席尔瓦左路拿球，横传中间的安戈班                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
44'安戈班直塞再找乌切                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
45'乌切分球左侧阿德里安，阿德里安停球横拨                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
45'起脚打门，被防守球员挡出                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
45'哎呀，卡塞米罗的空门，竟然踢飞了！！                   42'皇马第42分钟仍险些破门，J罗传球，卢卡斯内切禁区右侧射远角憾中横梁弹出
45'乌切分球左侧阿德里安，阿德里安停球横拨                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
45'起脚打门，被防守球员挡出                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
45'哎呀，卡塞米罗的空门，竟然踢飞了！！                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
46'科瓦契奇前场中路拿球，强突后直塞打身后，巴斯克斯单刀赴会，面对出击的奥乔亚，挑射被挡，卡塞米罗门前跟进补射，放了飞机！                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
46'下半场比赛开始！！                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
46'格拉纳达开球，从画面的左侧向右进攻！！                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
46'皇马这边还是首发的原班人马！！                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
47'拉莫斯后场控球，分球给回来接应的阿森西奥                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
47'阿森西奥背身拿球，回传纳乔                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
47'纳乔横传拉莫斯，拉莫斯再给科恩特朗                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
47'科恩特朗分球科瓦契奇，科瓦契奇再给左侧阿森西奥                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
48'阿森西奥踩单车内切，横传插上的科瓦契奇                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
48'科瓦契奇停球一趟，起脚打门，被挡出                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
48'卡塞米罗外围拿球，再传右路找巴斯克斯                   45'皇马第45分钟仍错过机会，科瓦契奇直传，卢卡斯单刀射门被奥乔亚挡出，但卡塞米罗小禁区前补射空门却偏出
62'本泽马分球禁区右侧找巴斯克斯                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
62'巴斯克斯强突进入禁区，起脚打门，被挡出                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
62'达尼洛跟进补射，击中立柱外侧，弹出底线！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
63'本泽马前场拿球，强突禁区，起脚打门，被挡出底线！！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
63'皇马获得左侧角球机会！！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
64'角球开出到后点，拉莫斯的头球，顶高！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
64'拉莫斯时刻还没到，水爷不进球啊！！！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
65'J罗左路背身拿球，面对逼抢，回传科瓦契奇                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
65'科瓦契奇带球强突，内切后的分球，被破坏                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
65'卡塞米罗中路断球，给到巴斯克斯                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
65'巴斯克斯趟球中路强突，禁区弧顶起脚打门，被回防球员碰出底线！                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
65'皇马的右侧角球机会，开出来，第一点被防守球员解围                   62'第62分钟，卢卡斯传中被解围，达尼洛12码处射门憾中右侧立柱外侧弹出
80'马丁右路跟进补射，空门啊，竟然打飞啦！！                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
80'马丁跪地掩面，很是失望！！                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
81'格拉纳达换人：30号恩特雷纳上                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
82'格拉纳达前场进攻，赢得左侧角球！！                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
82'角球开出到后点，乌切胸部停球                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
82'面对防守球员，没机会起脚                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
82'乌切转身分球阿德里安                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
83'阿德里安停球转身，起脚打门，被挡出                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
83'阿德里安控制，下底内切，小角度再射，被卡西利亚没收                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
83'皇马的前场，法里亚诺分球给本泽马                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
83'本泽马停球一拨，起脚打门，踢飞！！                   80'格拉纳达第80分钟错过机会，阿德里安-拉莫斯带球突入禁区引发混战，霍格拉禁区边缘射空门机会却偏出
