37'莫雷诺中场送球                   37'上半场比赛，上海申花反客为主，登巴巴在第37分钟外脚背弹射破门
77'登巴巴拉到左路拿球转身突破                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
77'被包夹关门                   74'一直被动的山东鲁能在第29分钟制造破门良机，格德斯边路拿球回扣连续过两人后送出脚后跟妙传，塔尔德利跟进推射，球打在后卫腿上偏出球门
47'鲁能进球了！                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
47'乌龙！                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
47'申花的乌龙球，栗鹏                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
47'格德斯右路领球进禁区，横扫门前，栗鹏铲截把球踢进自己球门                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
47'鲁能1-1追平申花                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'上半场比赛结束                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'双方1-1战平进入中场休息                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'格德斯回撤拿球横敲，被断                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'莫雷诺拿球分左路曹赟定                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'莫雷诺直塞禁区，解围不远                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'球到罗梅罗身前，直接凌空打得太正                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
48'球被王大雷扑住了                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
49'张璐右路防守阻挡了宋龙，任意球                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
50'任意球到禁区，被莫雷诺顶出                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
50'曹赟定肋部拿球，转移另一侧                   47'补时2分钟，蒿俊闵送出过顶球，格德斯沿着边路突破到底线附近近乎零角度射门，球打在栗鹏脚上弹入球门，比分变为1-1平
56'罗梅罗分右路，登巴巴回撤接应                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
56'蒿俊闵斜传右路，金敬道传中                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
57'鲁能进球了！！！                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
57'塔尔德利！！！                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
57'金敬道右路底线前传中，塔尔德利头球冲顶破门                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
57'鲁能2-1领先申花                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
58'鲁能换人，刘彬彬换下吴兴涵                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
58'申花换人，荣昊换下曹赟定                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
59'塔尔德利前场拿球，回敲格德斯                   56'第56分钟，蒿俊闵大范围转移，金敬道边路弧线球传中，塔尔德利禁区内鱼跃头球破门，塔尔德利打入个人本赛季第9个进球
71'比赛继续                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
71'鲁能高球去前场，栗鹏头球回点门将                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
71'落点不好，李帅解围出边线                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
72'金敬道右路插入禁区，传小禁区                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
72'塔尔德利胸部停球，跟上扫射高了                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
72'登巴巴前场被断球，刘彬彬反击                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
72'给套上的塔尔德利，出底线                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
74'格德斯前场停球大了，被孙世林破坏                   71'第71分钟，格德斯原地摆腿送出挑传禁区，金敬道突入禁区弧线球传中，塔尔德利胸部停球后凌空抽射高出横梁
79'再敲回禁区，塔尔德利碰出界外                   79'第79分钟，高迪换下罗梅罗
79'申花换人，高迪换下罗梅罗                   79'第79分钟，高迪换下罗梅罗
79'鲁能换人，刘军帅被周海波换下                   79'第79分钟，高迪换下罗梅罗
80'周海滨上                   79'第79分钟，高迪换下罗梅罗
80'周海滨顶防高迪，逼迫出界                   79'第79分钟，高迪换下罗梅罗
81'格德斯拿球分左路                   79'第79分钟，高迪换下罗梅罗
81'高迪回撤拿球，身后戴琳犯规                   79'第79分钟，高迪换下罗梅罗
82'莫雷诺挑传禁区，登巴巴越位                   79'第79分钟，高迪换下罗梅罗
82'栗鹏后场断球，自己丢了，推人                   79'第79分钟，高迪换下罗梅罗
83'鲁能进球了！                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
83'金敬道！                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
83'塔尔德利任意球开前点，金敬道鱼跃冲顶破门                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
84'鲁能3-1领先申花                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
85'周海滨前场传球被莫雷诺断下                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
85'反抢，莫雷诺被绊倒                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
86'登巴巴前场带球，远射被封堵                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
86'高迪回撤接应被绊倒                   83'第83分钟，塔尔德利主罚边线附近任意球送出弧线球传中，金敬道前点头球后蹭破门，山东鲁能3-1领先
