1'主裁判哨响，比赛开始了                   1'曼城第1分钟积极施压，伯恩利摆出铁桶阵防守
26'奥塔门迪转到左侧德尔夫，今天这球基本是半场攻防啊                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'在转到右侧沃克，向前给到贝尔纳多席尔瓦                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'陷入包围，在回敲倒脚到左路                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'德尔夫身前给到丁丁，斜长传到右肋                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'沃克插上，右侧45度得球，搓起来                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
26'禁区内还是给大了，这球是直接踢出了边线                   23'曼城第23分钟险些破门，萨内突入禁区左侧下底回传，贝纳尔多10码处第一时间射门被波佩神勇救出
73'曼城继续进攻，斯通斯身前给费尔南迪尼奥                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
73'左侧分奥塔门迪，在给德尔夫，直塞                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'禁区左侧萨内拿球，回敲，费尔南迪尼奥向前                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'直传过顶，萨内包抄，左侧扫向门前                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'防守队员挡出，后点席尔瓦跟上推射，被挡出底线                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'角球开起来，弧线球送入禁区，，后点                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'奥塔门迪，甩头攻门，，有了                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
74'奥塔门迪的头球建功，扩大了比分                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
75'这球一进，瓜帅就吃了定心丸啊                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
75'曼城今天专靠定位球得分啊                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
75'中路丁丁拿球，一记直塞给到前面                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
75'左侧萨内高速的推进，奔袭                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
76'形成了单刀啊，丁丁送的妙，，萨内也没浪费                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
76'萨内左脚的大力抽射，又得分了                   73'曼城第73分钟扩大比分，席尔瓦小禁区左侧的射门被波佩扑出
75'这球一进，瓜帅就吃了定心丸啊                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
75'曼城今天专靠定位球得分啊                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
75'中路丁丁拿球，一记直塞给到前面                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
75'左侧萨内高速的推进，奔袭                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
76'形成了单刀啊，丁丁送的妙，，萨内也没浪费                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
76'萨内左脚的大力抽射，又得分了                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'丁丁前场中路拿球，推进过来，手术刀的直塞，加了一个弧线，准确给到前插的萨内，后者形成单刀，扫射得手                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'伯恩利回敲给到后场洛顿                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'斜传左侧直接出了边线                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'沃克拿球，回敲斯通斯，在给沃克                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'直传中圈丁丁拿球，回敲奥塔门迪，在回敲                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
77'艾德森右侧交给斯通斯，转移到前场                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
78'伯恩利断下来，向前给出一脚过顶                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
78'长传左侧直接飞出了边线                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
78'曼城换人，费尔南迪尼奥被亚亚图雷替下                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
78'曼城刚才也还有一个换人，是热苏斯替下了阿圭罗                   75'曼城第75分钟锁定胜局，德布劳内妙传，萨内突入禁区左肋10码处斜射入网，3-0
83'在转到斯通斯这边，找京多安，短传身前                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
83'观察一下，直传右路高速插上的沃克                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
83'沃克右侧下底，传中搓起来                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
83'禁区内前点，热苏斯跟上，左脚的推射，打在防守队员面部出了边线                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
84'奋勇抵挡这个射门的是本米                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
84'伯恩利后场洛顿得球                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
84'过顶传到右侧，阿菲尔德拿球                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'倒三角给到禁区，后点跟上的科克打门被封堵                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'禁区外围拼抢，曼城回敲给艾德森                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'大脚开起来                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'前场右侧沃克拿球，缓下节奏，回敲斯通斯                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'转移给左侧图雷拿球，连续的传递，右侧还是给斯通斯                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
85'回敲艾德森，直传中路给京多安                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
86'京多安被紧逼，从容的回敲，艾德森拿球                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
86'左侧给到德尔夫，中路找萨内，推进                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
86'在给到右侧京多安，交给套边的沃克                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
86'防守球员先出一脚捅出界外                   83'第83分钟，热苏斯禁区内抢断后小禁区边缘射门又被波佩挡出
