5'0-1！！！                   5'曼联第5分钟取得领先，瓦伦西亚长传，林加德右路传中，伊布小禁区前头球破门
23'德赫亚出击将球拿到                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
24'伊布得到一张黄牌！                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
24'伊布争抢头球                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
24'明知道拿不到球的情况还是撞了过去                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
24'对方也是重重摔在地上                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
25'西布朗左路突破进来                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
25'底线下底给到前点                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
25'琼斯头球顶了出来                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
25'伊布中场拿球分左路                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
26'达米安这边上来                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
26'后卫的干扰先被碰出边线                   23'曼联第23分钟险些扩大比分，博格巴直传，林加德禁区左侧回传，鲁尼禁区边缘劲射被福斯特扑挡后击中横梁弹回
31'西布朗左路起球送禁区                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
31'容东！！                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
31'容东前点头球甩头攻门！！                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
31'差了一点点啊                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
32'容东上一场的头球发挥非常的不错啊                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
32'伊布中场头球点下来                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
32'博格巴这边将球转移出来                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
33'曼联大范围转移给到左路                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
33'达米安这边接球没有机会                   31'西布朗第31分钟也错过机会，马特-菲利普斯左路强突瓦伦西亚后传中，但容东前点小禁区前头球攻门偏出
56'鲁尼左路带球给到伊布                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
56'0-2！！！                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
56'伊布！！                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
56'伊布左路禁区角接鲁尼的传球，横向的突破后摆脱防守低射远角破门！！                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
56'伊布这球打得比较突然                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
57'门将这边几乎没有扑救动作                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
57'李铁也是出现在看台上！！                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
58'西布朗这边前场获得定位球                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
58'任意球给到后点                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
58'队友的攻门将球顶偏                   56'曼联第56分钟扩大比分，鲁尼传球，伊布从两人夹缝中突破后禁区左侧16码处劲射，皮球偏转后入远角，2-0
65'容东跟对方有些口语上的交锋                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
65'裁判也是把双方当事人叫到身边                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
65'容东和罗霍各打50打板                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
65'罗霍和容东一人一张黄牌！                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
66'容东这边似乎还有扇耳光的动作                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
66'比赛重新恢复进行                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
66'西布朗右路起球送禁区                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
66'落点并不好                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
68'博格巴边路防守犯规                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
68'双方的火药味也是渐浓                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
68'任意球往禁区里送                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
68'结果是先越位了                   65'第65分钟，容东和罗霍互起争执，西布朗中锋冲突中掌掴罗霍，两人均被黄牌警告
