1'主裁判哨响，上半场开始了                   1'马竞第1分钟强力施压，格列兹曼传球，托雷斯禁区右侧的低射被舒梅切尔没收
29'左侧胡安弗兰把球破坏                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'奥尔布莱顿刚才送点还吃到了黄牌                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'福克斯左侧大力界外球                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'抛向禁区，奥布拉克出击，挡出底线                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'右侧角球，马赫雷斯开起来                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'到了禁区中央，萨维奇头球顶出                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
30'外围德林克沃特得球，右侧在给辛普森，长传向前，争顶                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
31'裁判哨响，奥尔布莱顿拼抢放倒了萨维奇                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
31'菲利佩交给卡拉斯科，45度吊起来，禁区内托雷斯没有拿住                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
31'一个蝎子摆尾的动作                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
31'莱斯特反击，给到瓦尔迪，中路突破，摔倒了，裁判没吹                   28'马竞第28分钟打破僵局，格列兹曼强突禁区左侧边缘在阿尔布莱顿防守下摔倒，回放显示犯规地点具有争议，瑞典裁判埃里克森判罚极刑，格里兹曼亲自主罚点球命中
