1'上半场比赛开始！！                   1'双方赛前为刚刚去世的诺维奇传奇球星埃罗尔-克洛桑鼓掌1分钟
44'受伤的右后卫平托，膝盖有点问题！                   41'第41分钟，杰罗姆内切禁区右侧突破罗霍后又在博斯维克-杰克逊防守下摔倒，裁判拒绝判罚点球
72'1-0！！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
72'马塔推射建功！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
72'此时此刻值得来杯嘉士伯！！！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
73'瓦伦西亚后场长传，巴松冒顶，鲁尼前插拿球，横切摆脱马丁，球没控制好，调整中转身横传右侧给上来的马塔，马塔面对鲁迪，推射打进近角！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
74'诺维奇前场进攻，赢得任意球机会！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
74'雷蒙德任意球斜传禁区，杰罗姆的头球，顶高！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
74'曼联的进球，得感谢巴松的冒顶！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
74'失球后，巴松也是一脸郁闷，队友上前安慰！！                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
75'林加德前场抢断，分球左侧给德佩                   72'曼联第72分钟打破僵局，巴松冒顶，鲁尼禁区内横切防守后斜传，马塔禁区右肋8码处推射近角入网
