4'梅西在右路~交给苏亚雷斯！                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
7'伊涅斯塔禁区线上突然塞给苏亚雷斯                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
7'可惜后者反应慢了半拍                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
7'门将卡梅尼出击倒地将球抱住                   4'开场仅4分钟，苏亚雷斯角球混战中头球破门，但他对安杰莱里犯规在先，进球无效
20'布教授横传失误~~卡洛斯中场直接来了一个吊射！！                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
20'稍稍高出了横梁                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
20'马拉加制造了一个前场定位球                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
21'传中到禁区内~裁判鸣哨了                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
21'14号雷西奥在头球之前拉人犯规了                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
21'马拉加这边防守阵型还算严密                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
21'阵地战的防守方面并没有给巴萨多少机会                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
22'阿尔巴的传中逼得了一个角球                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
22'传中给出来~梅西在禁区前被放倒                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
22'裁判示意比赛继续                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
22'马拉加的反击~~布拉沃出击将球没收                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
23'慢动作来看，马拉加的球员有明显的绊人犯规                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
23'不过裁判多半是觉得梅西跳水了...                   20'马拉加第20分钟险些破门，布拉沃出击未及时回位，胡安-卡洛斯中场靠后位置远程吊射空门，但皮球稍稍高出横梁
73'快速开出定位球~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
73'梅西禁区内的射门打在了后卫腿上出了底线                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
73'巴萨看起来就快要进球，但始终只差那么一点点                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
73'有了~~~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
73'维尔马伦~~~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
73'Goooooooooooooooooooooal~~~~~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
74'利用这次角球机会，苏亚雷斯的下底传中被卡梅尼飞身扑了一下，球正好弹到维尔马伦面前~~无人防守之下左脚凌空抽射将球打入网窝                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
74'场上出现了冲突                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
75'马斯切拉诺在被放倒之后，马拉加的球员似乎还有个附带动作                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
75'不过从慢动作来看似乎并不是有意的                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
75'马拉加换上了28号胡安皮                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
76'用户5402701034  手机新浪也没有，电脑有直播吗？---今年的西甲被某P买断了                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
76'巴萨潍坊 发个动图看看---待会就来~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
76'巴萨制造了一个角球                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
76'战术角球~                   73'巴萨第73分钟打破僵局，苏亚雷斯左路传中，卡梅尼出击勉强扑出皮球，无人防守的维尔马伦12码处凌空扫射空门入网
