4'泰达左侧边线球掷到禁区，中路恒丰球员头球后蹭，王栋禁区后点直接打门高出                   3'第3分钟，王帆推传向前，逄志泉左侧拿球杀入禁区后直接推射近角，被杜佳没 收
25'裁判鸣哨，示意是这球先越位了                   22'第22分钟，贵州恒丰获得左路定位球，切里任意球半高球斜传门前，韩鹏飞中路飞身铲射没踢到，球出了底线
28'泰达禁区外右侧的定位球机会                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
28'买提江任意球给到禁区，苏渤洋双拳打出                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
29'王帆头球摆渡给左路的队友                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
29' 球还是被泰达球员后场断下                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
30' 蒋亮推传给身后麦克格文                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
30' 麦克格文一脚长传，杜佳没收了                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
31' 买提江推传向前                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
31' 古德利中圈前沿得到球挑传前场                   28'第28分钟，亿利左侧角球传入禁区，胡人天头球攻门，球在门前弹地，苏渤洋扑球脱手，好在苏渤洋及时将球没收
39'苏渤洋继续开球到中圈前沿                   38'第38分钟，惠家康前场断球后迅速突入，弧顶处杀入禁区中路起脚打门，苏渤洋拍了一下险些脱手，好在第二反应及时稳稳将球抱住
39' 这球被古德利断下                   38'第38分钟，惠家康前场断球后迅速突入，弧顶处杀入禁区中路起脚打门，苏渤洋拍了一下险些脱手，好在第二反应及时稳稳将球抱住
40'惠家康前场断球弧顶处杀入禁区中路起脚打门，被苏渤洋稳稳抱住                   38'第38分钟，惠家康前场断球后迅速突入，弧顶处杀入禁区中路起脚打门，苏渤洋拍了一下险些脱手，好在第二反应及时稳稳将球抱住
41' 苏渤洋将球直接开出边线外                   38'第38分钟，惠家康前场断球后迅速突入，弧顶处杀入禁区中路起脚打门，苏渤洋拍了一下险些脱手，好在第二反应及时稳稳将球抱住
41' 苏渤洋将球直接开出边线外                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
42'范云龙在和迪亚涅争顶时倒地了                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
42'范云龙在经过队医查看后，没问题，重新回到比赛                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
43' 闵俊麟带球直入禁区                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
43' 被泰达球员踢出底线                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
43'切里来开右侧角球                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
44'右侧角球开出，前点被打出                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
44'杜佳倒在了禁区内                   41'第41分钟，杜佳禁区内扑救受伤倒地接受治疗
49' 麦克格文带球向前走                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
49'推传给中圈弧附近的范云龙                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
50' 苏渤洋后场再次开球向前                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
50'奥伦加头球顶一下                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
50' 这球被买提江一脚踢回去                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
52'迪亚涅前场左路边线球掷出，惠家康左路内切了两步直接远射，击中远端立柱弹出。                   49'第49分钟，惠家康前场左路得球，跑动中突然起右脚一记外脚背轰门，苏渤洋飞身进行扑救，皮球击中左侧立柱弹出
52'迪亚涅前场左路边线球掷出，惠家康左路内切了两步直接远射，击中远端立柱弹出。                   52'第52分钟，泰达获得前场获得左侧的定位球机会，古德利主罚任意球直接开出了底线
53'迪亚涅禁区左侧接解围球再传中，中路头球攻门高出                   52'第52分钟，泰达获得前场获得左侧的定位球机会，古德利主罚任意球直接开出了底线
53'泰达球员前场左侧的定位球机会                   52'第52分钟，泰达获得前场获得左侧的定位球机会，古德利主罚任意球直接开出了底线
54'古德利任意球直接开出了底线                   52'第52分钟，泰达获得前场获得左侧的定位球机会，古德利主罚任意球直接开出了底线
58'麦克格文右路长传禁区                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
58'闵俊麟直接远射偏出                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
59'潘喜明后场继续发球                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
59'一脚长传到禁区外右侧                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
60'迪亚涅的争顶犯规                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
60'放倒了同样在争顶的韩鹏飞                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
61'迪亚涅争顶时肘击韩鹏飞吃到了黄牌                   58'第58分钟，泰达长传吊入禁区，迪亚涅争顶头球顶向球门，球速太慢苏渤洋直接将球抱住
64'智诚换人，梁学铭替下范云龙                   63'第63分钟，恒丰智诚换人，梁学铭替下范云龙
64' 梁学铭接到球，给到身后的麦克格文                   63'第63分钟，恒丰智诚换人，梁学铭替下范云龙
65'迪亚涅禁区右侧面对防守球员直接起脚射门偏出                   63'第63分钟，恒丰智诚换人，梁学铭替下范云龙
65'王栋后场带球推进到前场，蒋亮回追犯规吃到黄牌                   63'第63分钟，恒丰智诚换人，梁学铭替下范云龙
66'泰达换人，伊德耶替下迪亚涅                   63'第63分钟，恒丰智诚换人，梁学铭替下范云龙
65'迪亚涅禁区右侧面对防守球员直接起脚射门偏出                   65'第65分钟，王栋后场带球推进到前场，蒋亮回追放倒了王栋吃到黄牌，泰达获得禁区外围定位球
65'王栋后场带球推进到前场，蒋亮回追犯规吃到黄牌                   65'第65分钟，王栋后场带球推进到前场，蒋亮回追放倒了王栋吃到黄牌，泰达获得禁区外围定位球
66'泰达换人，伊德耶替下迪亚涅                   65'第65分钟，王栋后场带球推进到前场，蒋亮回追放倒了王栋吃到黄牌，泰达获得禁区外围定位球
67'古德利任意球直接打门，皮球高出横梁                   65'第65分钟，王栋后场带球推进到前场，蒋亮回追放倒了王栋吃到黄牌，泰达获得禁区外围定位球
66'泰达换人，伊德耶替下迪亚涅                   66'第66分钟，切里横敲给禁区外弧顶处，给到了插上的梁学铭，梁学铭一脚低平球推射被杜佳没收了
67'古德利任意球直接打门，皮球高出横梁                   66'第66分钟，切里横敲给禁区外弧顶处，给到了插上的梁学铭，梁学铭一脚低平球推射被杜佳没收了
69'切里横敲给禁区外弧顶处                   66'第66分钟，切里横敲给禁区外弧顶处，给到了插上的梁学铭，梁学铭一脚低平球推射被杜佳没收了
69'给到了插上的梁学铭                   66'第66分钟，切里横敲给禁区外弧顶处，给到了插上的梁学铭，梁学铭一脚低平球推射被杜佳没收了
76' 梁学铭左路传中，被邱添一解围出来                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
76'禁区外弧顶处，切里得球突施冷箭偏出                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
78'场内有智诚球员倒在地上                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
78'慢镜头看他和潘喜明有个争顶身体摩擦啊                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
78'智诚换人，王军替下常飞亚                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
79'白岳峰起脚长传                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
79' 被王帆踢出边线                   76'第76分钟，恒丰智诚换人，王军换下常飞亚
85'王栋接到球右路传中                   85'第85分钟，王栋接到球右路传中，伊德耶头球顶偏了
85'伊德耶头球顶偏了                   85'第85分钟，王栋接到球右路传中，伊德耶头球顶偏了
87'胡人天得到球突破被放倒了                   85'第85分钟，王栋接到球右路传中，伊德耶头球顶偏了
87'闵俊麟吃到了黄牌                   85'第85分钟，王栋接到球右路传中，伊德耶头球顶偏了
48'智诚球员一脚横向分球                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
48' 被白岳峰继续破坏                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
49' 麦克格文带球向前走                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
49'推传给中圈弧附近的范云龙                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
50' 苏渤洋后场再次开球向前                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
50'奥伦加头球顶一下                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
50' 这球被买提江一脚踢回去                   48'全场补时3分钟，补时阶段，伊明江一脚挑传到禁区，奥伦加带球杀入禁区，杜佳抢在奥伦加射门之前将球没收
