2'角球开到禁区内右侧！                   2'巴萨开场仅2分钟取得领先，梅西传球，库蒂尼奥12码处推射右上角入网
86'皮球落到巴塞罗那后场！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
86'萨拉维亚得球顺势反击！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
87'禁区内右侧推射打门！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
87'特尔施特根把球扑下来！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
87'禁区内本耶德尔跟进补射！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
87'还是被特尔施特根扑出！！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
88'外围中路穆里尔再打一脚抽射！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
88'皮球击中进攻球员手臂上！折线弹入大门！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
88'这个进球当然是无效的！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
89'特尔施特根大脚开球给前场！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
89'巴塞罗那的反击来了！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
89'库蒂尼奥左路带球推进！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
89'横敲给禁区中路奥斯曼-登贝莱！                   86'第86分钟，萨拉维亚禁区边缘内劲射被特尔施特根扑出，梅萨小禁区右侧补射又被神勇扑出
91'拉基蒂奇的神仙球破门！巴塞罗那4比1塞维利亚！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
91'镜头一转！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
91'塞维利亚的反击也来了！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
91'梅萨直传球给前场左侧穆里尔！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
92'穆里尔禁区左侧跟进劲射攻门！！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
92'特尔施特根没能扑住！！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
92'GOOOOOOOOOOAL！球进了！4-2！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'穆里尔禁区前沿左侧劲射破门！塞维利亚2比4巴塞罗那！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'下半场伤停补时3分钟，快要结束了！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'巴塞罗那中场开球给后场左侧朗格莱！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'推传给后场右侧皮克！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'皮克自己带球推进！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'直传球给前场禁区内！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'皮球被门将瓦茨利克没收！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
93'瓦茨利克大脚开球出来！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
94'主裁判吹响了终场比赛的哨音！                   91'第91分钟，本耶德尔传球，穆里尔禁区边缘射入右下角，2-4
