1'上半场比赛开始！！                   1'第1分钟主队优势明显，第2分钟帕托左路任意球直接射门稍稍偏出
31'裴帅上抢断球，分球王永珀                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
31'王永珀直塞找帕托，帕托越位在先！！                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
32'权健再进一个！！2-0！！！                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
32'赵一脚，梅开二度！！                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
33'裴帅左路拿球，内切后分球给孙可，孙可强突下底，倒三角回传，赵旭日远端跟进一脚推射，打进！！！                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
34'毛剑卿和刘奕鸣争抢，毛剑卿拉人犯规！！！                   31'第31分钟天津队再次取得进球，三名国内队员打出配合，裴帅左路送球，孙可得球下底传中，无人看守的赵旭日禁区内得球抽射，此球打的角度极佳，李帅扑救不及，2比0，天津队扩大比分
36'转身回传，被上抢的曹赟定挡出边线！！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
36'糜昊伦前场左路拿球，传中到后点                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
37'可惜没有队友到位，球出界！！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
37'之前帕托禁区左上角的远射，击中横梁弹回！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
37'孙可中场抢断，分球左侧                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
38'权景元上来啦，强突曹赟定                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
38'传中到禁区，帕托的甩头轰门                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
38'李帅侧扑，将球封堵，再起身，将球拿到！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
38'中后卫权景元都上来送助攻了权健这踢得太劲爆啊                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
39'申花前场进攻，赢得右侧角球机会！！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
39'特维斯主罚，开出到后点！！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
39'权景元力压莫雷诺头球解围                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
39'莫雷诺前场再抢，拉倒了赵旭日，犯规！                   36'第36分钟权敬源左路传中，帕托后撤步头球被李帅扑出
44'王永珀外围拿球，远射，打在防守球员身上出底线！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
44'权健获得右侧角球机会！1                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
44'战术角球开出，裴帅外围拿球，搓传禁区                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
44'第一点再被回来的莫雷诺解围                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
44'申花的反击，毛剑卿拿球                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
45'过了中线，面对围抢，自己趟                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
45'趟大了，球被权健球员拦截！！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
45'赵旭日中场拿球，分球王永珀                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
45'王永珀再给孙可，孙可传中，毕津浩头球解围                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
45'孙可再拿球，分球帕托                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'帕托强突禁区，起脚打门，被挡出底线！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'上半场比赛补时2分钟！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'权健获得左侧角球机会！！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'战术角球开出，糜昊伦左路传中                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'李帅出击，稳稳将球拿到！！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
47'李运秋前场右路拿球，横传给到金基熙                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
47'金基熙的传中球到禁区，张鹭出击将球拿到                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'下半场比赛开始！！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'申花开球，从画面的右侧向左进攻！！                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
46'特维斯后场左路拿球，面对逼抢                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
47'脚后跟回传给到小王林，小王林大脚破坏                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
47'小王林左路拿球，直塞找曹赟定                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
47'刘奕鸣身后上抢，将球破坏                   44'第44分钟孙可和帕托打出成功二过一，帕托杀入禁区后射门，但被飞身而起的李建滨挡出门外
50'赵旭日的强突遭遇夹击                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
50'一个变向，闪开防守，起脚传中                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
50'李帅出击，在孙世林的掩护下，将球拿到                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'帕托前场背身拿球，分球赵旭日                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'赵旭日再回传给到帕托                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'帕托分球左侧给到糜昊伦                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'权健再进一个，3-0！！！                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'帕托的爆射！！！                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
51'这是帕托本赛季的第9个进球！！                   50'第50分钟孙可禁区外围送球，帕托直接起脚抽射打出电梯球直奔死角，李帅虽然做出反应，但只能用手碰到点球皮，3比0，天津队大幅度领先
58'这球如果让赵旭日拿的话，那机会可能会更好啊                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
58'申花的反击，特维斯前场拿球，                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
58'特维斯内切起脚抽射，打在了边网上！！                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
59'裴帅一次争抢中受伤，被担架抬出场外！！                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
59'权健换人：8号张修维上，换下了受伤的6号裴帅！！                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
60'王永珀前场拿球，内切后直塞找帕托                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
61'不过帕托却已经转身往回走了！！                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
61'金基熙左路拿球，横传孙世林                   58'第58分钟裴帅突然倒地，他示意自己不行了，卡纳瓦罗火速换上张修维
66'小王林左路拿球，斜塞找毛剑卿                   66'第66分钟天津队用郑达伦换下孙可
66'毛剑卿背身拿球，面对张诚                   66'第66分钟天津队用郑达伦换下孙可
66'转身强突，球被捅出底线！！                   66'第66分钟天津队用郑达伦换下孙可
66'申花获得了左侧角球机会！！                   66'第66分钟天津队用郑达伦换下孙可
67'权健换人：16号郑达伦上，换下了38号孙可！！                   66'第66分钟天津队用郑达伦换下孙可
67'不好意思，裁判给了权健门球，认为球最后碰到毛剑卿出的底线！                   66'第66分钟天津队用郑达伦换下孙可
69'莫雷诺禁区内的打门，击中立柱弹出                   66'第66分钟天津队用郑达伦换下孙可
70'特维斯的补射，被张鹭出击封堵！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
70'这球申花如果打进，那就好看了！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
70'申花前场再攻，特维斯左侧拿球，横传给到莫雷诺                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
70'莫雷诺的插花脚闪开防守，起脚打门，打偏！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
72'权健后场的转移球到右路，直接出了边线！！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
72'金基熙左路拿球，脚后跟分球给曹赟定                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
72'曹赟定强突下底，倒三角回传中路                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
72'张鹭出击，封堵前点，成功将球拿到！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
73'权健前场进攻，王永珀的直塞找帕托                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
73'帕托前插接应，起脚打门，打偏！！                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
73'毛剑卿前场拿球，强突到禁区                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
73'小禁区左侧起脚打门，被张鹭单掌打出底线                   70'第70分钟金基熙后脚跟磕传，曹赟定得球从左路一直杀到小禁区，但他往外拨传被张鹭一把抱住
72'权健后场的转移球到右路，直接出了边线！！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
72'金基熙左路拿球，脚后跟分球给曹赟定                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
72'曹赟定强突下底，倒三角回传中路                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
72'张鹭出击，封堵前点，成功将球拿到！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
73'权健前场进攻，王永珀的直塞找帕托                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
73'帕托前插接应，起脚打门，打偏！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
73'毛剑卿前场拿球，强突到禁区                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
73'小禁区左侧起脚打门，被张鹭单掌打出底线                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
74'申花获得左侧角球机会！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
74'角球开出到禁区，并未形成威胁！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
74'郑达伦前场和孙世林争抢头球！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
74'郑达伦的压人犯规！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
75'莫雷诺中场拿球，斜传左侧前场找曹赟定                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
75'可惜球速太快，先出了底线！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
75'曹赟定拼尽全力，也是没能拿到！！                   72'第72分钟毛剑卿中圈附近得球，一路杀奔禁区，最后在刘奕鸣干扰下强行起脚射门，张鹭把球扑出界外
74'申花获得左侧角球机会！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
74'角球开出到禁区，并未形成威胁！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
74'郑达伦前场和孙世林争抢头球！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
74'郑达伦的压人犯规！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
75'莫雷诺中场拿球，斜传左侧前场找曹赟定                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
75'可惜球速太快，先出了底线！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
75'曹赟定拼尽全力，也是没能拿到！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
76'王永珀中场断球，带了几步到前场                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
76'看到李帅站位靠前，直接起脚吊门！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
76'李帅后退中，单掌将球托出了横梁！！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
77'这脚吊门非常精彩，不是李帅，将贴着横梁下檐进网                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
77'申花换人：曹赟定和孙世林被换下，换上王寿挺和朱建荣！                   74'第74分钟王永珀带球过程中突然吊射，李帅快速退防，把球打出界外
77'这脚吊门非常精彩，不是李帅，将贴着横梁下檐进网                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
77'申花换人：曹赟定和孙世林被换下，换上王寿挺和朱建荣！                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
78'申花的换人名额用完，这基本是投降的节奏啊                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
78'张修维前场中路拿球，直塞球                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
78'出球后和防守球员相撞倒地                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
78'裁判示意不犯规，球被申花球员破坏                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
78'权健换人：王永珀被换下，换上19号王晓龙！                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
80'王寿挺拿球，分球莫雷诺                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
80'莫雷诺再给特维斯，起脚打门，被挡出                   77'第77分钟申花用朱建荣换下曹赟定，王寿挺换下孙世林
81'王寿挺禁区外拿球，分球右侧给朱建荣                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
81'李运秋套边，强突被放倒在地                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
81'申花获得前场右路的任意球机会！！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
81'特维斯任意球斜传禁区，张鹭出击，单拳打出                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
82'金基熙外围拿球，再传禁区，直接被张鹭拿到                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
82'权健前场进攻，过顶球到禁区找郑达伦                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'郑达伦前插接应，面对出击的李帅                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'一脚挑射，打高！！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'李帅和郑达伦相撞，有些受伤！！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'李帅简单治疗后，起身继续比赛！！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'权健的左侧角球机会！！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
83'角球开出到前点，郑达伦的头球，顶到了边网上！                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
84'莫雷诺中场拿球，分球王寿挺                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
84'王寿挺再给回来的特维斯                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
84'特维斯分球莫雷诺，再给王寿挺                   81'第81分钟天津前场打出快速配合，王晓龙插入禁区，李帅奋不顾身把王晓龙的射门挡出界外，帕托的角球奔前点而来，郑达伦零角度抢射偏出
89'张诚界外球给到张修维，张修维过顶球打身后，直接被李帅拿到                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
89'帕托前场拿球，面对逼抢，回传刘奕鸣                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
89'刘奕鸣过顶找王晓龙，直接出了边线！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
90'毛剑卿中场争抢，直接踩在了维特塞尔的脚面上！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
90'毛剑卿被主裁判出示了黄牌警告！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
90'权健前场右路的配合失误，传球出界！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
90'下半场比赛补时4分钟！！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
91'朱建荣中场失误，维特塞尔的抢断！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
92'维特塞尔背身拿球，特维斯身后上抢犯规！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
92'特维斯被主裁判出示了黄牌警告！！！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
92'王晓龙的任意球过顶找帕托，直接出了底线！                   89'第89分钟毛剑卿防守时踩在维特塞尔脚侧也吃到黄牌
