8'刘宇断球，直传，冯潇霆对吉利奥蒂犯规                   8'第8分钟，王栋右侧任意球大力扫传门前，吉利奥蒂禁区中路前冲垫射打偏
41'王上源后绕圈过了费尔南多                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
41'王上源引球出击交给郑智，郑智直塞，郜林回传，高拉特被张晓彬勾倒                   38'在费尔南多带动下，力帆持续在前场酝酿攻势；而恒大在第38分钟通过后场快速前传形成反击，郑龙前插已形成单刀球，但郑龙被判定越位，慢镜头显示判罚似有争议
48'上半场比赛结束了！                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
49'黄博文打进第二球                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
49'恒大淘宝反击，三打二的机会，郜林带球中远射被隋维杰挡得不远，黄博文中路插上头球顶进空门                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
50'张晓彬长传上来，曾诚冲出禁区将球解围                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
50'陈雷左路斜传，梅方胸部摁给队友                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
50'郑智交给了高拉特再分右路的王上源                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
51'王上源传中被阿杜阿断下                   48'第48分钟，恒大将比分扩大——郜林与黄博文合力在中场抢断，恒大迅速转入快攻，郜林禁区前大力低射被隋维杰扑出，禁区中路前冲的黄博文头球补射破门
54'郑龙快发任意球直传到禁区左侧，高拉特左脚强行倒三角传中，王上源点球点附近推射球进                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
54'王上源也打进了自己在中超联赛的第一粒进球                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
55'王上源来到恒大淘宝后得到了非常多的上场机会，虽然表现不算突出，但也慢慢站稳了脚跟                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
55'恒大淘宝继续围攻，于汉超左肋部位置得球被张晓彬推倒                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
56'郑龙送到后点，郜林高高跃起头球破网                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
57'这是郜林本赛季第10粒联赛进球，暂时是恒大的首号射手                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
57'冯劲右路横传被断                   54'第54分钟，恒大将比分扩大为3-0——高拉特在禁区左侧快速低传中路，王上源迎球推射破门
57'这是郜林本赛季第10粒联赛进球，暂时是恒大的首号射手                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
57'冯劲右路横传被断                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
58'郑龙右路得球，连续摆脱，左脚低射，隋维杰倒地慢了，球击中立柱内侧入网                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
58'恒大淘宝在4分钟内连进三球                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
58'冯劲右路的带球，黄博文将球拦截出边线                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
59'刚才重庆力帆作出两个人员调整，我们稍后为大家介绍                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
60'是8号刘卫东换下了5号隋东陆，22号崔永哲换下了6号王栋                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
60'王上源右路拿球，交中路的黄博文，吉利奥蒂断球                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
60'吉利奥蒂跑动中来一脚远射，曾诚向右侧将球摁在身下                   57'比赛迅速转向一边倒，恒大在第57分钟再次入球——于汉超赢得左侧底线前任意球，郑龙将球传至禁区中路，郜林高高跃起头球破门
46'费尔南多的左脚技术相当娴熟                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'上半场将补时2分钟                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'费尔南多是从葡超球队伊斯托梅尔租借过来                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'陈雷掷界外球违例                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
47'高拉特中场推进，张晓彬硬朗的卡位将球断下                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
47'球很快过渡到右路，冯劲传中踢在邹正后背出底线                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
47'重庆力帆前场右路的角球机会                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
47'王栋送到门前，一轮混战下梅方先出一脚解围                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
48'上半场比赛结束了！                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'下半场比赛开始！                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'恒大淘宝中圈开球                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'于汉超左路盘带，刘宇转身很快将球断下                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
46'阿杜阿长传上来，冯劲的带球，郑智拦截出边线                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
49'黄博文打进第二球                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
49'恒大淘宝反击，三打二的机会，郜林带球中远射被隋维杰挡得不远，黄博文中路插上头球顶进空门                   46'刚过1分钟恒大再度入球——高拉特中场挑传策动反越位攻势，郑龙右翼内切摆脱两人后于禁区前低射，皮球击中立柱内侧撞入网窝
67'郑智右路护好球，吉利奥蒂犯规                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
67'高拉特左路压上来，一对二轻轻一顺，阿杜阿抢在于汉超之前将球铲出底线                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
67'裁判给的是力帆的门球                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
68'郑智中场断球，高拉特直传禁区，郑龙斜插上来左脚打门打空了                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
68'张晓彬斜长传，陈雷内切被断                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
69'于汉超左得球一顺，王军辉插上小角度打门被隋维杰封堵出来                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
69'于汉超拿到第二点，回传，高拉特想第一时间传右路被拦截，球还在高拉特脚下右脚打门被隋东陆挡出来                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
70'广州恒大淘宝换人，28号金英权换下了16号黄博文                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
70'力帆的进攻，冯劲与吉利奥蒂打二过一配合突到禁区内单刀了，被吹越位                   67'但恒大在第67分钟再度入球——高拉特右路妙传中路空档，于汉超禁区弧处起脚施射将皮球送入球门上角
70'广州恒大淘宝换人，28号金英权换下了16号黄博文                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
70'力帆的进攻，冯劲与吉利奥蒂打二过一配合突到禁区内单刀了，被吹越位                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
71'慢镜来看，这个也是一个误判，冯劲后排插上并没有越位                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
72'金英权中路护球，被绊倒                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
72'恒大淘宝获得一个禁区前沿的任意球机会                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
72'金英权想抽一个落叶球，可惜皮球没有发生下坠                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
73'冯劲右路的突破，金英权将球拦截出边线                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
73'刘宇得球，内切交给崔永哲再转移左路刘卫东                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
73'陈雷也过来接应，传中被冯潇霆顶出来                   70'第70分钟，吉利奥蒂将球分到恒大禁区右侧，冯劲前插已是面对门将，但被判定越位
83'高拉特左路组织，与金英权过二一后高拉特后脚跟一顺到禁区左侧，郑龙停球硬吃过了阿杜阿后面对门将推射近角球进                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
83'冯劲右路下底传中被金英权拦截出底线                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
83'力帆右路的角球机会                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
83'维埃拉传中过不了金英权                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
84'恒大淘宝还能继续扩大比分吗？                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
85'高拉特左后场的挑球过人，冯劲手球犯规                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
85'郑智交给高拉特，恒大淘宝在慢慢地倒脚                   82'第82分钟，替补出场的赵旭日断球前冲时被崔永哲放倒，崔永哲领到黄牌
88'冯潇霆长传上来，郑龙拿球                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
88'交给了高拉特，回传到中路                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
88'金英权转移给王上源                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
88'与赵旭日二过一没有突过去                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
89'邹正挑传，王军辉拿球后被逼到禁区外                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
89'金英权中路直塞，给大了                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
89'崔永哲的挑传，被冯潇霆开出边线                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
89'下半场补时2分钟                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
90'刘宇弧线球传中被梅方开出来                   87'第87分钟，高拉特又以妙传策动进攻良机，王军辉禁区左侧面对门将时被隋维杰拦截
