2'比安凯蒂为维罗纳赢得一个任意球.                   1'第1分钟波澜不惊，两队门将第28分钟才有首次扑救，维维亚尼远射被内托化解
71'维罗纳球员沃佐雷克拼抢犯规,对手获得控球权.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
71'阿莱士-桑多罗为尤文图斯赢得一个任意球.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
72'维罗纳球员埃马纽尔森拼抢犯规,对手获得控球权.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
72'Juan Cuadrado为尤文图斯在右路,赢得一个任意球.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
72'尤文图斯换人,基耶里尼换下巴尔扎利                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
73'尤文图斯球员扎乍大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是Juan Cuadrado.                   70'第70分钟，迪巴拉左路斜传，扎扎头球顶进远角，但越位在先
85'维罗纳换人,Juanito Gómez换下托尼                   85'第85分钟，托尼被换下场，球迷起立鼓掌
86'维罗纳球员格雷科拼抢犯规,对手获得控球权.                   85'第85分钟，托尼被换下场，球迷起立鼓掌
86'扎乍为尤文图斯赢得一个任意球.                   85'第85分钟，托尼被换下场，球迷起立鼓掌
87'尤文图斯球员Juan Cuadrado大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿莱士-桑多罗.                   85'第85分钟，托尼被换下场，球迷起立鼓掌
47'赫兰德将球处理出底线,尤文图斯获得角球.                   47'2分钟后，马雷斯卡认定赫兰德推倒扎扎，再度吹罚点球
49'维罗纳球员维维安尼拼抢犯规,对手获得控球权.                   47'2分钟后，马雷斯卡认定赫兰德推倒扎扎，再度吹罚点球
49'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   47'2分钟后，马雷斯卡认定赫兰德推倒扎扎，再度吹罚点球
50'维罗纳球员皮萨诺拼抢犯规,对手获得控球权.                   47'2分钟后，马雷斯卡认定赫兰德推倒扎扎，再度吹罚点球
50'莱米纳为尤文图斯在对方半场,赢得一个任意球.                   47'2分钟后，马雷斯卡认定赫兰德推倒扎扎，再度吹罚点球
