1'比赛开始!国安队率先开球！                   1'第1分钟国安给出了前压姿态，北京体育频道表示“舜天在主场也是防守反击阵型”
32'可以说上半场的比赛由于那个进球发生了很大的变化。                   29'国安此后加快冲击节奏，而舜天在第29分钟又制造威胁，艾利亚斯在国安禁区线附近反抢断球并妙传禁区右侧空档，吴曦迎上大力攻门被杨智拦截
31'今天国安的进攻全是在右路张呈栋这一侧发起的。                   31'第31分钟，张稀哲中路斜传舜天禁区，德扬甩头攻门稍偏出
31'国安的机会！张稀哲传中找到德扬，头球打门稍稍偏出！                   31'第31分钟，张稀哲中路斜传舜天禁区，德扬甩头攻门稍偏出
32'可以说上半场的比赛由于那个进球发生了很大的变化。                   31'第31分钟，张稀哲中路斜传舜天禁区，德扬甩头攻门稍偏出
34'张呈栋之前随国家队打了两场比赛，看上去有点疲劳。                   31'第31分钟，张稀哲中路斜传舜天禁区，德扬甩头攻门稍偏出
37'球进了！！！                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
37'国安队扳平了！                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
38'依靠任意球，张稀哲传球徐云龙头球打入死角！                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
38'场上比分变成1比1了，这下比赛好看了！                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
39'国安扳平比分之后越来越有自信了，再次获得角球机会。                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
39'不过这个球太靠近门将了，被邓小飞打出。                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
40'埃雷尔森上半场就这么一个失误就被徐云龙抓住了，只能说高手过招不容有失啊。                   37'第37分钟，国安利用张呈栋赢得的任意球机会扳平比分――张稀哲传球精准打到禁区中路，徐云龙前冲中头球攻门，皮球撞立柱内侧飞入网内，比分变为1-1
58'慢镜头来看是打在了马季奇的肚子上啊！                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
58'点球不可更改，这对舜天是个好机会！                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
59'吴曦下半场第三次突到禁区，终于有了回报。                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
59'安塔尔点球命中！2比1                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
59'舜天下半场的猛攻终于收到回报，虽然这是一个误判。                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
61'现在舜天不断的施压，对于国安来说现在很困难啊。                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
61'比赛来到60分钟，舜天2比1领先！                   58'进入下半场，吴曦连有犀利突破、攻门表现；第58分钟，舜天正是利用他赢得的点球再度领先――舜天前场右侧界外球掷入后，艾利亚斯将球做向中路，吴曦趟球起动摆脱雷腾龙与马季奇的夹击，禁区内又摆脱了徐云龙的铲抢，在其于近门柱传中时皮球被倒地封堵的马季奇挡出，站在禁区内的石祯禄认定马季奇手球、判定点球，并向马季奇出示黄牌，马季奇掀起球衣示意皮球是打在了他的肚子上；安塔尔操刀点球破门，舜天2-1领先
65'国安在前场组织，球进了！                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
65'德扬进球了！！                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
66'又是一个头球，张呈栋边路起球德扬头球后蹭，太漂亮了！                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
66'舜天瞬间的反击给了艾利亚斯机会！打门被杨智挡出，角球！                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
67'这时候舜天绝对想要迅速进球再压制住国安。                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
68'比赛进行了66分钟了，比分变成了2比2！                   65'第65分钟，国安再度扳平――张呈栋右翼送出传中，德扬于前点甩头破门，比分变为2-2
75'点球！埃雷尔森对德扬的犯规！                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
75'这个球埃雷尔森也没有申诉。                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
76'张稀哲的点球进球了！                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
76'国安反超了！！                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
77'两度落后两度扳平，终于在第75分钟的时候领先了！                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
77'刘建业对马季奇的犯规也是领到了一张黄牌，非常急躁啊。                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
78'现在舜天大举压上，难道又是3比3？                   75'第75分钟，国安利用点球将比分超出――陈志钊中路斜传舜天禁区，德扬在护球线路上与身后抢位的埃雷尔森接触倒地，石祯禄果断判定点球；张稀哲操刀点球破门，国安3-2超出
77'两度落后两度扳平，终于在第75分钟的时候领先了！                   77'第77分钟，刘建业前场拼抢中造成马季奇倒地，领到黄牌的刘建业很激动地指责马季奇假摔，爆出了粗口
77'刘建业对马季奇的犯规也是领到了一张黄牌，非常急躁啊。                   77'第77分钟，刘建业前场拼抢中造成马季奇倒地，领到黄牌的刘建业很激动地指责马季奇假摔，爆出了粗口
78'现在舜天大举压上，难道又是3比3？                   77'第77分钟，刘建业前场拼抢中造成马季奇倒地，领到黄牌的刘建业很激动地指责马季奇假摔，爆出了粗口
80'比赛还有最后10几分钟了，舜天必须要想想办法了。                   77'第77分钟，刘建业前场拼抢中造成马季奇倒地，领到黄牌的刘建业很激动地指责马季奇假摔，爆出了粗口
85'徐云龙被托洛扎踢到了脸，这个动作很危险啊。                   85'第85分钟，托洛扎拼抢中扫到了徐云龙额头，北京体育频道表示“这是无心的意外”
86'比赛已经85分钟了。                   85'第85分钟，托洛扎拼抢中扫到了徐云龙额头，北京体育频道表示“这是无心的意外”
87'舜天的攻势总是在半场刚过就被化解了。                   85'第85分钟，托洛扎拼抢中扫到了徐云龙额头，北京体育频道表示“这是无心的意外”
88'现在又是国安的进攻。                   85'第85分钟，托洛扎拼抢中扫到了徐云龙额头，北京体育频道表示“这是无心的意外”
88'邵佳一塞给陈志钊被后卫挡出。                   85'第85分钟，托洛扎拼抢中扫到了徐云龙额头，北京体育频道表示“这是无心的意外”
90'比赛已经90分钟了。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
90'舜天禁区内捅射被杨智拿到了。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
91'下半场比赛要补时4分钟。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
91'陈志钊的防守很到位。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
92'国安反击的机会啊，被马季奇的射门浪费了。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
92'现在舜天打的很乱啊。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
93'朴成要换下德扬了。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
93'现在还有1分多钟，看看会不会有什么变数。                   90'收官阶段国安力求控制场面；舜天在90分钟借任意球形成连续攻门，但未制造实质威胁
