2'阿圭罗中场带球往前走                   2'第2分钟，前阿森纳边卫詹金森失误，阿圭罗禁区前射门偏转后被阿德里安扑出
59'萨科不做调整直接抽射将球打高                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
59'曼城换人，约维蒂奇换下哲科                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
60'席尔瓦前场拿球送直塞到禁区里                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
61'阿圭罗插上后打门被门将扑出！！                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
61'曼城这边还有机会                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
61'阿圭罗跟上再补又是被后卫用腿挡出                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
61'曼城这边的攻势渐渐起来了                   58'第58分钟，诺布尔传球，萨科禁区右侧倚住克里希的凌空垫射高出
60'席尔瓦前场拿球送直塞到禁区里                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
61'阿圭罗插上后打门被门将扑出！！                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
61'曼城这边还有机会                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
61'阿圭罗跟上再补又是被后卫用腿挡出                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
61'曼城这边的攻势渐渐起来了                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
63'克雷斯维尔中场拿球被侵犯                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
63'控球比上，曼城现在是60%                   60'第60分钟，席尔瓦传球，阿圭罗禁区左侧低射被阿德里安用腿挡出，里德解围失误，阿圭罗小禁区左侧射门又被詹姆斯-科林斯飞铲封堵
46'西汉姆任意球打了一个战术                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'前场的直塞到了禁区内，阿玛尔菲塔诺得球后横敲到中路                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'这球西汉姆两点的抢点都没有碰到                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'这球可惜啊                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'上半场补时2分钟！                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
47'曼城现在联赛中几连胜？[qiangda]                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
48'席尔瓦拿球送直塞到禁区内                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
48'纳瓦斯禁区内拿球被包夹                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
48'底线附近阿圭罗横敲被阿德里安用腿挡出                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
48'曼城获得角球机会                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'角球送后点威胁不大                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'曼城右路再起送禁区内                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'阿德里安将球摘得                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'下半场比赛开始！                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'下半场比赛由西汉姆联开球                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'西汉姆左路下底被孔帕尼解围出底线                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'西汉姆联角球送前点                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
46'这球被曼城顶了出来                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
47'西汉姆联左路起球送后点                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
47'萨巴莱塔头球解围出来                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
48'宋前场禁区前沿脚底打滑用手抱住了球                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'宋倒地后被对方带了一下头                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'裁判给了宋一张黄牌！                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'纳瓦斯今天在右路也是没有找到太多的机会                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
49'克里希转移的时候失误了                   46'1分钟后，约维蒂奇传球，亚亚-图雷远射高出
74'亚亚-图雷禁区内打门击中横梁出了底线                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
74'曼城已经两脚打门击中了横梁                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
75'西汉姆联进球了！！！                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
75'萨科！！                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
75'[此时此刻值得来杯嘉士伯]                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
77'西汉姆左路起球送后点，萨科起跳后头球攻门，乔-哈特在球过门线后将球捞了出来，2-0！                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
77'席尔瓦！！！                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
77'曼城扳回一球！！                   74'第74分钟，席尔瓦禁区左侧回传，亚亚-图雷禁区边缘内弧线球射门再次憾中横梁
75'西汉姆联进球了！！！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
75'萨科！！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
75'[此时此刻值得来杯嘉士伯]                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
77'西汉姆左路起球送后点，萨科起跳后头球攻门，乔-哈特在球过门线后将球捞了出来，2-0！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
77'席尔瓦！！！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
77'曼城扳回一球！！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
78'席尔瓦左路利用个人能力，连续摆脱多名防守球员后兜远角将球打进！                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
78'[此时此刻值得来杯嘉士伯]                   75'西汉姆第75分钟扩大比分，克雷斯维尔左路传中，萨科8码处力压克里希头球破门，2-0
75'西汉姆联进球了！！！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
75'萨科！！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
75'[此时此刻值得来杯嘉士伯]                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
77'西汉姆左路起球送后点，萨科起跳后头球攻门，乔-哈特在球过门线后将球捞了出来，2-0！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
77'席尔瓦！！！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
77'曼城扳回一球！！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
78'席尔瓦左路利用个人能力，连续摆脱多名防守球员后兜远角将球打进！                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
78'[此时此刻值得来杯嘉士伯]                   75'曼城第75分钟扳回一城，纳瓦斯传球，席尔瓦右路内切至禁区边缘左脚射入远角，1-2
79'曼城这边，米尔纳被换上场                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
79'西汉姆这边雷德也是受伤到场边接受治疗                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
79'现在比赛的悬念又回来了                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
80'曼城这边机会啊                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
80'阿圭罗禁区内打门被后卫挡了出来                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
80'米尔纳挑射将球打高                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
81'阿圭罗禁区内横向的转移失误了                   79'第79分钟，约维蒂奇头球摆渡，阿圭罗禁区内的射门被詹姆斯-科林斯封堵，纳瓦斯禁区边缘外挑射高出
83'亚亚-图雷中场拿球给到右路                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
83'席尔瓦中路拿球分边                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
83'这球被回防的萨科断掉                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
84'萨科禁区内拿球突破摔倒                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
84'裁判示意这球没有犯规                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
84'萨科受伤倒地                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
84'但曼城球员依旧没有先将球踢出边线                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
85'这次裁判吹停了比赛                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
86'中场，孔帕尼身后推人犯规                   83'第83分钟，诺布尔禁区左侧铲射被乔-哈特没收
90'亚亚-图雷禁区内左脚打门打在边网上                   90'第90分钟，米尔纳传球，亚亚-图雷禁区左肋8码处射门打在边网
91'下半场补时5分钟！                   90'第90分钟，米尔纳传球，亚亚-图雷禁区左肋8码处射门打在边网
93'曼城左路带球突破到底线                   90'第90分钟，米尔纳传球，亚亚-图雷禁区左肋8码处射门打在边网
