9'AC米兰球员德希利奥一脚直塞球给梅内斯,但是边裁举旗显示后者已经越位.                   9'开场9分钟，鲁伊外围抽射偏出
23'恩波利球员威尔第拼抢犯规,对手获得控球权.                   21'第21分钟，恩波利任意球直传禁区右侧，塔瓦诺背身外脚背做球，普恰雷利在门前9米处铲进右下角，2比0
31'暂停结束,球员们重新开始比赛.                   30'第30分钟，AC米兰再遭打击，范欣克尔似乎右脚踝扭伤，被担架抬下，博纳文图拉替补出场
31'AC米兰换人,博纳文图拉上,Marco Van Ginkel因伤下场.                   30'第30分钟，AC米兰再遭打击，范欣克尔似乎右脚踝扭伤，被担架抬下，博纳文图拉替补出场
31'恩波利球员威尔第大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是Vincent Laurini.                   30'第30分钟，AC米兰再遭打击，范欣克尔似乎右脚踝扭伤，被担架抬下，博纳文图拉替补出场
33'AC米兰球员萨帕塔拼抢犯规,对手获得控球权.                   30'第30分钟，AC米兰再遭打击，范欣克尔似乎右脚踝扭伤，被担架抬下，博纳文图拉替补出场
33'塔瓦诺为恩波利赢得一个任意球.                   30'第30分钟，AC米兰再遭打击，范欣克尔似乎右脚踝扭伤，被担架抬下，博纳文图拉替补出场
34'AC米兰球员本田圭佑大禁区外左脚射门,被防守球员封堵.给他传球的是梅内斯.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
34'鲁伊将球处理出底线,AC米兰获得角球.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
35'AC米兰球员蒙塔里拼抢犯规,对手获得控球权.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
35'威尔第为恩波利在左路,赢得一个任意球.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
36'黄牌！AC米兰球员蒙塔里因为恶意犯规,被主裁判出示黄牌.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
37'萨帕塔为AC米兰赢得一个任意球.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
37'恩波利球员塔瓦诺拼抢犯规,对手获得控球权.                   34'第34分钟，本田圭佑接到梅内传球，禁区边缘左脚射门被鲁伊挡出底线
41'射门!!!AC米兰球员托雷斯大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是蒙塔里.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
42'博内拉为AC米兰赢得一个任意球.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
42'恩波利球员维奇诺拼抢犯规,对手获得控球权.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
42'黄牌！恩波利球员维奇诺因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
43'进球啦！！！AC米兰球员托雷斯大禁区中央头球,球从左上角飞进球门,球进了!助攻的是阿巴特. 恩波利 2-1 AC米兰.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
44'AC米兰球员德希利奥一脚直塞球给梅内斯,但是边裁举旗显示后者已经越位.                   41'第41分钟，蒙塔里传球，托雷斯禁区右侧扣过后卫，在门前10米处左脚推射被塞佩得到
43'进球啦！！！AC米兰球员托雷斯大禁区中央头球,球从左上角飞进球门,球进了!助攻的是阿巴特. 恩波利 2-1 AC米兰.                   43'AC米兰第43分钟扳回一分
44'AC米兰球员德希利奥一脚直塞球给梅内斯,但是边裁举旗显示后者已经越位.                   43'AC米兰第43分钟扳回一分
45'恩波利球员维奇诺大禁区外尝试左脚射门,可惜皮球高出球门.                   43'AC米兰第43分钟扳回一分
45'+1'AC米兰球员蒙塔里拼抢犯规,对手获得控球权.                   43'AC米兰第43分钟扳回一分
45'+1'威尔第为恩波利赢得一个任意球.                   43'AC米兰第43分钟扳回一分
45'+3'上半场结束,恩波利 2-1 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   43'AC米兰第43分钟扳回一分
45'AC米兰换人,波利换下蒙塔里                   43'AC米兰第43分钟扳回一分
46'射门!!!恩波利球员威尔第大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Manuel Pucciarelli.                   43'AC米兰第43分钟扳回一分
45'恩波利球员维奇诺大禁区外尝试左脚射门,可惜皮球高出球门.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
45'+1'AC米兰球员蒙塔里拼抢犯规,对手获得控球权.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
45'+1'威尔第为恩波利赢得一个任意球.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
45'+3'上半场结束,恩波利 2-1 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
45'AC米兰换人,波利换下蒙塔里                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
46'射门!!!恩波利球员威尔第大禁区外右脚射门,被对方守门员横身扑出.给他传球的是Manuel Pucciarelli.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
47'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
47'鲁伊为恩波利赢得一个任意球.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
48'德希利奥为AC米兰在左路,赢得一个任意球.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
48'恩波利球员Vincent Laurini拼抢犯规,对手获得控球权.                   45'第45分钟，贝西诺扣过博内拉，禁区前沿左脚打高
54'恩波利球员Manuel Pucciarelli大禁区中央左脚射门,被防守球员封堵.给他传球的是威尔第.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
54'博内拉将球处理出底线,恩波利获得角球.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
55'恩波利球员塔瓦诺大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维奇诺.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
56'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
56'Manuel Pucciarelli为恩波利在右路,赢得一个任意球.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
57'射门!!!AC米兰球员梅内斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是本田圭佑.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
57'进球啦！！！AC米兰球员本田圭佑大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是阿巴特. 恩波利 2-2 AC米兰.                   54'第54分钟，韦尔迪得球传禁区，普恰雷利左脚射门被博内拉挡出底线
57'射门!!!AC米兰球员梅内斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是本田圭佑.                   57'第57分钟，梅内过人距门18米处左脚低射被塞佩没收
57'进球啦！！！AC米兰球员本田圭佑大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是阿巴特. 恩波利 2-2 AC米兰.                   57'第57分钟，梅内过人距门18米处左脚低射被塞佩没收
58'AC米兰球员波利拼抢犯规,对手获得控球权.                   57'第57分钟，梅内过人距门18米处左脚低射被塞佩没收
58'Mirko Valdifiori为恩波利赢得一个任意球.                   57'第57分钟，梅内过人距门18米处左脚低射被塞佩没收
62'AC米兰球员梅内斯大禁区外右脚射门,命中门柱横梁.给他传球的是托雷斯.                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
62'AC米兰球员梅内斯一脚直塞球给博纳文图拉,但是边裁举旗显示后者已经越位.                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
63'AC米兰球员托雷斯大禁区右侧右脚射门,被防守球员封堵.给他传球的是波利.                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
64'AC米兰球员托雷斯球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿巴特.                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
64'恩波利换人,马卡罗内换下塔瓦诺                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
65'AC米兰球员本田圭佑大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅内斯.                   62'第62分钟，托雷斯禁区左侧过人连续过人回传，梅内在门前20米处抽射击中横梁
47'AC米兰球员博纳文图拉拼抢犯规,对手获得控球权.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
47'鲁伊为恩波利赢得一个任意球.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
48'德希利奥为AC米兰在左路,赢得一个任意球.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
48'恩波利球员Vincent Laurini拼抢犯规,对手获得控球权.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
50'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
50'Manuel Pucciarelli为恩波利赢得一个任意球.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
50'黄牌！AC米兰球员德希利奥因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，阿巴特右路外脚背直传，托雷斯禁区右侧距门8米处小角度射门偏出右门柱
76'恩波利换人,辛宁斯基换下Manuel Pucciarelli                   76'第76分钟，杰林斯基换下普恰雷利
76'威尔第为恩波利在右路,赢得一个任意球.                   76'第76分钟，杰林斯基换下普恰雷利
76'AC米兰球员博纳文图拉危险动作,对手获得控球权.                   76'第76分钟，杰林斯基换下普恰雷利
77'射门!!!恩波利球员马卡罗内大禁区外左脚射门,被对方守门员横身扑出.给他传球的是Daniele Croce.                   76'第76分钟，杰林斯基换下普恰雷利
77'恩波利球员Mirko Valdifiori拼抢犯规,对手获得控球权.                   76'第76分钟，杰林斯基换下普恰雷利
77'本田圭佑为AC米兰赢得一个任意球.                   76'第76分钟，杰林斯基换下普恰雷利
79'恩波利球员Daniele Croce拼抢犯规,对手获得控球权.                   76'第76分钟，杰林斯基换下普恰雷利
79'博纳文图拉为AC米兰在对方半场,赢得一个任意球.                   76'第76分钟，杰林斯基换下普恰雷利
80'AC米兰球员本田圭佑大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
81'AC米兰换人,帕齐尼换下托雷斯                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
82'恩波利球员马卡罗内拼抢犯规,对手获得控球权.                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
82'德容为AC米兰在对方半场,赢得一个任意球.                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
83'马卡罗内为恩波利赢得一个任意球.                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
83'AC米兰球员博内拉拼抢犯规,对手获得控球权.                   80'第80分钟，本田圭佑在门前25米处左脚任意球偏出右门柱
85'AC米兰球员梅内斯一脚直塞球给阿巴特,但是边裁举旗显示后者已经越位.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
85'恩波利球员Mirko Valdifiori被主裁判出示了一张黄牌.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
86'恩波利球员Mirko Valdifiori拼抢犯规,对手获得控球权.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
86'德容为AC米兰赢得一个任意球.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
86'恩波利球员Mirko Valdifiori因为恶意犯规,被裁判出示了第二张黄牌.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
87'AC米兰球员梅内斯一脚直塞球给波利,但是边裁举旗显示后者已经越位.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
87'恩波利球员塞佩一脚直塞球给马卡罗内,但是边裁举旗显示后者已经越位.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
88'鲁伊将球处理出底线,AC米兰获得角球.                   85'第85分钟，瓦尔迪菲奥里中场犯规吃到黄牌，随即又蹬踏德容，再吃黄牌下场
87'AC米兰球员梅内斯一脚直塞球给波利,但是边裁举旗显示后者已经越位.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
87'恩波利球员塞佩一脚直塞球给马卡罗内,但是边裁举旗显示后者已经越位.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
88'鲁伊将球处理出底线,AC米兰获得角球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
89'Lorenzo Tonelli将球处理出底线,AC米兰获得角球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
89'射门!!!AC米兰球员萨帕塔大禁区中央头球,被对方守门员横身扑出.给他传球的是波利.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'AC米兰球员梅内斯一脚直塞球给阿巴特,但是边裁举旗显示后者已经越位.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'马卡罗内为恩波利在左路,赢得一个任意球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'AC米兰球员波利拼抢犯规,对手获得控球权.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+1'鲁伊将球处理出底线,AC米兰获得角球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+2'AC米兰球员阿巴特大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是德希利奥.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+3'维奇诺为恩波利赢得一个任意球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+3'AC米兰球员帕齐尼危险动作,对手获得控球权.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+3'AC米兰球员本田圭佑大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是博纳文图拉.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+4'恩波利球员马卡罗内拼抢犯规,对手获得控球权.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+4'博内拉为AC米兰赢得一个任意球.                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
90'+5'下半场结束,恩波利 2-2 AC米兰                   87'第87分钟，波利左路传中，萨帕塔后点距门8米处头球被塞佩摘到
