1'上半场比赛开始了！                   1'弗雷泽第1分钟右路传中，路易斯解围险些自摆乌龙，库尔图瓦及时扑出
18'科斯塔停球转身打门，球打在亚当-史密斯头折射入网                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
19'切尔西还是取得领先                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
20'阿特分边右路被断了                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
20'切尔西又有机会                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
20'阿扎尔进球了！                   17'切尔西第17分钟取得领先，摩西切入禁区右侧低传，科斯塔拉球转身后12码处左脚抽射，皮球打中亚当-史密斯偏转入左下角
29'丹尼尔斯左路传中，阿弗比中路凌空扫射，打在立柱上                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
30'坎特交给摩西，阿特补防过来将球破坏出边线                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
30'库克开大脚上来                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
31'被史密斯顶一下                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
31'科斯塔接应被放倒                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
31'阿斯皮利奎塔直传到禁区，佩德罗接应晃开角度                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
31'佩德罗左脚打门打飞了                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
31'丹尼尔斯回传给库克，长传上来                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
32'阿弗比左路来了，往回                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
32'横传，阿弗比转移给弗雷泽                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
32'传中被坎特断下，再长传打对方身后                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
32'这球传得落点不好                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
32'丹尼尔斯左路回传给威尔谢尔                   29'伯恩茅斯第29分钟险些破门，丹尼尔斯传中，阿弗比12码处铲射，皮球击中右侧立柱弹回又打在库尔图瓦背上滑门而出
42'阿弗比右路来了                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
43'交给约书亚金，带球到禁区右犄角大力轰门，打在了路易斯身上折射入网！                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
43'史密斯右路断球，交给弗雷泽                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
43'推进上来直传被拦截                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
44'威尔谢尔分边右路的弗雷泽                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
44'过了阿隆索下底传中，阿斯皮利奎塔内收头球解围                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
44'如果阿斯皮利奎塔没有顶到球，约书亚金准备头球砸球门了                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
44'库克掷手榴弹，史密斯头球一蹭到半空                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
45'库尔图瓦将球摘下                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
45'孔蒂开始紧张了，出来喊了几句                   42'伯恩茅斯第42分钟扳回一城，阿弗比反击中传球，约书亚-金右路禁区边缘劲射打中路易斯偏转入近角，1-2
68'伯恩茅斯准备换人                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
68'阿隆索任意球打弧线球直挂对方球门右上角，球进了！！！                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
70'摩西右路传中被顶出                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
70'外围还是切尔西的控球                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
70'摩西突到右肋部，传中被封出底线                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
71'阿扎尔发角球，卡希尔头球顶到弗雷泽后背出底线                   68'切尔西第68分钟再度拉开差距，库克对科斯塔犯规，阿隆索22码处任意球直接射门，皮球绕过人墙直入右上角，博鲁奇毫无反应，3-1
