2'赵宏略被对方犯规了                   2'比赛开始第2分钟，雷纳迪尼奥右路分球，唐淼得球被逼抢被解围出底线
20'富力前场反击推进，陈志钊突入禁区前分右侧                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
20'球被回防的中卫拦截下来                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
21'泰达获得前场左侧定位球                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
21'任意球开到禁区，中路的巴斯蒂安斯左脚打门，球被防守球员挡出底线                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
21'角球开出来，并没有形成威胁                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
22'到目前为止，泰达控球率达到了63%啊                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
22'泰达左路进攻，赢得了一个角球                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
22'角球找前点，被解围出来                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
23'外围左路，李源一起球传后点，巴斯蒂安斯争顶没顶到                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
23'米尔克前场右路被三人围抢，选择回传                   20'第20分钟，赵宏略过顶长传，阿奇姆彭左侧底线附近得球面对两名防守队员突破时，被对手放倒，泰达获得前场左侧定位球机会
27'泰达扳平了                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
27'米克尔的进球                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
28'阿奇姆彭禁区左侧接球，连续的盘带摆脱防守到了左侧底线，穿裆摆脱后一脚横传，门前米克尔包抄脚后跟打门，皮球慢悠悠滚进网窝，泰达1-1富力                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
29'阿奇姆彭右路突破，禁区右侧底线附近半高球传中                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
29'皮球被防守球员封堵出底线，阿奇姆彭投诉对方有手球，裁判未予判罚                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
29'泰达反超了                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
30'阿奇姆彭右侧角球开到前点，惠家康头球后蹭，顶进远角，泰达2-1富力                   27'第27分钟，泰达反超比分，李源一直塞，阿奇姆彭连续原地转陀螺式的控球后劲射，球弹回脚下阿奇姆彭在底线脚后跟穿裆过掉弋腾后传中，米克尔用身体卡住黄政宇后冷静转身巧射，球从黄政宇裆下慢悠悠滚入网窝，泰达1-1扳平比分
29'阿奇姆彭右路突破，禁区右侧底线附近半高球传中                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
29'皮球被防守球员封堵出底线，阿奇姆彭投诉对方有手球，裁判未予判罚                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
29'泰达反超了                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
30'阿奇姆彭右侧角球开到前点，惠家康头球后蹭，顶进远角，泰达2-1富力                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
32'富力右路进攻，陈志钊外围起球传后点，丁海峰包抄头球攻门顶高                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
32'在包抄完成射门后，丁海峰也是受伤倒地                   29'第29分钟，阿奇姆彭右侧角球开到前点，惠家康头球后蹭顶进远角，泰达2-1领先富力
39'惠家康禁区前分球左路                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
39'左路的传中球前点被顶出边线                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
40'惠家康左路节奏变化，被防守的唐淼铲倒                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
40'任意球开到前点，被解围出去                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
41'外围惠家康起脚打远射，皮球偏出左侧球门                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
41'高嘉润前场上抢，踢倒了弋腾                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
42'丁海峰左路起球，曹阳先顶到一点                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
42'米克尔外围急停打远射，没有打上力量，球被防守球员拦截                   39'第39分钟，泰达队进攻，惠家康左路节奏变化，被防守的唐淼铲倒，泰达队任意球开到前点，被解围出去，外围惠家康起脚打远射，皮球偏出左侧球门
49'雷纳迪尼奥后场长传被顶出                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
49'乌索中场上抢断球                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
50'常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
51'雷纳迪尼奥右路挑传球，被杜佳拿到                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
51'李提香中场 推给乌索                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
52'丁海峰中场长传球，扎哈维停球后给到左侧，陈志钊再给禁区左侧，常飞亚得球拨开角度抽射，被杜佳倒地抱住                   49'第49分钟，富力进攻，常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住
53'米克尔后场推人犯规                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
53'乌索斜传给到右路                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
53'唐淼推回去，泰达后场断球                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
53'米克尔中圈给到右路的白岳峰                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
54'阿奇姆彭前场和李源一打撞墙，球到禁区被门将拿到                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
55'李提香后场盘带，给过了半场                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
55'泰达后场断球，曹阳给到中圈                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
55'阿奇姆彭策马扬鞭，球被断带哦                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
56'李源一后场被踢倒在地                   53'第53分钟，泰达进攻，阿奇姆彭前场和李源一打撞墙配合，球到禁区被门将拿到
63'惠家康左路突破，被唐淼铲出边线                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
63'雷纳迪尼奥后场直传，被巴斯蒂安斯拦截                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
64'白岳峰右路传中，被丁海峰挡出底线                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
64'泰达获得右侧角球机会                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
64'阿奇姆彭角球开到禁区，被程月磊打出                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
66'姜积弘边路铲倒米克尔，吃到了一张黄牌                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
66'这个动作还是比较凶的                   63'第63分钟，泰达获得角球机会，阿奇姆彭角球开到禁区，被程月磊打出
70'前点被挡到后，球被程月磊没收                   70'第70分钟，泰达换人，买提江替下高嘉润
70'泰达有球员倒地了                   70'第70分钟，泰达换人，买提江替下高嘉润
70'郭皓是被闷了一脚                   70'第70分钟，泰达换人，买提江替下高嘉润
71'泰达换人，买提江替下高嘉润                   70'第70分钟，泰达换人，买提江替下高嘉润
72'陈志钊后场带球，给到李提香                   70'第70分钟，泰达换人，买提江替下高嘉润
72'再分球左路                   70'第70分钟，泰达换人，买提江替下高嘉润
72'常飞亚盘带，被白岳峰踢出底线                   70'第70分钟，泰达换人，买提江替下高嘉润
73'角球开到禁区，中路乌索得球给到右侧，扎哈维原地摆腿打门，球被杜佳抱住                   70'第70分钟，泰达换人，买提江替下高嘉润
73'雷纳迪尼奥中场断球给到乌索                   70'第70分钟，泰达换人，买提江替下高嘉润
73'角球开到禁区，中路乌索得球给到右侧，扎哈维原地摆腿打门，球被杜佳抱住                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
73'雷纳迪尼奥中场断球给到乌索                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
74'米克尔前场盘带给到右路                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
74'阿奇姆彭右路突破，摔倒在了禁区里，裁判没有示意犯规                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
76'雷纳迪尼奥外围给到右路                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
76'唐淼右路得球，出了底线                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
76'裁判给了一个门球                   73'第73分钟，阿奇姆彭右路突破后摔倒在了禁区里，裁判没有示意犯规
77'裁判掏出了黄牌，补给赵宏略踢倒雷纳迪尼奥的犯规                   77'第77分钟，泰达换人，杨帆替下李源一
78'唐淼右路传中球，皮球弹地后陈志钊凌空抽射被白岳峰头球解围                   77'第77分钟，泰达换人，杨帆替下李源一
78'泰达换人，杨帆替下李源一                   77'第77分钟，泰达换人，杨帆替下李源一
78'角球开到禁区，乌索中路头球顶高                   77'第77分钟，泰达换人，杨帆替下李源一
80'阿奇姆彭禁区外围得球远射，被防守球员封堵                   77'第77分钟，泰达换人，杨帆替下李源一
84'富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出                   84'第84分钟，富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出
85'米克尔后场边路被纠缠，这下对手犯规了                   84'第84分钟，富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出
87'惠家康后场送长传，给到了黄政宇                   84'第84分钟，富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出
87'巴斯蒂安斯后场断球给到左侧                   84'第84分钟，富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出
87'惠家康左侧送直传，巴斯蒂安斯跑反了                   84'第84分钟，富力右侧角球开出，中路的弋腾蹭下来，打到了乌索肩膀上弹向球门，杜佳迅速倒地将球扑出
49'雷纳迪尼奥后场长传被顶出                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
49'乌索中场上抢断球                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
50'常飞亚禁区前沿低射，球被乌索半路拦截，小禁区线上得球转身打门，皮球击中左侧立柱后，被杜佳抱住                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
51'雷纳迪尼奥右路挑传球，被杜佳拿到                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
51'李提香中场 推给乌索                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
52'丁海峰中场长传球，扎哈维停球后给到左侧，陈志钊再给禁区左侧，常飞亚得球拨开角度抽射，被杜佳倒地抱住                   49'下半场补时4分钟，第91分钟，雷纳迪尼奥拼抢犯规，吃到了一张黄牌
