1'主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟展开积极攻势
51'不过感觉他距离进球已经很近了                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
51'立柱~~~                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
51'挽救了马竞                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
52'内马尔的射门轰在了立柱上面                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
52'巴萨进攻掀起了狂潮                   49'巴萨第49分钟险些扳平，内马尔传中，梅西10码处胸部停球后倒钩射门，皮球擦右侧立柱偏出
63'苏亚雷斯~~~                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
63'Gooooooooooooooooooooooal~~~                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
63'苏牙第一次射门~就进球了                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
64'梅西分边，阿尔维斯的下底传中~~来到后点无人防守的阿尔巴凌空抽射打到门前，苏牙轻松的将球挡入了空门！                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
64'拉菲尼亚换下了拉基蒂奇                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
65'回到比赛，巴萨继续围攻                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
65'阿尔维斯被吹了手球犯规                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
66'慢动作来看阿尔维斯接球的时候确实是上臂碰到了皮球                   63'巴萨第63分钟扳平，阿尔维斯禁区右侧传中，阿尔巴远点第一时间传回门前，苏亚雷斯近距离打入空门，1-1
74'苏亚雷斯~~~                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
74'Gooooooooooooooooal~~~                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
74'苏亚雷斯完美复活~~~                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
74'两次打正，两个进球~                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
75'苏亚雷斯跟阿尔维斯的配合，阿尔维斯右路传中~无人看防的苏亚雷斯小禁区前头球攻门~~将球打入                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
76'马竞再次换人                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
76'换下了格里兹曼                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
77'上来的是22号托马斯-帕耶                   74'巴萨第74分钟反超比分，梅西吸引防守后传球，苏亚雷斯分球，阿尔维斯禁区右侧传中，无人防守的苏亚雷斯12码处头球破门，2-1
