2'右侧找到姜积弘，再给陈伟铭                   2'比赛开始后第2分钟，富力右路陈伟铭突破杀到底线附近起球传中，被门将直接没收
48'朱宝杰斜传到右路                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'裁判哨响了，上半场结束                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'富力主场作战先丢一球的不利情况下，连入2球，上半场实现了反超                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'富力优势还是比较明显的，人和主要的进攻都集中在反击，而富力的传控打法踢的很顺畅                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'下半场回来                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'下半场开始，人和开球                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'回敲给史亮，，长传到右路给向汉天                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'低球传中，前点，，无人跟进啊                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'程月磊把球没收                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'大脚开起来                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
46'前场左侧拼抢，，，陈杰踢出边线                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'左侧界外球，右侧给到唐淼                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'横敲马俊亮，，中圈位置拿球，，短传身前                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'陈杰把球拦截                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'马俊亮反抢，，犯规了                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
47'定位球，给出来，连续的传递，到右侧                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'向汉天，，转移                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'迪奥普，杀入禁区右侧，，抬脚射门                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'被姜积弘挡出了底线                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'右侧角球机会，，人和把球开出                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'到了禁区中路，，，裁判哨响。。。                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'穆坎乔禁区内拼抢犯规                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'后场富力大脚开起来                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
48'中场右侧，，向汉天得球。。。短传给到身前                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
49'迪奥普接球，，连续晃动，，转到了左侧                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
49'姜积弘把球拦截                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
49'断下来，低球向前给                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
49'唐淼把球得到，，斜长传，，，找前面的扎哈维                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
49'直塞肖智，，被罗歆断下                   46'1分钟后，人和打反击，右侧迪奥普拿球快速突破杀到禁区右侧，外围直接打门高出横梁
10'助跑，，远距离定位球直接选择射门                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
10'球是从人墙中穿了过来                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
10'直奔下角，，被程月磊扑出                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
10'第二点，，托西奇大脚解围                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
10'中圈附近拼抢，，球被人和挡出边线                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
11'界外球，转移，，分到了右侧给姜积弘                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
11'斜传，左侧找雷纳尔迪尼奥，，拿球推进                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
11'45度一脚起球，，，传中到禁区                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
11'禁区中央，，肖智争顶。。。。万厚良提前判断，解围出底线                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
11'左侧富力角球机会                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
12'角球开起来                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
12'雷纳尔迪尼奥主罚，，送到前点                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
12'被防守队员挡出                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
12'外围左侧还是富力的球权                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
12'分给身边的雷纳尔迪尼奥，，再直塞                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
13'左侧陈志钊插上，拿球被放倒了                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
13'哨响，，，位置极佳的一个任意球机会                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
13'距离大门25米。。。雷纳尔迪尼奥准备主罚                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
13'雷纳尔迪尼奥，虚晃，，扎哈维跟上内脚背射门                   10'第10分钟，雷纳尔迪尼奥左路斜传到禁区，禁区中央肖智争顶，万厚良提前判断解围出底线
14'越过人墙，，直奔大门，，，被张烈飞身扑出底线                   14'第14分钟，陈杰后场断球，人和队打出快速反击
14'左侧富力角球                   14'第14分钟，陈杰后场断球，人和队打出快速反击
14'开起来，，禁区中央，，，，起跳争顶                   14'第14分钟，陈杰后场断球，人和队打出快速反击
14'防守队员破坏出去                   14'第14分钟，陈杰后场断球，人和队打出快速反击
14'外围右侧陈伟铭拿球，横敲，，被断了                   14'第14分钟，陈杰后场断球，人和队打出快速反击
14'陈杰的抢断，，短传给到中圈朱宝杰                   14'第14分钟，陈杰后场断球，人和队打出快速反击
15'直接准确的长传，，，给到右路快速插上的迪奥普                   14'第14分钟，陈杰后场断球，人和队打出快速反击
15'对不起，，是穆坎乔哈                   14'第14分钟，陈杰后场断球，人和队打出快速反击
15'穆坎乔跟进，，单刀，，过掉门将，，，推射得手                   14'第14分钟，陈杰后场断球，人和队打出快速反击
15'穆坎乔前场右侧 接到队友斜长传 形成单刀，面对门将程月磊 淡定晃过！推射空门！北京人和客场1比0暂时领先                   14'第14分钟，陈杰后场断球，人和队打出快速反击
16'人和的这次反击，打的非常精彩                   14'第14分钟，陈杰后场断球，人和队打出快速反击
16'富力的进攻，左路拿到角球机会                   14'第14分钟，陈杰后场断球，人和队打出快速反击
16'这次选择开到后点，，，罗歆头球解围                   14'第14分钟，陈杰后场断球，人和队打出快速反击
16'外围史亮拿球，，短传身前，，迪奥普拿球，分到右侧穆坎乔                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'李提香把球拦截，单挑把球断下来了                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'球经过2次碰撞，到了程月磊面前                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'后场大脚开出                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'前场中路陈志钊得球，短传，分左侧                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'史亮把球拦截                   14'第14分钟，陈杰后场断球，人和队打出快速反击
17'短传给身前，迪奥普中圈拿球，分左侧，，朱宝杰再横敲                   14'第14分钟，陈杰后场断球，人和队打出快速反击
48'再横敲一下，朱宝杰拦截把球拿到                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'朱宝杰斜传到右路                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'裁判哨响了，上半场结束                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'富力主场作战先丢一球的不利情况下，连入2球，上半场实现了反超                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'富力优势还是比较明显的，人和主要的进攻都集中在反击，而富力的传控打法踢的很顺畅                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'下半场回来                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'向汉天，，转移                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'迪奥普，杀入禁区右侧，，抬脚射门                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'被姜积弘挡出了底线                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'右侧角球机会，，人和把球开出                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'到了禁区中路，，，裁判哨响。。。                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'穆坎乔禁区内拼抢犯规                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'后场富力大脚开起来                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
48'中场右侧，，向汉天得球。。。短传给到身前                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
49'迪奥普接球，，连续晃动，，转到了左侧                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
49'姜积弘把球拦截                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
49'断下来，低球向前给                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
49'唐淼把球得到，，斜长传，，，找前面的扎哈维                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
49'直塞肖智，，被罗歆断下                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
50'右侧王刚拿球，挑传身前，，禁区外右侧                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
50'穆坎乔没接住，，，张功把球破坏                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
50'张功是替下了马俊亮，下半场                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
50'外围左侧的拼抢，，哨响了，富力的犯规                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
50'左侧人和定位球，，距离较远                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'开出来，吊入禁区之内                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'双方跳起来，，，被防守队员破坏                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'外围右侧王刚拿球，横敲                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'中圈位置，，史亮得球，，斜传身前                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'张晨龙把球解围                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'后场左侧李提香得球，横敲到中间托西奇                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
51'再给左路李提香，，后场的转移                   48'仅仅过了3分钟，富力扳平比分，第17分钟，托西奇后场长传到前场，雷纳尔迪尼奥得球后横敲给陈志钊，陈志钊禁区前左侧直接起脚远射，皮球直挂球门左上角，富力1-1扳平比分
23'李提香拿球，回敲给托西奇                   23'第23分钟，由于天气炎热，比赛进入补水时间
23'斜传到了右侧姜积弘这边                   23'第23分钟，由于天气炎热，比赛进入补水时间
23'在横敲中圈，，托西奇跟上来                   23'第23分钟，由于天气炎热，比赛进入补水时间
23'放慢节奏，，分到右侧给姜积弘                   23'第23分钟，由于天气炎热，比赛进入补水时间
23'试图直塞，被饶伟辉拦截                   23'第23分钟，由于天气炎热，比赛进入补水时间
24'挑传到身前找迪奥普，，停出了边线                   23'第23分钟，由于天气炎热，比赛进入补水时间
24'朱宝杰有点受伤                   23'第23分钟，由于天气炎热，比赛进入补水时间
24'不过问题不大，，很快站起来了                   23'第23分钟，由于天气炎热，比赛进入补水时间
24'现在到了补水时间                   23'第23分钟，由于天气炎热，比赛进入补水时间
26'比赛继续，，左侧人和的边线球                   23'第23分钟，由于天气炎热，比赛进入补水时间
26'给出来，，双方争顶                   23'第23分钟，由于天气炎热，比赛进入补水时间
26'第二点托西奇拿到，，，斜长传到左侧                   23'第23分钟，由于天气炎热，比赛进入补水时间
26'李提香拿球，裁判哨响了                   23'第23分钟，由于天气炎热，比赛进入补水时间
26'穆坎乔倒在地上，，，受伤                   23'第23分钟，由于天气炎热，比赛进入补水时间
30'角球开起来                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'禁区内争顶，，万厚良的解围                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'中圈附近李提香拿球                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'斜传到前场左侧                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'雷纳尔迪尼奥拿球，疾驰如风                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'杀到禁区，左侧，一脚推射                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
31'富力反超了，，，雷纳尔迪尼奥                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
32'前场左侧雷纳迪尼奥把球得到！！疾如闪电快如风！突破到了禁区内！！左脚攻门！！小角度把球打进                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
32'张烈碰到了球，但是有些猝不及防啊                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
32'富力换人，，陈伟铭被唐淼替下                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
32'比赛继续，人和后场拿球，长传                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
32'前场找穆坎乔，，扎哈维左脚破坏                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'身后迪奥普拼抢犯规                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'富力中圈定位球，分右侧，，姜积弘                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'再低传，，给到右路唐淼                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'横敲一下，中圈附近，，托西奇拿球                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'短传给到身前，，马俊亮拿球                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'挑传身前，，罗歆把球拦截                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'给到中圈右侧，史亮得球，，长传                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
33'前场右侧向汉天跟进，，，底线附近，，再起                   30'第30分钟，张晨龙前场左路得球挑传雷纳尔迪尼奥，雷纳尔迪尼奥带球突入禁区左侧面对张烈小角度爆射破门，富力队2-1将比分反超
41'争顶，，，，裁判哨响，，，迪奥普被顶翻在地                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
41'队医上来处理一下                   41'第41分钟，张晨龙前场左路加速突破到禁区底线附近横传门前，肖智抢点没有打上，皮球被人和队员碰了一下险些造成乌龙
