1'上半场比赛开始！                   1'第1分钟，罗马进攻压制了曼城，热尔维尼奥尤为活跃
27'哲科拿球带了一步被解围                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
27'曼城的角球机会                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
27'曼城角球送到禁区内                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
27'但裁判的哨子先响了                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
27'曼加拉跟对方后卫有拉扯                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'裁判还是先鸣哨警告一下                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'曼城角球重新开出来                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'这次落点不是很好                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'费尔南迪尼奥右路挑传没有送过去                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'曼城这段时间的攻势起来了                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
28'右路起球送中路                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
29'哲科的头球攻门没有顶正                   26'第26分钟，纳瓦斯在门前14米处低射入右下角，但哲科被判侵犯霍莱瓦斯，进球无效
43'曼城还是依靠人数上优势将球断了                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
43'中场哲科和姆比瓦有些冲突                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
43'裁判也是各打50打板一人一张黄牌                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'下半场比赛开始！                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'下半场比赛由曼城开球                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'最后的决战开始了                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'哲科左路禁区内拿球                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'横敲被挡出                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
46'曼城获得角球机会                   43'第43分钟，热尔维尼奥中路连过两人倒在禁区内，主裁判没有中断比赛
48'罗马中场送直塞到前场                   48'下半时开始3分钟，米尔纳左侧小角度打高
48'热尔维尼奥启动的时候越位了                   48'下半时开始3分钟，米尔纳左侧小角度打高
48'哲科拿球分到左路                   48'下半时开始3分钟，米尔纳左侧小角度打高
49'米尔纳禁区内得球后直接打门                   48'下半时开始3分钟，米尔纳左侧小角度打高
49'这球小角度打门稍稍打高                   48'下半时开始3分钟，米尔纳左侧小角度打高
50'纳英戈兰中场护球                   48'下半时开始3分钟，米尔纳左侧小角度打高
50'费尔南多上抢的时候犯规                   48'下半时开始3分钟，米尔纳左侧小角度打高
50'麦孔右路做撞墙配合                   48'下半时开始3分钟，米尔纳左侧小角度打高
51'最后的一下克里希碰出底线                   48'下半时开始3分钟，米尔纳左侧小角度打高
51'罗马角球机会                   48'下半时开始3分钟，米尔纳左侧小角度打高
51'角球送中路，第一点被曼城顶出                   48'下半时开始3分钟，米尔纳左侧小角度打高
51'右路再传中路又是先被蹭了一下                   48'下半时开始3分钟，米尔纳左侧小角度打高
51'禁区外围，托蒂抢球的时候推人                   48'下半时开始3分钟，米尔纳左侧小角度打高
65'罗马这个时候谁能站出来呢？                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
65'纳英戈兰禁区外围怒射被门将托出                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
66'两边现在都要准备调整                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
67'拉贾季奇禁区内得球，一扣晃开防守                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
67'再打，太过发力了                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
67'罗马换人，拉贾季奇下，伊图尔贝上！                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
67'曼城也换人，纳瓦斯下，席尔瓦上                   65'第65分钟，麦孔右侧低传，纳英戈兰在门前25米处劲射被哈特托出横梁
71'但哲科启动的时候先越位了                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
71'罗马换人，托蒂下，德斯特罗上！                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
71'罗马前场右路获得定位球                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
71'任意球送中路                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
72'头球攻门击中立柱，没有往门里走。。。！！                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
72'罗马这边角球机会                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
72'角球送禁区内到了后点                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
72'打空门被德米凯利斯在门线上解围出来！                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
72'罗马这边是连续获得机会                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
73'罗马左路起球被顶出                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
73'曼城这边反击机会，送身后没有过去                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
74'纳英戈兰中场拿球被拉了一下                   71'第71分钟，皮亚尼奇右路任意球斜传禁区，马诺拉斯在门前10米处顶出弹地球击中右门柱弹回
86'曼城这边还有机会                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
86'又进球了！！                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
86'萨巴莱塔！！                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
87'曼城左路转移出来到了右路禁区内，纳斯里轻轻一拨，萨巴莱塔插上后推射破门！                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
87'比赛的大局已定了                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
87'罗马这边应该没有机会                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
88'曼城这边要换人                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
88'纳斯里下，科拉罗夫上！                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
89'罗马这边前场拿球送边路                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
89'纳英戈兰的传球出现失误                   86'曼城第86分钟锁定胜局，纳斯里禁区右侧横做，萨巴莱塔在门前10米处推进左下角，2比0
