3'一开场曼城就有些反客为主的意思                   3'第3分钟，纳斯里传中被挡，纳瓦斯禁区右侧斜射偏出远角
22'来自波多尔斯基的传中~                   22'第22分钟，波多尔斯基左路传中，弗拉米尼铲射吊过乔-哈特入网，但他越位在先
22'慢动作来看弗拉米尼确实是越位了                   22'第22分钟，波多尔斯基左路传中，弗拉米尼铲射吊过乔-哈特入网，但他越位在先
22'特工俊俊: 柠檬 给解答下吧 席尔瓦这是带伤上场 还是伤愈了---很难说是痊愈了，带伤的可能性更大                   22'第22分钟，波多尔斯基左路传中，弗拉米尼铲射吊过乔-哈特入网，但他越位在先
27'不过球还是在阿森纳的控制下                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
27'连续的撞墙式配合，阿森纳打得太细了点                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
27'孔帕尼这一次上抢将球捅走                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'费尔南迪奥来了一脚远射~                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'球偏出了左侧立柱                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'看起来是被弗拉米尼挡了一下                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'曼城的角球机会                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'席尔瓦来主罚                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
28'传中出来~禁区内连续的头球争抢                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
29'罗西基跟纳斯里的身体冲撞吃亏太多了                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
29'不过裁判吹了纳斯里的犯规                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
29'吉布斯长传~想找波多尔斯基                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
29'球直接出了边线                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
30'藕丝肉荣羊驼饭01:59 柠檬，帮我告诉枪手，这是他们主场，要有耐心，打的不要急躁！那样曼城会急的！---........                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
30'温格的脸色很严峻啊                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
30'今年阿森纳跟强队的比赛，总是被打爆                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
30'今天曼城的进球来的如此之快                   27'第27分钟，席尔瓦传球，费尔南迪尼奥远射被阿尔特塔挡出
50'波多尔斯基都退防到了本方禁区                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
50'哇~好险                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
51'阿森纳的一次反击，禁区外远射被哈特扑出                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
52'弗拉米尼！                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
52'Goooooooooooooooooal~~~                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
52'阿森纳扳平了比分！                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
52'这一次来自波多尔斯基的传中~中路包抄的弗拉米尼顺势左脚推射~~~                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
52'哈特触不及防，扑救不及啊                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
53'阿森纳士气上来了~                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
53'连续发动进攻                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
53'又是一个角球机会                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
53'卡索拉角球传前点，被孔帕尼头球解围                   50'第50分钟，卡索拉传球，罗西基30码处远射偏出
53'阿森纳士气上来了~                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
53'连续发动进攻                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
53'又是一个角球机会                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
53'卡索拉角球传前点，被孔帕尼头球解围                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
55'波多尔斯基消失了大半场终于做了件好事                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
55'不过他在后场犯规，让曼城获得了一个边路定位球                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
55'席尔瓦的传中~裁判吹哨了                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
56'进攻方犯规                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
56'席尔瓦给图雷的回传失误了~                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
56'曼城或许需要些调整了                   53'阿森纳第53分钟扳平比分，波多尔斯基左路传中，无人防守的弗拉米尼12码处左脚推射破门
