3'贾吉尔卡将球处理出底线,利物浦获得角球.                   2'开场仅2分钟，利物浦解围角球，恩里克后场抢断后直传斯特灵偏差太多
22'进球啦！！！埃弗顿球员奥斯曼大禁区外右脚射门,球从左下角飞进球门,球进了! 埃弗顿 1-2 利物浦.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
23'利物浦球员斯特林拼抢犯规,对手获得控球权.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
23'拜恩斯为埃弗顿在左路,赢得一个任意球.                   20'利物浦第20分钟扩大比分，奥斯曼对斯特灵犯规被罚黄牌，杰拉德任意球传中，无人防守的苏亚雷斯10码处头球冲顶将皮球蹭入大门左侧
22'进球啦！！！埃弗顿球员奥斯曼大禁区外右脚射门,球从左下角飞进球门,球进了! 埃弗顿 1-2 利物浦.                   22'埃弗顿第22分钟扳回一城，奈史密斯头球摆渡，费莱尼禁区前射门打在恩里克脚上偏转出右侧立柱，琼斯出击单拳击出皮球，奥斯曼禁区边缘抽射入网，1-2
23'利物浦球员斯特林拼抢犯规,对手获得控球权.                   22'埃弗顿第22分钟扳回一城，奈史密斯头球摆渡，费莱尼禁区前射门打在恩里克脚上偏转出右侧立柱，琼斯出击单拳击出皮球，奥斯曼禁区边缘抽射入网，1-2
23'拜恩斯为埃弗顿在左路,赢得一个任意球.                   22'埃弗顿第22分钟扳回一城，奈史密斯头球摆渡，费莱尼禁区前射门打在恩里克脚上偏转出右侧立柱，琼斯出击单拳击出皮球，奥斯曼禁区边缘抽射入网，1-2
25'斯科特尔将球处理出底线,埃弗顿获得角球.                   22'埃弗顿第22分钟扳回一城，奈史密斯头球摆渡，费莱尼禁区前射门打在恩里克脚上偏转出右侧立柱，琼斯出击单拳击出皮球，奥斯曼禁区边缘抽射入网，1-2
27'利物浦球员苏亚雷斯大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是维斯多姆.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
28'利物浦球员沙辛拼抢犯规,对手获得控球权.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
28'米纳拉斯为埃弗顿赢得一个任意球.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
29'利物浦球员斯特林拼抢犯规,对手获得控球权.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
29'拜恩斯为埃弗顿在左路,赢得一个任意球.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
29'黄牌！利物浦球员斯特林因为恶意犯规,被主裁判出示黄牌.                   27'第27分钟，维斯多姆传球，苏亚雷斯20码处左脚劲射偏出右侧立柱
31'乔-阿伦为利物浦在右路,赢得一个任意球.                   31'第31分钟，斯特灵前场逼抢绊倒拜恩斯险些拿到第2张黄牌，17岁小将被裁判马里纳口头警告
31'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.                   31'第31分钟，斯特灵前场逼抢绊倒拜恩斯险些拿到第2张黄牌，17岁小将被裁判马里纳口头警告
31'利物浦球员斯特林拼抢犯规,对手获得控球权.                   31'第31分钟，斯特灵前场逼抢绊倒拜恩斯险些拿到第2张黄牌，17岁小将被裁判马里纳口头警告
31'拜恩斯为埃弗顿赢得一个任意球.                   31'第31分钟，斯特灵前场逼抢绊倒拜恩斯险些拿到第2张黄牌，17岁小将被裁判马里纳口头警告
32'埃弗顿球员奈史密斯一脚直塞球给耶拉维奇,但是边裁举旗显示后者已经越位.                   31'第31分钟，斯特灵前场逼抢绊倒拜恩斯险些拿到第2张黄牌，17岁小将被裁判马里纳口头警告
38'射门!!!埃弗顿球员米纳拉斯球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是费莱尼.                   38'第38分钟，费莱尼传球，米拉拉斯突入禁区左侧的小角度射门被琼斯扑出
38'琼斯将球处理出底线,埃弗顿获得角球.                   38'第38分钟，费莱尼传球，米拉拉斯突入禁区左侧的小角度射门被琼斯扑出
39'埃弗顿球员奥斯曼大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是迪斯汀.                   38'第38分钟，费莱尼传球，米拉拉斯突入禁区左侧的小角度射门被琼斯扑出
41'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   38'第38分钟，费莱尼传球，米拉拉斯突入禁区左侧的小角度射门被琼斯扑出
41'米纳拉斯为埃弗顿在左路,赢得一个任意球.                   38'第38分钟，费莱尼传球，米拉拉斯突入禁区左侧的小角度射门被琼斯扑出
44'埃弗顿球员米纳拉斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是奥斯曼.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
44'斯科特尔将球处理出底线,埃弗顿获得角球.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
44'埃弗顿球员迪斯汀大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拜恩斯.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
44'斯科特尔将球处理出底线,埃弗顿获得角球.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'埃弗顿球员科尔曼大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+1'苏索为利物浦在右路,赢得一个任意球.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+1'埃弗顿球员米纳拉斯拼抢犯规,对手获得控球权.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+1'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+1'拜恩斯为埃弗顿赢得一个任意球.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+2'埃弗顿球员菲利普-内维尔在禁区内摔倒了,但裁判判他假摔！                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+2'埃弗顿球员菲利普-内维尔被主裁判出示了一张黄牌.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+3'利物浦球员杰拉德大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是苏亚雷斯.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'+4'上半场结束,埃弗顿 2-2 利物浦,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'利物浦换人,谢尔维换下苏索                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'利物浦换人,科茨换下沙辛                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
45'埃弗顿换人,古伊耶上,米纳拉斯因伤下场.                   44'第44分钟，米拉拉斯禁区左侧的射门被封堵
49'利物浦球员斯特林大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是何塞-恩里克.                   49'利物浦第49分钟错失良机，恩里克左路直传，无人防守的斯特灵禁区左侧10码处单刀挑射打偏
50'利物浦球员谢尔维拼抢犯规,对手获得控球权.                   49'利物浦第49分钟错失良机，恩里克左路直传，无人防守的斯特灵禁区左侧10码处单刀挑射打偏
50'费莱尼为埃弗顿在右路,赢得一个任意球.                   49'利物浦第49分钟错失良机，恩里克左路直传，无人防守的斯特灵禁区左侧10码处单刀挑射打偏
50'射门!!!埃弗顿球员耶拉维奇大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是奈史密斯.                   49'利物浦第49分钟错失良机，恩里克左路直传，无人防守的斯特灵禁区左侧10码处单刀挑射打偏
51'埃弗顿球员科尔曼大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   49'利物浦第49分钟错失良机，恩里克左路直传，无人防守的斯特灵禁区左侧10码处单刀挑射打偏
56'利物浦球员苏亚雷斯球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是斯特林.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
57'斯特林为利物浦在对方半场,赢得一个任意球.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
57'埃弗顿球员贾吉尔卡拼抢犯规,对手获得控球权.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
57'黄牌！埃弗顿球员贾吉尔卡因为恶意犯规,被主裁判出示黄牌.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
58'射门!!!利物浦球员杰拉德大禁区外右脚射门,被对方守门员横身扑出.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
59'埃弗顿球员费莱尼大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是科尔曼.                   56'第56分钟，斯特灵传球，苏亚雷斯切入禁区右侧小角度射门被迪斯丁封堵，乌拉圭人投诉法国后卫手球犯规，但裁判未予理会
59'埃弗顿球员费莱尼大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是科尔曼.                   59'第59分钟，科尔曼右路传中，费莱尼10码处力压科茨头球攻门偏出左侧立柱
61'埃弗顿球员奥斯曼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   59'第59分钟，科尔曼右路传中，费莱尼10码处力压科茨头球攻门偏出左侧立柱
64'利物浦球员科茨拼抢犯规,对手获得控球权.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
64'耶拉维奇为埃弗顿在左路,赢得一个任意球.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
64'埃弗顿球员耶拉维奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
66'利物浦球员乔-阿伦拼抢犯规,对手获得控球权.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
66'科尔曼为埃弗顿在对方半场,赢得一个任意球.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
67'埃弗顿球员耶拉维奇大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   64'第64分钟，拜恩斯左路任意球传中，耶拉维奇10码处头球攻门偏出
68'利物浦球员何塞-恩里克一脚直塞球给苏亚雷斯,但是边裁举旗显示后者已经越位.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
68'利物浦球员阿格尔手球犯规,对手获得球权.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
69'黄牌！利物浦球员阿格尔因为故意手球,被主裁判出示黄牌.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
70'利物浦换人,亨德森换下维斯多姆                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
71'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
71'迪斯汀为埃弗顿赢得一个任意球.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
71'黄牌！利物浦球员苏亚雷斯因为恶意犯规,被主裁判出示黄牌.                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
71'埃弗顿迪斯汀受伤倒地,比赛暂停                   68'第68分钟，阿格尔边路故意手球犯规被罚黄牌
71'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
71'迪斯汀为埃弗顿赢得一个任意球.                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
71'黄牌！利物浦球员苏亚雷斯因为恶意犯规,被主裁判出示黄牌.                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
71'埃弗顿迪斯汀受伤倒地,比赛暂停                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
72'暂停结束,球员们重新开始比赛.                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
74'霍华德将球处理出底线,利物浦获得角球.                   71'第71分钟，苏亚雷斯踩踏迪斯丁脚踝被黄牌警告
82'埃弗顿球员迪斯汀大禁区中央尝试头球,可惜皮球高出球门.给他传球的是拜恩斯.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
83'利物浦球员杰拉德大禁区中央左脚射门,被防守球员封堵.给他传球的是阿格尔.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
83'菲利普-内维尔将球处理出底线,利物浦获得角球.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
83'射门!!!利物浦球员亨德森大禁区外右脚射门,被对方守门员横身扑出.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
84'利物浦球员苏亚雷斯大禁区右侧左脚射门,被防守球员封堵.给他传球的是何塞-恩里克.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
84'拜恩斯将球处理出底线,利物浦获得角球.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
85'乔-阿伦为利物浦在对方半场,赢得一个任意球.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
85'埃弗顿球员奈史密斯拼抢犯规,对手获得控球权.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
85'利物浦球员斯特林大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是乔-阿伦.                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
85'埃弗顿换人,奥维多换下奈史密斯                   82'第82分钟，拜恩斯开出角球，迪斯丁8码处头球攻门高出
84'利物浦球员苏亚雷斯大禁区右侧左脚射门,被防守球员封堵.给他传球的是何塞-恩里克.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
84'拜恩斯将球处理出底线,利物浦获得角球.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
85'乔-阿伦为利物浦在对方半场,赢得一个任意球.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
85'埃弗顿球员奈史密斯拼抢犯规,对手获得控球权.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
85'利物浦球员斯特林大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是乔-阿伦.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
85'埃弗顿换人,奥维多换下奈史密斯                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
86'利物浦球员斯特林拼抢犯规,对手获得控球权.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
86'科尔曼为埃弗顿赢得一个任意球.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
86'斯特林为利物浦赢得一个任意球.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
86'埃弗顿球员科尔曼拼抢犯规,对手获得控球权.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
86'黄牌！埃弗顿球员科尔曼因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，苏亚雷斯漂亮晃过迪斯丁后切入禁区右侧，但10码处的射门被拜恩斯用身体挡下
