4'对于比赛的欲望都非常强烈呀～是北京国安队的保三还是广州富力队的保级呢？                   4'富力在第4分钟由雷纳尔迪尼奥策动快攻，姜宁外围攻门未形成威胁
47'北京国安队控球，朴成带球推进，交给巴塔亚，后者再分球力量小了                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
47'马季奇后场抢断，交给张稀哲，转移给朴成，斜塞给了德扬                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
47'德扬突入禁区内的打门，直接偏了！这球传出来更好一些呀，中路包抄的于大宝在要球呢，德扬没给                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
48'主裁判一声哨响，上半场比赛结束                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
47'任意球开到禁区内，于洋头球顶下来，球落在张稀哲的脚下，推射被门将扑出来                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
48'德扬右路的传中球，对方后卫抢在于大宝前把球顶出来                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
49'张耀坤后场控球，中路传球被对方挡出来                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
49'德扬拿球遭到夹击，转移给了于大宝                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
50'赵和靖控球，交给于大宝，拿球在边线，遭到夹击                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
50'朴成中路接球，转移到右侧组织进攻                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
50'于大宝梅开二度！！                   47'第47分钟，国安左侧任意球传中后于洋头球解围不远，张稀哲禁区中路弹射被程月磊快速侧扑挡出
63'广州富力队换人：雷纳尔迪尼奥下场换上王晓龙！                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
63'张稀哲前场冲抢成功横传中路，德扬积极前插，还是慢了半步，球被金洋洋倒地捅了一下，门将没收                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
64'卢琳冲抢把球带出了边线，赵和靖掷后场的界外球                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
65'德扬前场拿球，甩开防守交给了张稀哲后前插，张稀哲再传被挡出来                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
66'北京国安队中场控球，交到右侧周挺直传球被挡回来，马季奇控制一下节奏，转移给周挺                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
66'中路朴成接应，交给周挺，再转移到右侧巴塔亚的脚下，分球给于大宝                   63'第63分钟，富力用王晓龙换下雷纳尔迪尼奥，这是王晓龙离开国安后首次在工体亮相，他出场时赢得了国安球迷的掌声
73'广州富力队左路的传球被徐云龙破坏出来                   73'第73分钟，替补出场的张池明右路一对二送出低传，巴塔拉向禁区中路过渡，德扬攻门被于洋倒地封堵
73'张池明右路传球到禁区内，巴塔亚过渡，德扬的打门被姜至鹏倒地挡出来                   73'第73分钟，替补出场的张池明右路一对二送出低传，巴塔拉向禁区中路过渡，德扬攻门被于洋倒地封堵
74'叶楚贵上场                   73'第73分钟，替补出场的张池明右路一对二送出低传，巴塔拉向禁区中路过渡，德扬攻门被于洋倒地封堵
75'北京国安队中路的直塞找德扬，又是于洋补位把球破坏出来                   73'第73分钟，替补出场的张池明右路一对二送出低传，巴塔拉向禁区中路过渡，德扬攻门被于洋倒地封堵
76'朴成中场抢断，转移给周挺，带球推进到禁区前沿转移到右侧                   73'第73分钟，替补出场的张池明右路一对二送出低传，巴塔拉向禁区中路过渡，德扬攻门被于洋倒地封堵
78'巴塔亚斜传转移到右侧，力量太大啦，周挺奋力的追赶，也没有赶上球的速度！                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
78'巴塔亚举手向周挺示意一下，抱歉呀～                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
78'王晓龙前场左侧控球，晃过了马季奇突入禁区内的打门被杨智挡出来，徐云龙跟进解围！                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
78'邵佳一准备上场                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
79'邵佳一上场换下了巴塔亚                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
80'广州富力队此前用叶楚贵换下的是卢琳                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
80'广州富力队已经用完了三个换人的名额！                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
80'北京国安队还有一张牌没有出呢，不过广州富力队的换人没有起到立杆见影的地步                   78'第78分钟，王晓龙一对一摆脱马季奇后突入禁区左侧，其小角度劲射被杨智侧扑挡出
86'金洋洋受伤倒在地上                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
87'中场的争抢中王晓龙犯规，吃到一张黄牌！                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
88'王晓龙护球，赵和靖上来冲抢还没有跑过来，王晓龙的右胳膊就伸过去，把赵和靖给推倒了！                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
88'王晓龙对裁判出示黄牌很不满意呀                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
89'张池明反越位成功突入了禁区内，不过面对门将出球犹豫了                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
89'再想射门没有机会啦                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
89'宋博轩上场换下了张稀哲                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
89'北京国安队也用完了三个换人的名额                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
89'下半场比赛将要补时4分钟！                   86'第86分钟，德扬禁区外大力低射被程月磊扑出底线
88'王晓龙护球，赵和靖上来冲抢还没有跑过来，王晓龙的右胳膊就伸过去，把赵和靖给推倒了！                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
88'王晓龙对裁判出示黄牌很不满意呀                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
89'张池明反越位成功突入了禁区内，不过面对门将出球犹豫了                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
89'再想射门没有机会啦                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
89'宋博轩上场换下了张稀哲                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
89'北京国安队也用完了三个换人的名额                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
89'下半场比赛将要补时4分钟！                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
91'广州富力队后场控球，转移到于洋的脚下，再分球到右侧王晓龙接应                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
91'广州富力队右侧控球，汪嵩拿球遭到夹击，传球力量小了                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
91'朴成后场控球，转移到徐云龙的脚下                   88'第88分钟，王晓龙控球拼抢中手部打到赵和靖面部，王晓龙领到黄牌后情绪很激动，马季奇对其进行了安抚
