5'有争议，似乎没有越位                   5'第5分钟江苏右路送球，吴曦快速跟进被判越位，但慢镜头显示是误判
21'伊斯梅洛夫分到右路，周云扣球，直塞                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
21'分到左路，特谢拉回到中路                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
21'大范围转移到右路，吉翔停球，伊斯梅洛夫的成功防守                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
22'界外球掷出，传中！蒋哲直接解围出底线                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
22'战术角球开出，后点，划门而出                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
23'吴亚柯倒地了，可能弹跳时拉伤了                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
24'队医进场，双方趁机补水                   21'第21分钟吴亚轲出击时左大腿受伤倒地，队医入场火速治疗，双方队员立刻退到场边补水
32'后场苏宁控球，大脚开到前场，出了边线                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
32'继续回传后场慢慢组织                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
33'中场李光抢断，给到禁区！布鲁诺打门！越位了                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
33'顾超大脚，直接开给了对手                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
33'分边李光，传中！莫雷罗头球！！！                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
34'哎呀，稍稍高了一点点啊                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
34'后场的长传，周云卡住了位，回传门将                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
35'直塞吉翔，被断了，长传，没传好                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
35'回传蒋哲，两人逼抢，出不了球，蒋哲只好踢出界                   32'长春队在啦啦队豪迈的歌声在中发起反击，第32分钟，李光右路路传中，布鲁诺头球稍稍高出
37'直塞特谢拉，带球被李光断了                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
37'就地反抢，R马犯规了                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
38'分边到左路布鲁诺被推倒了，任意球                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
38'张笑非开出，禁区内顶出，李光远射，打偏了                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
39'塞恩斯伯里长传找到特谢拉，直塞，被断了                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
39'范晓冬回做，直塞到右路，没机会，还是回传                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
39'马季奇突然的打身后，太深了                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
40'顾超大脚开出，李光得到，长传莫雷罗，被张笑天破坏                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
40'界外球掷出，杨笑天对莫雷罗的犯规                   37'第37分钟张笑飞左路任意球开入禁区，江苏队员解围不远，李光禁区外怒射偏出
44'这反击的速度太快了！吴亚柯出击也没能挡到                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
44'2：0了                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
45'直塞，传中，被顾超拿到了                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
45'前场反断，伊斯梅洛夫把球破坏，角球                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'角球开出，二点还是苏宁，吉翔挑传，头球！R马                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'吴亚柯的飞身扑救                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'界外球掷出，给到R马，横敲，打门！                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
47'居然没进？打在横梁上弹下                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
47'分到右路，蒋哲直塞，刘建业的破坏                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
47'角球开出，被顶出                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'好的，下半场比赛开始了                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'阎峰后场拿球出球失误了，反抢，犯规了                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
46'前场任意球机会，特谢拉                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
47'任意球开出，前点，第二点，被解围了，角球                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
47'角球开出，头球解围，二点分边特谢拉，越位了                   44'第44分钟江苏险些打进第三球，但吴亚轲奋力把马丁内斯接右路传中的头球奋力扑出，接着马丁内斯禁区内摆脱防守后怒射中柱弹在门线上
50'张晓彬的上抢，分到左路                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
50'传中，吴亚柯把球抱住，看起来没什么大碍的伤势                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
50'大脚，奥尔西奇没能拿到                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
50'R马出球，被断了，反抢犯规了                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
51'分到左路，张笑非传中，被洪正好解围                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
51'李光直塞禁区！可惜没能拿到                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
51'又是反击,R马被推到了，没犯规                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
51'亚泰的进攻，分边，横敲禁区，奥尔西奇打门！                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
52'左脚打门，打偏了。                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
52'换上奥尔西奇后，亚泰的进攻开始有了点起色                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
52'R马出球失误了，直塞莫雷罗                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
53'反击机会，直接侧身打门！弯弓搭箭！好球，高了一点点                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
53'大脚开出，李光对吴曦的犯规                   50'第50分钟长春右路传中，布鲁诺拿球后横推，奥尔西奇跟进推射打偏
53'反击机会，直接侧身打门！弯弓搭箭！好球，高了一点点                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
53'大脚开出，李光对吴曦的犯规                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
54'快速进攻，传到禁区，奥尔西奇解围                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
54'亚泰的进攻，张晓彬的犯规，吃到了黄牌                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
55'奥尔西奇任意球，开到禁区，莫雷罗头球！顶偏了一点点                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
55'还是亚泰的进攻，吊入禁区，被解围出                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
56'二点布鲁诺打门！被挡出                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
56'这段时间亚泰的攻势很猛！                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
56'分边奥尔西奇，传中，被周云挡住了                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
56'继续传中！顾超！                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
56'快速抛出反击，分到左路                   53'第53分钟张晓彬拉拽范晓冬吃到黄牌，奥尔西奇任意球搓球入禁区右侧，莫雷罗抢前点强行头球打偏
58'这时吴曦倒地了                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
59'可能是受伤了，被抬下了                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
59'战术角球开出，传中，阎峰的解围                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
59'分边，特谢拉下底传中。被杨博宇挡出，角球                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
59'换下李光，换上裴帅                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
60'角球开出，吴亚柯直接抱住                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
60'大脚开出，直塞布鲁诺，力量小了                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
60'刘建业出球出球失误了！杨笑天补上，绊倒了范晓冬                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
61'吃到了黄牌                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
61'前场很不错位置的任意球                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
61'莫雷罗来主罚                   58'第58分钟特谢拉左路杀入禁区射门被杨博宇挡出
59'可能是受伤了，被抬下了                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
59'战术角球开出，传中，阎峰的解围                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
59'分边，特谢拉下底传中。被杨博宇挡出，角球                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
59'换下李光，换上裴帅                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
60'角球开出，吴亚柯直接抱住                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
60'大脚开出，直塞布鲁诺，力量小了                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
60'刘建业出球出球失误了！杨笑天补上，绊倒了范晓冬                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
61'吃到了黄牌                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
61'前场很不错位置的任意球                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
61'莫雷罗来主罚                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
62'莫雷罗！！！打门！！！球进了！！！                   59'第59分钟江苏回传失误，范晓冬截球冲击，杨笑天在禁区外一点把范推翻在地，结果吃到黄牌
63'出脚如圆月弯刀，下坠如秋风落叶！                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
63'好球！亚泰扳回了一球！                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
64'换下了吴曦，换上了顾文祥                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
64'苏宁进攻，下底传中，吴亚柯脱手了，二点打门，出界了                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
65'莫雷罗横敲，被断了                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
65'顾文祥直塞禁区，传大了，可惜                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
66'又是苏宁的进攻，直塞打门！被挡出，刘建业二点远射，打飞了                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
66'这段时间苏宁又提速了                   63'第63分钟顾文祥换下无法坚持比赛的吴曦
66'又是苏宁的进攻，直塞打门！被挡出，刘建业二点远射，打飞了                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
66'这段时间苏宁又提速了                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
67'分到左路，布鲁诺被周云拉倒了                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
67'又是一次前场任意球！                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
67'任意球开出！顾超立功了，击出底线                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
68'角球开出，顾超扑出，二点。。。。。裴帅一脚飞机打门了，有点离谱                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
68'前场塞恩斯伯里又是犯规了，放倒了莫雷罗                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
69'任意球快发，传中，顾超抱到了                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
69'苏宁的进攻，布鲁诺的反抢，好球                   66'长春队继续猛攻，第66分钟奥尔西奇左路任意球直冲门里，被顾超双拳打出，第67分钟长春队左路获得任意球机会，主队快发，奥尔西奇送球，又是顾超，倒地把球稳稳接住
75'长传找莫雷罗，被解围出来                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
75'继续打身后，奥尔西奇插上！                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
75'塞恩斯伯里的成功防守                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'战术角球，吊入禁区，被解围了                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'再传中，被顾超拿到了                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'手抛球反击！2打1                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'顾文祥单刀打门！！！                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'吴亚柯的扑出，漂亮！！                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
76'亚泰的反击，横敲禁区，被破坏出了                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
77'还上亚泰的球权，转移到左路                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
77'张笑非没能追到，顾超拿到                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
78'苏宁出球失误了，亚泰传中！被顶出了，这段时间失误有点多啊                   75'第75分钟顾超手抛球快攻，顾文祥中圈附近挑球过人，接着沿左路高速带球杀入禁区，可惜最后一脚射门被吴亚轲扑出
81'大脚开出，中场亚泰的犯规                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
81'任意球开到禁区，被破出来                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
82'阎峰大范围转移，分边，横敲                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
82'在分边，莫雷罗，横敲，奥尔西奇打门，被挡出                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
82'阎峰，分边！打门！打高了                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
82'苏宁门前风声鹤唳                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
83'换上了拉米雷斯，换下了R马，解禁复出了拉米雷斯                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
83'直塞，被顾超拿到，示意放慢下节奏                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
84'大脚开出，中路奥尔西奇得到，分到右路，传中，被顶出                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
84'亚泰后场继续组织                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
84'裴帅长传找奥尔西奇，传大了                   81'第81分钟长春队从左路打到右路，阎峰向右侧传球，范晓冬推射打高
84'大脚开出，中路奥尔西奇得到，分到右路，传中，被顶出                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
84'亚泰后场继续组织                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
84'裴帅长传找奥尔西奇，传大了                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
85'拖延时间，吉翔吃到了黄牌                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
85'中路挑传！禁区莫雷罗倒地了！                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
85'裁判没有表示。                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
86'长传找特谢拉，后卫解围失误，还是特谢拉拿球                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
86'直塞顾文祥                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
86'空门，两米，这球居然没有进？？？？？？？                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
87'云南小伙今天的脚背啊，空门推射不进，有点不可思议                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
87'长传，拉米雷斯破坏，角球                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
87'开到前点，拉米雷斯解围                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
87'继续长传找前点，还是拉米雷斯的卡位                   84'第84分钟吉翔掷界外球思考再三，结果吃到黄牌
88'慢镜看刚刚的空门，的确，打偏比打进还难啊                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
88'中场拉米雷斯被推倒了，奥尔西奇犯规                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
89'长传找特谢拉，头球的解围                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
89'最后的几分钟了                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
89'前场双方球员又起了冲突，顾文祥倒地了                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
89'被对方推了一下                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
90'刘建业换下，换上张新林                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
90'亚泰中场拿球组织，伤停补时4分钟                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
91'奥尔西奇和莫雷罗配合，哎呀，传球失误了                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
91'继续分边，周云的解围，打在莫雷罗身上，门球                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
91'大脚开出，拉米雷斯拿球，弧顶处直接打门，吴亚柯抱住                   88'第88分钟顾文祥在没有被严重冲撞的情况下倒地不起，引发长春队员和观众不满
49'大脚开出，中场特谢拉争顶，犯规了                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
49'奥尔西奇分到左路，阎峰奥尔西奇二过一，失败了                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
50'张晓彬的上抢，分到左路                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
50'传中，吴亚柯把球抱住，看起来没什么大碍的伤势                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
50'大脚，奥尔西奇没能拿到                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
50'R马出球，被断了，反抢犯规了                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
51'分到左路，张笑非传中，被洪正好解围                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
51'李光直塞禁区！可惜没能拿到                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
51'又是反击,R马被推到了，没犯规                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
51'亚泰的进攻，分边，横敲禁区，奥尔西奇打门！                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
52'左脚打门，打偏了。                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
52'换上奥尔西奇后，亚泰的进攻开始有了点起色                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
52'R马出球失误了，直塞莫雷罗                   49'比赛补时4分钟，第91分钟拉米雷斯弧顶处射门太正
