3'阿圭罗禁区右侧一领，，，小角度，，搓射，，打在边网                   3'开场仅3分钟，斯特林传球，阿圭罗强突小禁区右侧捅射偏出近角
15'回敲给达尼洛，接球被断了                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
15'哈德斯后场断球，给出一记长传                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'前场右侧迪亚卡比跟进得球                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'横传，，，费尔南迪尼奥把球拦截                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'分身边回来接应的萨内                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'左侧再分丁丁，，丁丁低球向前                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'中圈附近阿圭罗得球，回敲                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'奥塔门迪右侧拿球，带球推进到前场                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'右侧再分给沃克，观察一下                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'回给奥塔门迪，再分左侧达尼洛                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
16'达尼洛回敲，给到奥塔门迪，斜传前场左侧                   13'第13分钟出现争议，德布劳内直传，斯特林强突禁区右侧在孔戈洛防守下摔倒，裁判拒绝判罚点球
48'中圈左侧，卡楚加得球                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'斜传中路的迪亚卡比                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'裁判哨响，，迪亚卡比越位了                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'后场曼城定位球开出                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'裁判哨响了，，上半场比赛结束                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'分边线的斯特林，接球被断了                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'遭到了解围                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'球到中圈位置，，拉波尔特得球，，分身前达尼洛                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'再给右侧的沃克                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'右侧沃克，45度起球                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'送到禁区前点，，被解围出底线                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'左侧曼城角球，萨内处理                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'角球开起来，到禁区前沿                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'球被解围出来                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
48'外围拼抢，，，右侧沃克断下                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'低球向前，，底线处被拦截了                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'后场哈德斯大脚把球解围                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'到了中圈位置，拉波尔特得球，短传给身前                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'京多安，，分身边给阿圭罗                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'再分左侧达尼洛，，回敲给到费尔南迪尼奥                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'再给右侧沃克，曼城前场来回倒脚                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
49'费尔南迪尼奥中路得球，再分右侧斯特林                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'回敲给到沃克，再给斯特林                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'横传给到丁丁，，顺势分到底线                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'斯特林，，一记传中，，起球                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'到了禁区前点，，门将勒斯尔把球没收                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'大脚开起来                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'中圈左侧直接踢出界外                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'曼城界外球，给身前的丁丁                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'横传给费尔南迪尼奥，，中圈附近，左侧给京多安                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
50'短传给身前的萨内                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'横传京多安，，再给中路的费尔南迪尼奥                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'斜长传，，到了禁区右侧                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'沃克跟上，，垫传到中路                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'门前，，被解围出来                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'中圈左侧卡楚加得球，，跟进                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'被费尔南迪尼奥绊倒在地                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'费尔南迪尼奥吃到黄牌                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'中圈右侧哈德斯定位球，，开起来                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'到了前场的中路                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
51'霍格把球得到，再分右侧史密斯                   48'曼城3分钟连入2球锁定胜局，第54分钟，德布劳内直传，萨内禁区左侧传中，斯特林近距离冲顶入网，2-0
