1'上半场比赛开始了！                   1'阿森纳第1分钟控制比赛，但赫尔城收缩防守应对
28'厄齐尔跟进推射打高了！                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
30'哈德斯通右路吊禁区，穆斯塔菲头球解围                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
30'穆斯塔菲顶完球后与穆斯塔菲头碰头                   27'阿森纳第27分钟错过机会，贝莱林传中，无人防守的伊沃比禁区边缘劲射被扑出，但厄齐尔近距离补射高出
41'科奎林打门被利弗莫尔用手挡了一下！                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
41'主裁判吹了点球，并红牌将利弗莫尔罚下！                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
42'桑切斯主罚，打左下角被雅库波维奇倒地扑出！                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
43'赫尔城换人，5号马盖尔换下了20号迪奥曼德                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
43'桑切斯发角球，马盖尔差点乌龙                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
43'阿森纳禁区内有球员手球！                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
44'卡索拉挑传，厄齐尔带球                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
44'沃尔科特回一下                   41'阿森纳第41分钟错过机会，沃尔科特禁区右侧传中，科奎林10码处推射被利弗莫尔用手拍出，后者也被红牌直接罚下，桑切斯低射左下角被扑出
79'斯诺德格拉斯推射球门左上角球进！                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
79'此时赫尔城的气势来了                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
79'厄齐尔接应交给埃尔内尼                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
79'扎卡接应                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
80'蒙雷亚尔左路起球传中被戴维斯踢出边线                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
81'扎卡打远射，打在了克卢卡斯身上                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
81'贝莱林直传出了边线                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
81'罗伯逊掷界外球，穆斯塔菲争顶犯规                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
82'赫尔城后场控球                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
82'阿森纳断球了，桑切斯塞禁区                   79'赫尔城第79分钟扳回一城，梅森右路斜传，切赫出击扑倒刚刚替补出场的姆博卡尼，裁判伊斯特犹豫多时后判罚极刑，斯诺德格拉斯主罚点球命中，1-2
92'下半场补时3分钟                   92'第92分钟，埃尔内尼传球，扎卡30码处抽射左上角入网，4-1
92'扎卡轰出世界波！                   92'第92分钟，埃尔内尼传球，扎卡30码处抽射左上角入网，4-1
92'扎卡中路得球看前面无人上抢，左脚直接远射，球像炮弹般飞进球门左上角！                   92'第92分钟，埃尔内尼传球，扎卡30码处抽射左上角入网，4-1
93'扎卡也打进了自己在英超的处子进球                   92'第92分钟，埃尔内尼传球，扎卡30码处抽射左上角入网，4-1
93'全场比赛结束！                   92'第92分钟，埃尔内尼传球，扎卡30码处抽射左上角入网，4-1
