2'卡贝萨斯右路插上接应，过人不成，反抢犯规了                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
37'高迪禁区前停球失误，东亚的反击                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
37'武磊拿球推进，分给右路插上的吕文君                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
37'吕文君拿球进禁区，直接选择抽射打高了！                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
38'王林送右路身后球，伊班抢在马佐拉之前解围                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
38'汪嵩角球开前点，武磊头球解围                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
38'外围绿城再组织，唐家庶越位位置接球                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
39'武磊中场拿球，转身摆脱防守回交队友                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
40'李运秋右路拿球推传被挡回来，自己把球碰出了边线                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
40'李运秋中场送身后球，球没有过顶                   37'第37分钟，武磊前场拿球推进，将球分给右路插上的吕文君，吕文君接球趟入禁区大力抽射打高
42'吕文君送右路身后，金东进头球回传门将                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
42'马佐拉带球进禁区，在王燊超干扰下倒地！                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
42'裁判给了绿城一个点球！                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
44'汪嵩站在点球点前，今天他的妻儿也来到了现场                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
44'汪嵩点球破门！                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
44'杭州绿城1-0领先上海东亚！                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
45'汪嵩把这个进球献给了自己的小baby                   42'第42分钟，马佐拉沿右路强行突破王龀，突入进去后又被王龀推倒，主裁判果断判罚点球，汪嵩主罚打左角命中，比分被改写为1-0
46'上半场补时2分钟！                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
46'绿城前场断球，阿甘带球到禁区前推传左路跟上的高迪                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
47'高迪禁区线附近直接搓射，打高了！                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
47'李运秋右路用速度强吃对手下底被推倒，任意球                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
48'吕文君任意球到禁区外围，配合没有打出来                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
48'上半场比赛结束！                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
46'下半场比赛开始！                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
46'绿城中圈开球                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
46'马佐拉右路拿球进攻，球出了边线                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
46'李运秋带球过中场，被场地绊倒，自己起来继续控制                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
47'蔡慧康禁区前凌空抽射打在身前的防守队员身上弹出                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
47'绿城长传反击，阿多抢在阿甘之前把球清理出边线                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
47'阿甘左路拿球，强行传中被挡出                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
48'高迪左路下底传中，颜俊凌出击把球没收                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
49'姜波大脚开到前场，阿多争顶把球解围                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
49'王燊超左路拿球找队友配合，球转移到另一侧                   46'第46分钟，上港队左边路传中，卡贝萨斯胸部停球回做，武磊跟上远射被挡出
52'绿城换人，唐家庶被冯刚换下                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
52'马佐拉继续投入比赛，应该没有大碍                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
53'汪佳捷禁区左侧搓传，石柯头球解围                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
54'李运秋背身护球，高迪身后犯规了                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
54'朱峥嵘前场拿球被回防的马佐拉断下                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
54'汪嵩中场拿球送身后，李运秋把球断下                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
55'伊班把球转移左路，朱峥嵘斜传右侧卡贝萨斯                   52'第52分钟，王龀左肋拿球横带，斜向挑传禁区力量稍大被顶出
57'李运秋右路拿球，45度角传门前，队友没有接应到                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
57'李运秋后场停球被断，高迪拿球到左边路                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
58'东亚后场反抢，沿左路反击                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
58'王燊超带球突进，送身后球被出击的姜波没收                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
58'绿城中场送身后球，阿多抢在阿甘之前把球破坏出边线                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
59'朱峥嵘中场送直塞，没有过掉王林的拦截                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
59'阿甘前场拿球转身摆脱，突破被回追的蔡慧康破坏                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
60'马佐拉中场拿球，王燊超抢断犯规了                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
60'汪嵩左侧肋部拿球，搓传后点被王燊超破坏出底线，角球                   57'第57分钟，上港队中路横向转移，李运秋右边路传中，球被绿城后卫解围
63'还是战术角球，汪嵩传中到后点，两名队友抢在了一起                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
63'右侧边线附近，汪佳捷抢在冯刚之前破坏                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
64'阿甘左侧底线前停球，被跟防的阿多把球断走                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
64'卡贝萨斯接队友身后球，但是没有追上，球出底线                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
65'阿甘前场逼抢，手触球了                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
65'李运秋送身后球，金东进抢在武磊之前拿到                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
66'阿甘左路接应球，跟防的阿多犯规                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
66'伊班后场倒地铲断了汪嵩的脚下球                   63'第63分钟，汪嵩再次开出战术角球，阿甘脚后跟回磕，汪嵩得球后传出高质量传中，上港后卫将将解围
71'东亚进球了！！！！                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
72'进球的是李运秋！！！                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
72'吕文君任意球轰门绕过人墙，打在立柱上弹回，卡贝萨斯第一点补射漏过，李运秋再补进空门！                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
73'绿城1-1东亚！比赛还有20分钟！                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
73'阿甘禁区前停球，转身被上抢的阿多破坏                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
74'汪嵩送直塞到禁区左侧，阿甘下底横扫门前被李运秋铲出底线                   71'第71分钟，吕文君前场突破被放倒制造任意球，他亲自操刀主罚，皮球绕过人墙后击中立柱弹回，中路跟进的李运秋外脚背弹射将球打入空门，比分被扳成1-1
78'绿城换人，大黑将志换下高迪                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
78'但是大黑将志好像鞋有些问题，被冈田武史交回替补席，高迪继续在场上                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
78'汪佳捷禁区前直接突施冷箭，稍稍打偏                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
79'大黑将志正式上场，换下高迪                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
80'阿甘禁区前脚后跟做球给汪嵩，朱峥嵘铲抢犯规了，动作比较大                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
80'裁判黄牌警告了朱峥嵘                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
80'绿城进球了！！！                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
80'汪嵩任意球射门，直挂死角入网！！！                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
81'绿城2-1领先东亚！                   78'第78分钟，上港队耐心组织进攻，汪佳捷35米处突施冷箭打偏
87'王林右侧边线球迟迟不抛出                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
87'裁判给了王林一张黄牌，拖延时间                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
87'绿城换人，马佐拉被谢鹏飞换下                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
88'东亚左路传中，武磊插上甩头攻门被姜波扑住！                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
88'汪佳捷右路接队友斜传，被对手先卡住了身位                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
89'东亚换人，吴禹寅换下汪佳捷                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
89'谢鹏飞右路带球，球先出了边线                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
90'毛家康禁区左侧晃动，下底传回门前，无人包抄                   87'第87分钟，上港队左路斜传禁区，武磊甩头攻门被姜波没收
90'毛家康禁区左侧晃动，下底传回门前，无人包抄                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
91'下半场补时3分钟！                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
92'李运秋右路瞄准了传中，伊班顶在锋线位置，甩头攻门偏出远门柱！                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
93'补时还有1分钟左右                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
93'大黑将志禁区前拿球，调整一步射门打高了！                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
93'东亚高球去前场，伊班把球回交队友                   90'最终经过90分钟激战，杭州绿城主场2-1战胜上海上港，上港遭遇3连败
