1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
25'看看曼城接下来如果调整吧                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
25'门兴后场断球下来                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
26'队友停球被费尔南迪尼奥干扰                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
26'裁判给了曼城的界外球                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
26'门兴这边球员投诉对方先犯规                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
26'但裁判并没有理会                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
39'文特带球突破防线到了禁区                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'布拉沃这边也出击出来                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'文特小角度打门被布拉沃封出底线                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'门兴的角球机会                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'角球送禁区                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'威胁并不大                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'拉斐尔右路再传禁区                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
39'曼城这边头球先解围出来                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
40'特劳雷这边似乎出现了一些问题                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
40'示意要进行换人                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
40'特劳雷这边坐在地上                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
40'比赛也是先暂停了                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
41'门兴这边换人了                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
41'特劳雷被换下，J-霍夫曼上！                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
41'门兴前场滑铲有又是断球下来                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
42'施廷德尔这边得球低平球在给禁区前沿                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
42'达胡德得球后稍作调整                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
42'有空挡！！                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
42'直接起左脚大力轰门                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
42'这球没有压住最后                   39'第39分钟，布拉沃手抛球展开快攻，文特前场抢断后突入禁区右侧的射门被布拉沃出击扑出底线
50'曼城这边禁区内拿球                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'中后卫这边解围失误了                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'给到斯特林                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'无人看防的推射将球打进                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'但这球先越位了！！                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'慢镜头来看这球确实越位了                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'门兴这边被出示了红牌！！                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
51'施廷德尔！！                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
52'施廷德尔中场无球状态下直接去撞人！！                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
52'这个动作没有必要啊                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
52'这样门兴接下来是10打11                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
52'中场休息的时候双方都没有进行人员调整                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
52'这下门兴的调整将会很被动                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
53'镜头也是给到了佐默                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
53'接下来对佐默也是一个考验                   50'第50分钟，德布劳内突入禁区内受阻后传球，斯特林近距离推射破门因越位在先被判无效
63'费尔南迪尼奥这边也是得到第二张黄牌！！                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
63'也被红牌罚出场外！！                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
64'双方这边人数上又变得一样！！                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
64'之前门兴换上了一个后卫想摆大巴                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
64'比赛也是有意思起来                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
64'拉斐尔禁区弧顶接球                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
65'停球后原地摆腿后打门                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
65'稍稍偏出                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
65'曼城这边也要准备调整                   63'曼城未能抓住人数优势反超比分，比赛在第63分钟回到人数均势，费尔南迪尼奥对拉斐尔犯规累计两张黄牌也被罚下
